Date,Epiweek,England Lower bound,England Upper bound,Certainty criteria met,Estimate based on fewer days or lower quality data
29-May-20,22,0.7,0.9,1,0
05-Jun-20,23,0.7,1.0,1,0
12-Jun-20,24,0.8,1.0,1,0
19-Jun-20,25,0.7,0.9,1,0
26-Jun-20,26,0.7,0.9,1,0
03-Jul-20,27,0.8,0.9,1,0
10-Jul-20,28,0.8,1.0,1,0
17-Jul-20,29,0.8,1.0,1,0
24-Jul-20,30,0.8,1.0,1,0
31-Jul-20,31,0.8,1.0,1,0
07-Aug-20,32,0.8,1.0,1,0
14-Aug-20,33,0.8,1.0,1,0
21-Aug-20,34,0.9,1.0,1,0
28-Aug-20,35,0.9,1.1,1,0
04-Sep-20*,36,0.9,1.0,1,1
11-Sep-20,37,1.0,1.2,1,0
18-Sep-20,38,1.2,1.4,1,0
25-Sep-20,39,1.2,1.5,1,0
02-Oct-20,40,1.2,1.6,1,0
09-Oct-20,41,1.2,1.5,1,0
16-Oct-20,42,1.2,1.4,1,0
23-Oct-20,43,1.2,1.4,1,0
30-Oct-20,44,1.1,1.3,1,0
06-Nov-20,45,1.1,1.3,1,0
13-Nov-20,46,1.1,1.2,1,0
20-Nov-20,47,1.0,1.1,1,0
27-Nov-20,48,0.9,1.0,1,0
04-Dec-20,49,0.8,1.0,1,0
11-Dec-20,50,0.8,1.0,1,0
18-Dec-20,51,1.1,1.3,1,0
23-Dec-20*,52,1.1,1.4,1,1
08-Jan-21*,54,1.1,1.4,1,1
15-Jan-21,55,1.1,1.3,1,0
22-Jan-21,56,0.8,1.0,1,0
29-Jan-21,57,0.7,1.0,1,0
05-Feb-21,58,0.7,0.9,1,0
12-Feb-21,59,0.7,0.9,1,0
19-Feb-21,60,0.7,0.9,1,0
26-Feb-21,61,0.7,0.9,1,0
05-Mar-21,62,0.7,0.9,1,0
12-Mar-21,63,0.6,0.8,1,0
19-Mar-21,64,0.7,0.9,1,0
26-Mar-21,65,0.8,1.0,1,0
02-Apr-21,66,0.8,1.0,1,0
09-Apr-21,67,0.8,1.0,1,0
16-Apr-21,68,0.7,1.0,1,0
23-Apr-21,69,0.8,1.0,1,0
30-Apr-21,70,0.8,1.1,1,0
07-May-21*,71,0.8,1.0,1,1
14-May-21,72,0.8,1.1,1,0
21-May-21,73,0.9,1.1,1,0
28-May-21,74,1.0,1.1,1,0
04-Jun-21*,75,1.0,1.2,0,1
11-Jun-21,76,1.2,1.4,1,0
18-Jun-21,77,1.2,1.4,1,0
25-Jun-21,78,1.2,1.4,1,0
02-Jul-21,79,1.1,1.3,1,0
09-Jul-21,80,1.2,1.5,1,0
16-Jul-21,81,1.2,1.4,1,0
23-Jul-21,82,1.2,1.4,1,0
30-Jul-21,83,1.1,1.4,1,0
06-Aug-21,84,0.8,1.1,1,0
13-Aug-21,85,0.8,1.0,1,0
20-Aug-21,86,0.9,1.2,1,0
27-Aug-21,87,1.0,1.1,1,0
03-Sep-21,88,0.9,1.1,1,0
10-Sep-21,89,0.9,1.1,1,0
17-Sep-21,90,0.9,1.0,1,0
24-Sep-21,91,0.8,1.0,1,0
01-Oct-21,92,0.8,1.1,1,0
08-Oct-21,93,0.9,1.1,1,0
15-Oct-21,94,0.9,1.1,1,0
22-Oct-21,95,1.0,1.2,1,0
29-Oct-21,96,1.1,1.3,1,0
05-Nov-21,97,0.9,1.1,1,0
12-Nov-21,98,0.8,1.0,1,0
19-Nov-21,99,0.8,1.0,1,0
26-Nov-21,100,1.0,1.1,1,0
03-Dec-21,101,0.9,1.1,1,0
10-Dec-21,102,0.9,1.1,1,0
,,,,,
