,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,variant,sequences_analyzed,sequences_total,Rt_date,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,frac_assigned
0,19.0,,,,,,,3.1071154461876462,1.6258846442545225,8.238886249791742,3.1793964708611244,1.8376842809729452,4.50219451912831,9,pre-B.1.177,64,64,,,,,,,,,,,,2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20.0,,,,,,,1.347706875954284,1.0,11.868589663992646,2.690755108213607,1.0,9.607811522159146,9,pre-B.1.177,111,111,,,,,,,,,,,,2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21.0,,,,,,,1.0,1.0,1.018111725827902,1.0,1.0,1.1730237334892344,9,pre-B.1.177,41,41,,,,,,,,,,,,2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,9,pre-B.1.177,3,3,29-May-20,,,1.0,0.0,21 May 2020 to 03 June 2020,Non-overlapping 14-day weighted estimates,33292.68969,17708.8775,56668.40799,,2020-05-27,,,,False,,,,,,,False,1.0,,,,,,,False,,,,False,,,,,,,
4,23.0,273.5077581977034,73.01538847557276,602.3618590685836,425.8687740150264,137.07272375598086,5004.087241695846,4.696270002434795,1.0,9.590746537116958,1.0,1.0,6.94540411237722,9,pre-B.1.177,75,75,05-Jun-20,,,1.0,0.0,Interpolated,Interpolated,19479.7652445,9208.61629995,37188.642745,,2020-06-03,,,,False,4705.501734642857,20284.71422454545,-6968.558286866884,,,,False,1.0,,,,,,,False,,,,False,,,,,,,
5,24.0,,,,,,,1.0,1.0,5.094347875969949,1.0,1.0,4.054734113090966,9,pre-B.1.177,426,426,12-Jun-20,0.8,1.0,1.0,0.0,04 June 2020 to 17 June 2020,Non-overlapping 14-day weighted estimates,5666.840799,708.3550999,17708.8775,0.9,2020-06-10,2473.620983690476,8696.323772321426,278.282360675,False,-400.17463390032464,10038.863673604868,-7506.724175617207,2136.5974913365376,533763.5480000643,1025.3050502623178,False,1.0,0.9,0.8,1.0,2473.620983690476,8696.323772321426,278.282360675,False,2136.597491336538,533763.5480000643,1025.3050502623178,False,,,,,,,
6,25.0,403.3033519266058,100.39617253515456,1140.93484148878,,,,1.0,1.0,3.897671241033016,1.0,1.0,5.345540203743073,9,pre-B.1.177,380,380,19-Jun-20,0.7,1.0,1.0,0.0,Interpolated,Interpolated,3187.59794945,354.17754995,10979.5040495,0.85,2020-06-17,1473.2595564684873,6161.966558392857,139.1411803375,False,676.1571408019479,6747.772283300648,-3601.571709767532,2164.568678017631,497965.9110243247,377.3305261669089,False,1.0,0.85,0.7,1.0,1473.2595564684875,6161.966558392857,139.1411803375,False,2164.568678017632,497965.9110243247,377.3305261669089,False,,,,,,,
7,26.0,,,,,,,1.2109352911521494,1.0,13.121835414131944,1.2868484426654214,1.0,13.415992445208742,9,pre-B.1.177,192,192,26-Jun-20,0.7,1.0,1.0,0.0,18 June 2020 to 01 July 2020,Non-overlapping 14-day weighted estimates,708.3550999,0.0,4250.130599,0.85,2020-06-24,327.39101255882355,2385.2773769897963,0.0,False,310.48031975064936,4291.527975332142,-2276.855678475,677.2870511712053,inf,479.1851875266034,False,1.0,0.85,0.7,1.0,327.39101255882355,2385.2773769897963,0.0,False,677.2870511712053,inf,479.1851875266034,False,,,,,,,
8,27.0,201.1562186038368,52.99271653342883,537.6911261075876,3960.325022090758,1707.6550284659097,6212.995015715606,4.577874784511586,1.0,21.47427630987411,3.5105667510815333,1.0,18.986580601672937,9,pre-B.1.177,226,226,03-Jul-20,0.7,0.9,1.0,0.0,Interpolated,Interpolated,2833.42039945,354.17754995,9562.7938495,0.8,2020-07-01,1391.411803301339,5366.874099209183,154.60131148611111,False,2456.24430729935,8403.667322454545,-565.7641381461038,4849.421566281306,511494.1497415685,2.043542255020742,False,1.0,0.8,0.7,0.9,1391.411803301339,5366.874099209183,154.60131148611111,False,4849.421566281306,511494.1497415685,2.043542255020742,False,,,,,,,
9,28.0,93.17039166049572,54.97053107969248,180.8859356041163,107.76041164178773,68.11990279268365,274.4796290715927,1.0,1.0,1.535163699305894,1.0,1.0,1.2612673557721996,9,pre-B.1.177,2,2,10-Jul-20,0.7,1.0,1.0,0.0,02 July 2020 to 15 July 2020,Non-overlapping 14-day weighted estimates,4958.485699,708.3550999,14875.4571,0.85,2020-07-08,2291.737087773109,8348.470821428571,278.282360675,False,3159.999698708766,10770.217315919805,-1359.213844427922,6143.511716235581,521091.3182441925,11.187622978305203,False,1.0,0.85,0.7,1.0,2291.737087773109,8348.470821428571,278.282360675,False,6097.651810580426,517923.8160140606,11.487795895313036,False,,,,,,,
10,29.0,96.37563022153816,55.125006531142034,186.2289112204934,121.40953361893612,63.60838353833165,625.42759150657,4.724306500100896,1.0,13.718545898972144,4.223383153352277,1.0,14.239284152498392,9,pre-B.1.177,117,117,,,,,,,,,,,,2020-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,30.0,148.32670980225862,42.62081342311035,382.7978158480147,,,,1.0,1.0,3.381424866535463,1.0,1.0,3.0847967706591777,9,pre-B.1.177,112,112,,,,,,,,,,,,2020-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,31.0,225.24678780581968,61.9105498228186,593.5329490988494,346.7923833175544,191.79986496215295,1130.383562017953,1.0,1.0,3.000486306575484,1.0,1.0,6.250393885892882,9,pre-B.1.177,83,84,,,,,,,,,,,,2020-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,32.0,,,,,,,1.0,1.0,10.583793495546091,1.0,1.0,9.371831827575512,9,pre-B.1.177,170,175,07-Aug-20,0.8,1.1,1.0,0.0,30 July 2020 to 12 August 2020,Non-overlapping 14-day weighted estimates,4958.485699,1416.7102,12750.3918,0.95,2020-08-05,2050.501604849624,6261.353116071427,505.9679285714285,True,2932.314130948052,9686.985977943505,-1883.580606925324,5192.829180740622,174504.9885218637,6.105357956322841,False,0.9714285714285714,0.95,0.8,1.1,1991.9158447110635,6082.457312755101,491.51170204081626,True,4971.225749163397,168566.76385836225,8.884881101047654,False,,,,,,,
14,33.0,92.28548920539932,35.75785291230066,179.91909281400856,203.10175851983848,45.79344522684308,2987.731213287997,1.0,1.0,27.7501641978778,1.0,1.0,17.35908403211485,9,pre-B.1.177,256,269,14-Aug-20,0.8,1.1,1.0,0.0,Interpolated,Interpolated,6021.018349,2479.2428495,13458.7469,0.95,2020-08-12,2489.8948059774434,6609.206066964285,885.4438748214285,True,3739.5629624415583,10073.361487012986,-620.9606400974026,6543.234202009057,109685.00959569796,91.63485160139342,False,0.9516728624535316,0.95,0.8,1.1,2369.5653172127345,6289.802056293149,842.6529068932554,True,6218.195600666506,104597.07771115248,82.65450425077287,False,,,,,,,
15,34.0,108.98335304803685,61.13435918605677,211.58605679368864,184.18372343124892,64.16986180229112,1631.4358823022865,2.0340888241677733,1.0,13.086268506003526,1.95729730732709,1.0,11.100515110472616,9,pre-B.1.177,99,103,21-Aug-20,0.9,1.1,1.0,0.0,13 August 2020 to 26 August 2020,Non-overlapping 14-day weighted estimates,7083.550999,3541.775499,14167.102,1.0,2020-08-19,2782.82360675,6184.052460317461,1264.9198210714285,True,5457.554065470779,12281.221537996753,565.7641376590906,8722.78646917989,86211.93899142573,425.3284895710572,False,0.9611650485436892,1.0,0.9,1.1,2674.752787070388,5943.8950832177525,1215.7967212239942,True,7700.887629804161,77095.22077400933,360.0287247004162,False,,,,,,,
16,35.0,108.04771447978112,47.375427057875285,212.78233964260835,204.9227460011795,45.54234705155554,2057.756781830842,1.3673392554107,1.0,11.444389937744578,1.1009717342662777,1.0,9.510573251736949,9,pre-B.1.177,166,212,28-Aug-20,0.9,1.1,1.0,0.0,Interpolated,Interpolated,13458.746899500002,7083.550999499999,23729.895845,1.0,2020-08-26,5287.364853375001,10358.287868849206,2529.8396426785707,True,12653.797921597405,21823.31669631818,5457.5540645649335,19903.45286595388,127873.08399636106,2367.106233167394,False,0.7830188679245284,1.0,0.9,1.1,4140.106441793633,8110.73484070268,1980.912173040768,True,13542.427228562834,90754.07606136664,1396.0589451592257,False,,,,,,,
17,36.0,193.19743057064863,89.35458679424153,534.2542520484183,439.6325855940621,91.09886423302385,7616.683383398842,1.0,1.0,3.012124197854324,1.0,1.0,3.2945556283516693,9,pre-B.1.177,84,128,,,,,,,,,,,,2020-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,37.0,334.6007780159109,127.52305525949974,785.805523717198,318.6829979927386,145.65773463225597,1356.5708748400837,1.0,1.0,5.822233164861515,1.0,1.0,11.709488512546228,9,pre-B.1.177,386,623,11-Sep-20,1.1,1.3,1.0,0.0,Interpolated,Interpolated,31875.979495,21604.830545,44980.54884,1.2000000000000002,2020-09-09,10435.588525148807,16064.481728571429,6528.932307554945,True,23913.88418289935,35160.171319782465,13681.83275561688,31966.89609490589,106168.96555265524,8365.419767344622,False,0.6195826645264848,1.2000000000000002,1.1,1.3,6465.709744313708,9953.274393625315,4045.213275627944,True,18308.53542620048,62228.29578228597,4509.514682344264,False,,,,,,,
19,38.0,971.6358162173872,263.6524959216515,2105.528654019324,1489.714682635577,353.8497259061885,14451.582747356331,1.0,1.0,1.8724480833544532,1.0,1.0,2.8356818254756946,9,pre-B.1.177,442,837,18-Sep-20,1.2,1.5,1.0,0.0,10 September 2020 to 23 September 2020,Non-overlapping 14-day weighted estimates,43918.01619,32584.33459,56668.40799,1.35,2020-09-16,12780.375081746031,18552.157377678574,8533.992392619048,True,33214.49465103896,45406.02187538961,21568.03287594156,39421.49666961499,104683.55842899709,13553.057442484534,True,0.5280764635603346,1.35,1.2,1.5,6749.015276143065,9796.957659419271,4506.600522745064,True,18704.189198169104,50852.57661574118,6129.409887591943,True,,,,,,,
