,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met
0,29-May-20,22,,,1,0,21 May 2020 to 03 June 2020,Non-overlapping 14-day weighted estimates,3284.238822,0.0,16968.56725,,2020-05-27,,,,False,,,,,,,False
1,05-Jun-20,23,,,1,0,Interpolated,Interpolated,1642.119411,0.0,11494.8358785,,2020-06-03,,,,False,191.93603505194807,7560.147159253246,-3636.121553571428,,,,False
2,12-Jun-20,24,0.8,1.1,1,0,04 June 2020 to 17 June 2020,Non-overlapping 14-day weighted estimates,0.0,0.0,6021.104507,0.9500000000000001,2020-06-10,0.0,2956.792391830357,0.0,False,175.94136546428572,6040.653547392856,-2404.531995,inf,inf,342.9469334700089,False
3,19-Jun-20,25,0.6,0.9,1,0,Interpolated,Interpolated,2463.1791165,273.6865685,12863.2687185,0.75,2020-06-17,1290.2366800714285,8422.378327589286,119.46635926587302,False,2399.2004381493502,11238.921162623375,-1023.6588536103894,5027.7666143313,1389769.9793410862,19.086716863341792,False
4,26-Jun-20,26,0.6,0.9,1,0,18 June 2020 to 01 July 2020,Non-overlapping 14-day weighted estimates,4926.358233,547.373137,19705.43293,0.75,2020-06-24,2580.473360142857,12902.366799404763,238.93271853174605,False,2687.104490727272,13328.891321746753,-2399.2004379350647,6163.27934777922,1305361.4352254076,75.9638781630644,False
5,03-Jul-20,27,0.7,1.0,1,0,Interpolated,Interpolated,2463.1791165,273.6865685,12315.895581499999,0.85,2020-07-01,1138.4441294747899,6911.982214107143,107.51972333928572,False,1343.5522453636363,9063.646098915584,-3721.4264569675324,2719.0938299025975,937302.7929818869,379.17320767226033,False
6,11-Sep-20,37,0.9,1.2,1,0,Interpolated,Interpolated,4926.358233000001,1642.1194110000001,11494.835876000001,1.05,2020-09-09,1843.1952572448981,5017.587088730159,537.5986166964286,True,3684.105561691559,9260.913690282467,-1156.947766626623,5630.830510376932,114515.49469083437,6.704114987445073,False
7,18-Sep-20,38,0.9,1.6,1,0,10 September 2020 to 23 September 2020,Non-overlapping 14-day weighted estimates,7115.850781,2736.865685,14231.70156,1.25,2020-09-16,2236.410245457143,6212.25068095238,671.9982708705356,True,5758.081051665584,12043.986198097402,789.070367074675,7320.154018571871,110115.09168169463,214.48983055911603,False
8,25-Sep-20,39,1.1,1.4,1,0,Interpolated,Interpolated,13684.3284255,8210.5970575,21621.23891,1.25,2020-09-23,4300.7889337285715,7721.871039285714,2303.994072257653,True,10279.240988824675,17423.526736461037,4361.213243766233,13188.766121806384,66312.11355410633,2051.264579918199,False
9,02-Oct-20,40,1.1,1.4,1,0,24 September 2020 to 07 October 2020,Non-overlapping 14-day weighted estimates,20252.80607,13684.32843,29010.77626,1.25,2020-09-30,6365.167622,10360.99152142857,3839.9901206632653,True,12982.340148983765,20691.77088871753,6349.883830422076,17140.93958729787,64472.687177137785,3882.324297993807,False
10,09-Oct-20,41,1.3,1.6,1,0,Interpolated,Interpolated,22715.985184999998,16421.194115,30926.58224,1.4500000000000002,2020-10-07,6154.57726687192,9345.945182417583,4031.989626450892,True,13446.18556577922,20974.343384610387,6845.718587532466,15597.107298106866,49572.03791947127,4297.9391652812565,True
11,16-Oct-20,42,1.3,1.6,1,0,08 October 2020 to 21 October 2020,Non-overlapping 14-day weighted estimates,25179.1643,19158.0598,32842.38822,1.4500000000000002,2020-10-14,6821.9410665024625,9924.89753901099,4703.987897321428,True,16197.268735324675,23778.742119253242,9452.84973,18421.773436265627,50570.45335567575,6119.8851066033585,True
12,23-Oct-20,43,1.3,1.6,1,0,Interpolated,Interpolated,34210.821065000004,26273.910579999996,43789.850959999996,1.4500000000000002,2020-10-21,9268.941667857143,13233.196718681318,6451.183401339284,True,22531.15789577922,31509.499086623367,14448.518197012983,25498.3519255778,65215.23132817236,9298.406939102917,True
13,30-Oct-20,44,1.2,1.5,1,0,22 October 2020 to 04 November 2020,Non-overlapping 14-day weighted estimates,43242.47783,33389.76136,54737.3137,1.35,2020-10-28,12583.789844708996,17919.953889880955,8744.937499047617,True,26284.573693733764,36659.78269470779,16746.41906045454,32531.039325276754,81903.95814085145,12027.141037307416,True
14,06-Nov-20,45,1.2,1.4,1,0,Interpolated,Interpolated,46800.40322,36947.68674999999,58021.552525,1.2999999999999998,2020-11-04,14142.978995054948,18995.151124255954,10367.97332270408,True,27052.3178325974,37630.12598551948,17103.633347532465,35218.812553866715,81068.35224126003,14129.600513400565,True
15,13-Nov-20,46,1.2,1.4,1,0,05 November 2020 to 18 November 2020,Non-overlapping 14-day weighted estimates,50358.32861,40505.61214,61305.79135,1.2999999999999998,2020-11-11,15218.176228296705,20070.348358630956,11366.370753571427,True,26353.883926461032,36606.46713311688,16698.43504996753,35314.17068491162,77484.0556789674,14978.165598719172,True
16,20-Nov-20,47,1.0,1.3,1,0,Interpolated,Interpolated,41600.358414999995,32842.38822,51726.76145,1.15,2020-11-18,14211.302564130436,20321.2277125,9924.89753901099,True,18937.688792142853,28566.479885259738,10172.609856038962,30095.15306165557,77118.38103234983,10809.754442954614,True
17,27-Nov-20,48,0.9,1.1,1,0,19 November 2020 to 02 December 2020,Non-overlapping 14-day weighted estimates,32842.38822,25179.1643,42147.73155,1.0,2020-11-25,12902.366800714286,18397.819327380952,8992.558678571428,True,15509.49794318182,24397.202678474023,7634.788947467532,27965.768852741134,76768.10723882205,9123.99152871563,True
18,04-Dec-20,49,0.7,1.0,1,0,Interpolated,Interpolated,30379.209105,23263.35832,39410.865865,0.85,2020-12-02,14040.810930882353,22118.3430875,9139.176482857143,True,15514.829501493507,23960.015043506493,8231.923278896104,32044.375939349677,96882.13307135964,9888.027572240158,True
19,11-Dec-20,50,0.8,1.0,1,0,03 December 2020 to 16 December 2020,Non-overlapping 14-day weighted estimates,27916.02999,21347.55234,36674.00018,0.9,2020-12-09,12185.56864642857,18009.553659821428,8386.538419285715,True,16047.98515480519,24519.82847961039,8829.057610324675,30222.69481835259,86141.38141950684,9754.775298060817,True
20,18-Dec-20,51,0.9,1.2,1,0,Interpolated,Interpolated,34210.821065,26273.910575,44337.22410000001,1.05,2020-12-16,12799.967065136052,19353.550202380953,8601.577866815478,True,28454.517197922076,38376.54390068182,19668.11203607143,42947.37594688895,113664.02679545262,15584.939877892271,True
21,15-Jan-21,55,1.2,1.5,1,0,Interpolated,Interpolated,73621.68693,61579.477915,87579.701925,1.35,2021-01-13,21424.300429365077,28671.92622544643,16127.958501547619,True,48778.41068892857,61142.29028133116,37459.51617545455,59218.66999469923,117589.29701494261,29332.722483849506,True
22,22-Jan-21,56,0.9,1.2,1,0,14 January 2021 to 27 January 2021,Non-overlapping 14-day weighted estimates,74442.74664,62400.53762,88674.4482,1.05,2021-01-20,27852.728334693875,38707.100404761906,20428.74743511905,True,38317.8967801948,51300.23692743506,26471.178167922077,63905.47347871229,137057.50177010015,29159.632275283002,True
