,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I,I_lower,I_upper,I_method,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met
0,29-May-20,22.0,0.7,0.9,1.0,0.0,17 May 2020 to 30 May 2020,53000,25000,99000,14-day weighted estimates,0.8,2020-05-27,14196.428571428569,30306.122448979597,5952.380952380952,True,,,,,,,False,0.0,1.576,1.379,1.773,0.0,0.0,0.0,False,,,,False
1,05-Jun-20,23.0,0.7,1.0,1.0,0.0,25 May 2020 to 07 June 2020,33000,14000,68000,14-day weighted estimates,0.85,2020-06-03,8319.327731092437,20816.326530612245,3000.0,True,9571.42857142857,26166.666666666668,-1547.6190476190477,13845.122464570246,193892.73566569487,488.6400988967015,False,0.0,1.6744999999999999,1.379,1.97,0.0,0.0,0.0,False,,,,False
2,12-Jun-20,24.0,0.8,1.0,1.0,0.0,31 May 2020 to 13 June 2020,33000,12000,74000,14-day weighted estimates,0.9,2020-06-10,7857.142857142857,19821.42857142857,2571.428571428571,True,12285.714285714286,31166.666666666668,642.8571428571429,14796.50734752776,246875.6200396825,462.8624615869513,False,0.0,1.773,1.576,1.97,0.0,0.0,0.0,False,,,,False
3,19-Jun-20,25.0,0.7,0.9,1.0,0.0,08 June 2020 to 21 June 2020,51000,21000,105000,14-day weighted estimates,0.8,2020-06-17,13660.714285714284,32142.857142857145,5000.0,True,16428.57142857143,37285.71428571429,2571.428571428572,23879.26599211113,295119.89052180643,1259.8917117867556,False,0.0,1.576,1.379,1.773,0.0,0.0,0.0,False,,,,False
4,26-Jun-20,26.0,0.7,0.9,1.0,0.0,14 June 2020 to 27 June 2020,25000,12000,44000,14-day weighted estimates,0.8,2020-06-24,6696.428571428571,13469.38775510204,2857.142857142857,True,5690.476190476191,15380.952380952382,-3142.8571428571427,10091.842808551992,89951.46698135037,424.5074653237919,False,0.0,1.576,1.379,1.773,0.0,0.0,0.0,False,,,,False
5,03-Jul-20,27.0,0.8,0.9,1.0,0.0,22 June 2020 to 05 July 2020,14000,5000,31000,14-day weighted estimates,0.8500000000000001,2020-07-01,3529.411764705882,8303.571428571428,1190.4761904761904,True,4566.666666666667,11897.61904761905,-383.33333333333314,6207.462985194077,98582.44928328476,163.69901006997785,False,0.0,1.6745,1.576,1.773,0.0,0.0,0.0,False,,,,False
6,10-Jul-20,28.0,0.8,1.0,1.0,0.0,06 July 2020 to 12 July 2020,23600,15300,33900,modelled weekly estimates,0.9,2020-07-08,5619.047619047619,9080.35714285714,3278.5714285714284,True,8845.238095238095,13792.857142857143,4207.142857142857,10620.394219700256,39821.57952466701,2405.3642379834355,False,0.0,1.773,1.576,1.97,0.0,0.0,0.0,False,,,,False
7,17-Jul-20,29.0,0.8,1.0,1.0,0.0,13 July 2020 to 19 July 2020,27700,18500,39900,modelled weekly estimates,0.9,2020-07-15,6595.238095238095,10687.499999999998,3964.285714285714,True,10097.61904761905,16007.142857142857,5438.095238095239,12280.041307107913,45254.951097234254,3077.5102235666905,False,0.0,1.773,1.576,1.97,0.0,0.0,0.0,False,,,,False
8,24-Jul-20,30.0,0.8,1.0,1.0,0.0,20 July 2020 to 26 July 2020,35700,23700,53200,modelled weekly estimates,0.9,2020-07-22,8500.0,14249.999999999998,5078.571428571428,True,11942.857142857143,19326.19047619048,6400.0,15138.334245262731,59449.00887193333,3649.3421052631575,False,0.0,1.773,1.576,1.97,0.0,0.0,0.0,False,,,,False
9,31-Jul-20,31.0,0.8,1.0,1.0,0.0,27 July 2020 to 02 August 2020,28300,18900,40800,modelled weekly estimates,0.9,2020-07-29,6738.095238095238,10928.571428571428,4050.0,True,8904.761904761906,14814.285714285714,3857.142857142857,11645.585633434486,43834.30804294506,2719.997641913909,False,0.0,1.773,1.576,1.97,0.0,0.0,0.0,False,,,,False
