,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I,I_lower,I_upper,I_method,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met
0,29-May-20,22.0,0.7,0.9,1.0,0.0,17 May 2020 to 30 May 2020,53000,25000,99000,14-day weighted estimates,0.8,2020-05-27,66250.0,141428.57142857145,27777.777777777777,True,,,,,,,False
1,05-Jun-20,23.0,0.7,1.0,1.0,0.0,25 May 2020 to 07 June 2020,33000,14000,68000,14-day weighted estimates,0.85,2020-06-03,38823.529411764706,97142.85714285714,14000.0,True,6500.0,58500.0,-36500.0,55623.885918003565,1632882.6530612244,7444.85294117647,False
2,12-Jun-20,24.0,0.8,1.0,1.0,0.0,31 May 2020 to 13 June 2020,33000,12000,74000,14-day weighted estimates,0.9,2020-06-10,36666.666666666664,92500.0,12000.0,True,25500.0,82500.0,-17500.0,115227.27272727272,2551276.0416666665,408.7837837837838,False
3,19-Jun-20,25.0,0.7,0.9,1.0,0.0,08 June 2020 to 21 June 2020,51000,21000,105000,14-day weighted estimates,0.8,2020-06-17,63750.0,150000.0,23333.333333333332,True,21500.0,68500.0,-20500.0,128829.6568627451,2047772.1088435377,2.6455026455026456,False
4,26-Jun-20,26.0,0.7,0.9,1.0,0.0,14 June 2020 to 27 June 2020,25000,12000,44000,14-day weighted estimates,0.8,2020-06-24,31250.0,62857.14285714286,13333.333333333332,True,-6000.0,27000.0,-44000.0,18050.0,600119.0476190476,25858.58585858586,False
5,03-Jul-20,27.0,0.8,0.9,1.0,0.0,22 June 2020 to 05 July 2020,14000,5000,31000,14-day weighted estimates,0.8500000000000001,2020-07-01,16470.588235294115,38750.0,5555.555555555556,True,6300.0,26450.0,-11850.0,34629.411764705874,825125.625,1681.810035842294,False
6,10-Jul-20,28.0,0.8,1.0,1.0,0.0,06 July 2020 to 12 July 2020,23600,15300,33900,modelled weekly estimates,0.9,2020-07-08,26222.222222222223,42375.0,15300.0,True,18650.0,34400.0,1400.0,84042.49058380414,381118.46405228757,8226.84365781711,False
7,17-Jul-20,29.0,0.8,1.0,1.0,0.0,13 July 2020 to 19 July 2020,27700,18500,39900,modelled weekly estimates,0.9,2020-07-15,30777.777777777777,49875.0,18500.0,True,19900.0,38900.0,4150.0,90884.87765744084,419556.75675675675,12857.706766917294,False
8,24-Jul-20,30.0,0.8,1.0,1.0,0.0,20 July 2020 to 26 July 2020,35700,23700,53200,modelled weekly estimates,0.9,2020-07-22,39666.666666666664,66500.0,23700.0,True,18150.0,37750.0,1350.0,90252.80112044817,436281.77742616035,11795.15977443609,False
9,31-Jul-20,31.0,0.8,1.0,1.0,0.0,27 July 2020 to 02 August 2020,28300,18900,40800,modelled weekly estimates,0.9,2020-07-29,31444.444444444445,51000.0,18900.0,True,10450.0,28900.0,-7650.0,58954.161758932074,321302.24867724866,3102.0220588235293,False
10,07-Aug-20,32.0,0.8,1.0,1.0,0.0,03 August 2020 to 09 August 2020,28300,19000,40700,modelled weekly estimates,0.9,2020-08-05,31444.444444444445,50875.0,19000.0,True,12300.0,27800.0,-2450.0,64717.707106399685,308700.65789473685,6729.791154791154,False
11,14-Aug-20,33.0,0.8,1.0,1.0,0.0,07 August 2020 to 13 August 2020,24600,16900,33800,modelled weekly estimates,0.9,2020-08-12,27333.333333333332,42250.0,16900.0,True,12250.0,26350.0,-1850.0,61333.44625112918,267605.2144970414,6701.257396449704,False
12,21-Aug-20,34.0,0.9,1.0,1.0,0.0,14 August 2020 to 20 August 2020,28200,20100,37900,modelled weekly estimates,0.95,2020-08-19,29684.21052631579,42111.11111111111,20100.0,True,15350.0,28850.0,2800.0,70795.16610675625,246299.7512437811,13836.675461741424,False
13,28-Aug-20,35.0,0.9,1.1,1.0,0.0,19 August 2020 to 25 August 2020,27100,19300,36700,modelled weekly estimates,1.0,2020-08-26,27100.0,40777.777777777774,17545.454545454544,True,29350.0,45900.0,14150.0,117586.80811808119,392789.8675877951,27716.187763190486,False
14,11-Sep-20,37.0,1.0,1.2,1.0,0.0,04 September 2020 to 10 September 2020,59800,46900,75200,modelled weekly estimates,1.1,2020-09-09,54363.63636363636,75200.0,39083.333333333336,True,68150.0,89650.0,47900.0,248878.11644876862,579435.4477611941,99590.4255319149,True
15,18-Sep-20,38.0,1.2,1.4,1.0,0.0,13 September 2020 to 19 September 2020,103600,85600,123400,modelled weekly estimates,1.2999999999999998,2020-09-16,79692.3076923077,102833.33333333334,61142.857142857145,True,80200.0,104800.0,55700.0,250834.86783486788,506963.0062305296,115568.93956934476,True
16,25-Sep-20,39.0,1.2,1.5,1.0,0.0,18 September 2020 to 24 September 2020,116600,101000,133100,modelled weekly estimates,1.35,2020-09-23,86370.37037037036,110916.66666666667,67333.33333333333,True,118700.0,146600.0,90700.0,351731.7197128518,645479.2904290429,184066.56649135987,True
17,02-Oct-20,40.0,1.2,1.6,1.0,0.0,25 September 2020 to 01 October 2020,224400,203800,245700,modelled weekly estimates,1.4,2020-09-30,160285.7142857143,204750.0,127375.0,True,222150.0,253350.0,191450.0,634730.4001145912,1018363.1930814524,397391.54075091577,True
18,09-Oct-20,41.0,1.2,1.5,1.0,0.0,02 October 2020 to 08 October 2020,336500,312200,362000,modelled weekly estimates,1.35,2020-10-07,249259.25925925924,301666.6666666667,208133.33333333334,True,272700.0,308750.0,237000.0,816960.2993781299,1200901.0316570573,555470.7918968692,True
19,16-Oct-20,42.0,1.2,1.4,1.0,0.0,10 October 2020 to 16 October 2020,433300,407500,459300,modelled weekly estimates,1.2999999999999998,2020-10-14,333307.69230769237,382750.0,291071.4285714286,True,332450.0,373750.0,291000.0,1040979.0028227025,1419166.262781186,758766.8346241175,True
20,23-Oct-20,43.0,1.2,1.4,1.0,0.0,17 October 2020 to 23 October 2020,568100,536500,600400,modelled weekly estimates,1.2999999999999998,2020-10-21,437000.00000000006,500333.3333333334,383214.28571428574,True,376750.0,423950.0,330150.0,1208808.7450746757,1629842.9986020504,893549.8031074522,True
21,30-Oct-20,44.0,1.1,1.3,1.0,0.0,25 October 2020 to 31 October 2020,618700,583100,655000,modelled weekly estimates,1.2000000000000002,2020-10-28,515583.33333333326,595454.5454545454,448538.4615384615,True,352300.0,404150.0,301050.0,1269922.1485911317,1748957.3322835627,918051.9348209043,True
22,06-Nov-20,45.0,1.1,1.3,1.0,0.0,31 October 2020 to 06 November 2020,654000,619400,689800,modelled weekly estimates,1.2000000000000002,2020-11-04,544999.9999999999,627090.9090909091,476461.53846153844,True,350000.0,403950.0,296350.0,1284424.0570846074,1755788.6847976048,935162.9931752793,True
23,13-Nov-20,46.0,1.1,1.2,1.0,0.0,08 November 2020 to 14 November 2020,664700,628300,701200,modelled weekly estimates,1.15,2020-11-11,578000.0,637454.5454545454,523583.3333333334,True,321850.0,375000.0,268850.0,1273252.9254779862,1675815.606325872,956548.4437393041,True
24,20-Nov-20,47.0,1.0,1.1,1.0,0.0,15 November 2020 to 21 November 2020,633000,599200,668200,modelled weekly estimates,1.05,2020-11-18,602857.1428571428,668200.0,544727.2727272727,True,244800.0,296250.0,194300.0,1159306.1611374407,1552342.7945594126,856632.8127125792,True
25,27-Nov-20,48.0,0.9,1.0,1.0,0.0,22 November 2020 to 28 November 2020,521300,490600,552600,modelled weekly estimates,0.95,2020-11-25,548736.8421052631,614000.0,490600.0,True,184900.0,233500.0,136600.0,1007033.9131927267,1399540.72111247,711870.8650018097,True
