,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
23,41.0,,,,,,,1.0,1.0,4.195510062162322,1.0,1.0,2.512719545105302,9
24,42.0,,,,,,,3.611869389346278,1.0,8.940415407984954,2.537074531294332,1.0,10.637425976983828,9
25,43.0,,,,,,,1.3500655388764669,1.0,5.090136573652463,1.0,1.0,4.80649944431851,9
26,44.0,,,,,,,1.0,1.0,3.6074178961732257,1.0,1.0,3.036442104002215,9
27,45.0,888.9673871073817,255.0810481663366,2839.945660247555,883.5869788364264,883.5869788364264,883.5869788364264,1.0,1.0,5.159592600145066,1.0,1.0,3.7345536238460286,9
28,46.0,844.9190445234206,341.1471801173507,2044.1287242110793,1266.944872827844,474.2664114995878,4188.088319876637,1.0,1.0,5.035008800042839,1.0,1.0,3.023388239164382,9
29,47.0,1094.612211196864,321.8772804963998,2524.4159335746444,1647.9641288809569,344.38860014642796,9774.800051168393,1.0,1.0,4.677426895396587,1.0,1.0,4.349921332687017,9
30,48.0,1180.834378824761,350.9092034061911,2683.7775315996523,2480.960030007205,1776.774729367119,3185.1453306472918,1.2209121829106209,1.0,5.6919936755549045,1.0,1.0,5.174712851275393,9
31,49.0,,,,,,,1.0,1.0,3.29675685059491,1.0,1.0,2.7168041903519793,9
32,50.0,,,,,,,1.397836720163381,1.0,5.759126832132547,1.0,1.0,5.331419702262458,9
33,51.0,886.6777204318336,287.6848689977388,2168.581192617041,,,,1.0,1.0,5.619856242013623,1.0,1.0,3.191683871156392,9
34,52.0,,,,,,,1.4453259137866534,1.0,5.863578648759829,1.0,1.0,4.612700298248181,9
35,53.0,,,,,,,1.0,1.0,3.401358310156053,1.0,1.0,1.8406228180728483,9
36,54.0,,,,,,,1.0,1.0,5.417224424996892,1.0,1.0,3.7756284392424835,9
37,55.0,,,,,,,1.0,1.0,3.460574636527961,1.0,1.0,1.171867819514047,9
