,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,35.0,,,,,,,8.191237998333559,1.0,18.80510540622721,2.9887994886326044,1.0,7.111539850579908,9,1,0.49523809523809526,,,,,,
1,36.0,,,,,,,18.481796377309788,1.0297876986493064,36.72050771501532,15.95446239755557,1.3201405800626622,35.95560677201998,9,1,0.5934065934065934,,,,,,
2,37.0,,,,,,,4.435559833286125,1.0,13.72954944912388,3.397045589462006,1.0,9.344954803026734,9,1,0.4392523364485981,,,,,,
3,38.0,,,,,,,1.0,1.0,4.213158428876061,1.0,1.0,4.116978671696429,9,1,0.5487571701720841,,,,,,
4,39.0,889.7121757259242,357.9671244328297,1998.21533895358,910.753434023082,300.01860514108193,5185.9189519569645,1.6573700766237025,1.0,7.524303259327575,1.638381095137247,1.0,9.362786162208256,9,1,0.6047516198704104,1471.2026334325103,591.9242093300005,3304.1917926268125,1505.9958569738822,496.1021935011462,8575.287409843124
5,40.0,964.2226386072774,304.344670398547,2593.127647414028,1257.204998218406,486.5915557149572,17295.946951361588,1.550156702526545,1.0,5.540533981532989,1.576728452801599,1.0,4.683079633557891,9,1,0.6141078838174274,1570.1192966510396,495.588280851688,4222.592993424194,2047.20543628808,792.3551684277344,28164.34604917664
6,41.0,792.7032250581346,266.9061558813793,1740.4108911286312,1033.4711331187136,477.1423731866429,8066.646008799904,4.441680366581163,1.0,12.886283942144985,3.4757441274826992,1.0,12.489857584077884,9,1,0.6930280957336108,1143.8255244457469,385.1303540570653,2511.313613175097,1491.2398782688947,688.4892201687145,11639.709931616679
7,42.0,611.7715201467768,363.7780322554446,1146.50663520483,639.999725982318,463.9916928114425,998.097876818922,1.0058240003503942,1.0,4.356018106172559,1.2996405080208986,1.0,4.927691061004863,9,1,0.7398305084745763,826.9076675523443,491.7045567713913,1549.6882354429545,865.0626307664778,627.159447328181,1349.0899136842245
8,43.0,882.4926299295585,542.234035396491,1589.6350079180586,838.2853226812931,691.2144138778069,1082.0522286462208,1.352298325637212,1.0,9.1215427981357,1.0,1.0,12.338599780866726,9,1,0.7572815533980582,1165.342831830058,716.0269954594688,2099.1334078917953,1106.9665158483742,912.7574952488989,1428.8638403918044
9,44.0,1102.0332637144788,549.9136481025978,2370.6818833115285,895.6729835303702,596.9277492142311,1834.199531573332,1.735967926863545,1.0,4.167403497833846,1.6030060991850172,1.0,4.400469015268585,9,1,0.7578040904198062,1454.2455994186803,725.6672998399338,3128.3572011312644,1181.9321046870937,787.7072145170748,2420.413870499468
10,45.0,1829.2258019309745,910.5616111697348,3335.782817232329,1623.2194302639095,1209.3311937033882,2837.6347778424188,1.1549980054566755,1.0,9.077896809569724,1.0,1.0,10.023262742049752,9,1,0.8120586637696904,2252.5783955551333,1121.3002850591852,4107.810144832587,1998.8942950607743,1489.2165402059784,3494.3716561925708
11,46.0,3737.2607780464737,1997.4758269049469,6896.335884193271,3869.2654891885713,2709.0629418681574,6788.6957033757335,1.0,1.0,2.8713091100618797,1.0,1.0,2.8455109890933343,9,1,0.8262668045501551,4523.067800213942,2417.4707442016065,8346.378973735787,4682.828195300812,3278.6781787065183,8216.106064035463
12,47.0,3805.489404338384,1895.6354617301831,6747.672319474441,4394.56006223941,2786.0723788635264,8590.79974871605,1.234110258695166,1.0,2.8778297818523515,1.1291792425273328,1.0,2.8267496960389025,9,1,0.8216533780948384,4631.502170857186,2307.098725895315,8212.310080340956,5348.435458792909,3390.8122976668965,10455.503473539504
13,48.0,4496.506988884114,1771.0735175884251,7955.585022281343,5562.08386717155,2453.7100679715563,17955.03066648908,1.5318914761850055,1.0,2.843199883220389,1.481924671069744,1.0,2.781779341614292,9,1,0.8769968051118211,5127.16461756185,2019.4754499277853,9071.39567203665,6342.193990618197,2797.8551959019933,20473.313656142378
14,49.0,3452.132075330038,1699.0282118048638,6472.876659328638,3731.1869382173854,2199.9159985388565,9905.25707049702,1.3300231994353156,1.0,2.522237824900689,1.1889572702894649,1.0,2.299015028163016,9,1,0.8702928870292888,3966.632528864803,1952.248762602704,7437.584238363194,4287.277299201707,2527.788094474936,11381.521345426863
15,50.0,2230.8716107372884,1100.7095881042646,3987.1514476069633,2398.0839623936245,1621.9857445299351,3745.357171718354,1.0,1.0,2.940265974994184,1.0,1.0,5.018723729986811,9,1,0.8883183568677792,2511.3424635322945,1239.0935970133269,4488.426268332117,2699.5771773188344,1825.905917613901,4216.233001110691
16,51.0,1505.4952686902425,805.3616733018637,2670.879729475858,1675.798163077499,1286.4952272210237,2356.147866581288,1.3137338533564131,1.0,16.551314776438296,1.183371561653067,1.0,17.816973768082075,9,1,0.906896551724138,1660.0518171869594,888.0413888119409,2945.0765077870674,1847.838278678611,1418.568881726604,2598.0337692341195
