,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,34.0,,,,,,,9.767544853951502,2.7263969386890285,17.758039168556742,9.248771534313857,1.887922480108364,18.532145394815792,9,0.3695652173913043,,,,,,
1,35.0,,,,,,,3.367751944862825,1.0,17.09261306723608,3.7657937163504345,1.0,7.320345059365128,9,0.49523809523809526,,,,,,
2,36.0,,,,,,,10.099748189160938,2.283734511210966,24.21450487067848,8.026405899448847,1.8886436056541671,17.21907876602389,9,0.5934065934065934,,,,,,
3,37.0,,,,,,,4.849355962490488,1.0,10.293738323127464,3.5208989617068456,1.0,8.635796629728441,9,0.4392523364485981,,,,,,
4,38.0,379.0477968140275,106.52403873804458,922.0109541846256,404.1518772909242,165.15305064048886,2093.3947156301306,1.0069645333264443,1.0,2.6269794115177207,1.0,1.0,2.834239447445854,9,0.5487571701720841,690.7386680617992,194.11871867594883,1680.1802405524709,736.4858251677816,300.9583466375459,3814.7924608869625
5,39.0,290.0061275552382,82.39258992025452,590.9107746560597,217.25079851703128,147.2593516602968,308.67799824192895,1.0,1.0,2.5423515781161607,1.0,1.0,2.602676148862072,9,0.6047516198704104,479.5458466359832,136.24203261813514,977.1131738062702,359.239713262091,243.50385649541934,510.42111852147536
6,40.0,318.24573536909566,185.42997788688731,618.5213038916175,286.0973653610496,168.99524587600467,439.8920088057208,1.5551493144292547,1.0,3.1487852007395984,1.7151383235920976,1.0,3.3254732475362245,9,0.6141078838174274,518.2244744861625,301.9501666941881,1007.1867178235123,465.87476386495234,275.1882044332238,716.310635960667
7,41.0,496.0803576138992,287.9517191138742,870.6760442847777,448.0728489579216,393.31280661884585,650.3056101919643,2.560848186807064,1.0,7.623006281208445,2.071971158168351,1.0,7.872898339827312,9,0.6930280957336108,715.8156511515873,415.49790100365334,1256.3358536901974,646.5435553281723,567.5279386797461,938.3538909826993
8,42.0,689.3007793332508,411.8227744982684,1176.9489355615274,587.6155483190776,480.6998394669173,733.5362333174297,1.014218310451536,1.0,12.766577419743795,1.0,1.0,17.36576920323142,9,0.7398305084745763,931.7009388467766,556.6447581992632,1590.8359037372304,794.2569839822582,649.743196530312,991.4922741289428
9,43.0,994.4881233678668,582.0352190213878,1832.8684227077129,886.9025113666498,771.5244869569349,998.7364583198196,1.5147773311000678,1.0,3.319217016938389,1.0,1.0,3.5811483105427606,9,0.7572815533980582,1313.2343167550036,768.58496870773,2420.3262504986465,1171.1661368046787,1018.8079763662089,1318.84429752489
10,44.0,1277.5323601905038,707.6204031309373,2390.8928025537352,1054.24056954202,811.0532848304099,1707.1161379686544,1.5991739347149214,1.0,2.9979473539168477,1.7190442359683704,1.0,3.5516046528229634,9,0.7578040904198062,1685.8346059900257,933.7774921997739,3155.0275760971876,1391.178251568944,1070.267757965129,2252.714335472841
11,45.0,2195.9117226680783,1116.3119538055466,3659.433804290185,1955.53616793564,1552.184018583895,2641.8108977391694,1.0000349368603452,1.0,2.564566768376297,1.0,1.0,2.673355536771163,9,0.8120586637696904,2704.1294190180147,1374.669101642817,4506.36631016604,2408.121796100009,1911.4185807444487,3253.2266640386692
12,46.0,3004.978841244163,1656.8865984678278,5255.1091155124905,2870.803311163068,2112.4273142862307,4151.010493239607,1.0,1.0,1.8678588461718035,1.0,1.0,1.898627558197939,9,0.8262668045501551,3636.8141920939997,2005.2682612245176,6360.063222403727,3474.4265355377806,2556.5922564640614,5023.813700829412
13,47.0,3068.569861255137,1761.7352404719636,5680.726457659268,3293.059252369276,2113.4808823355343,4908.368898514063,1.4532846586801236,1.0,2.5523966747087923,1.2295390752065538,1.0,2.4801608293854107,9,0.8216533780948384,3734.628181496931,2144.1343605948364,6913.774846068455,4007.8448408559675,2572.229286315413,5973.770727864665
14,48.0,3264.913696114976,1749.247771190363,5976.413967551247,3643.8271022065446,2519.589210058956,5836.1712578027,1.639325461209376,1.0,2.677866682954414,1.4290414780215643,1.0,2.69265777343229,9,0.8769968051118211,3722.8341962986797,1994.5885332698856,6814.635963000147,4154.892105612563,2872.974217662853,6654.723510718562
15,49.0,2910.386093137954,1855.542695024969,5077.198605733789,2953.0564300979718,2127.5455045188924,3813.4579782581777,1.6225378598035096,1.0,2.5928346879095923,1.545545943390993,1.0,2.415814604520135,9,0.8702928870292888,3344.145558942168,2132.089923610421,5833.8964748575745,3393.1754172760348,2444.6316133654577,4381.809888479348
16,50.0,1803.287296860872,1018.9989793338262,3260.489326283164,1734.185357601856,1438.530873368894,2392.4773083043647,1.0,1.0,2.021141392938844,1.0,1.0,2.120184570271181,9,0.8883183568677792,2030.001162217658,1147.1101226893795,3670.4063369574924,1952.2115514044015,1619.38663346007,2693.2656404177746
17,51.0,1181.9631034337713,700.6323865983775,2182.3325190330493,1259.924197502532,987.07957871106,1728.958353205354,1.4036252914280052,1.0,4.6067983493269375,1.4284857095199652,1.0,4.732184557169612,9,0.906896551724138,1303.3053231779227,772.5604262871842,2406.374260530739,1389.2700276643889,1088.4147445863398,1906.4559788195916
