,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t
18,35.0,,,,,,,20.427098681521773,1.0,29.93846431581729,3.3541290410943545,1.0,11.69215023131587,9,1
19,36.0,,,,,,,24.51085372474806,3.8381500711694936,40.42751092040143,17.11932053017822,3.163625819255374,34.81366904671708,9,1
20,37.0,,,,,,,7.792297337152544,1.0,14.985415169145002,6.411710255357856,2.130671064913742,10.770653934593705,9,1
21,38.0,,,,,,,1.0000043107665348,1.0,4.825962964102746,1.0,1.0,4.9662917100522606,9,1
22,39.0,984.1112408342442,349.2413493758546,2943.4319910515724,426.8659371409596,175.2998588905406,1779.8547204153026,1.009362386907706,1.0,3.972936686017429,1.0,1.0,3.482378439789643,9,1
23,40.0,607.7146926699922,194.12628309044072,1374.1893105639497,817.4289511626602,323.5571702538824,9827.984860785396,2.1498173461788705,1.0,5.093348840422047,2.2316435810561286,1.0,5.192636267269226,9,1
24,41.0,687.3000931628246,301.26232969304255,1332.087047699629,736.875818814075,373.70567406115913,2605.5038279880882,4.406328079920781,1.0,11.817559577362067,3.940575108767276,1.0,11.924856932511018,9,1
25,42.0,672.986528964572,380.39623452814885,1214.4751876785804,662.225557459112,507.6032628007629,1070.2446950294277,1.3667791073962483,1.0,4.9244711585268535,1.8175022024482126,1.0,5.118201272051443,9,1
26,43.0,874.6646690227572,499.0318288205669,1572.6052649795245,885.0300638312109,680.1018567295466,1204.7248623230228,1.1976028141066732,1.0,15.281319271593762,1.0,1.0,13.734497414100167,9,1
27,44.0,1384.0184642943311,511.08565638465177,2778.1240915704334,1121.208302816599,688.530655800003,3681.146938289207,1.4464836953522022,1.0,3.154196590994227,1.333266598937651,1.0,3.3259009766427177,9,1
28,45.0,1879.311209192403,857.1765854677973,3664.4486789724297,1662.40292745109,1133.8501138589966,2672.3554662467527,1.095566066925687,1.0,5.684084759210876,1.0,1.0,5.914565659498617,9,1
29,46.0,3559.2447071122065,1909.6607750885173,6363.563385907409,3699.9764804019273,2400.186607914302,5648.6302511382655,1.0,1.0,2.1609130961251983,1.0,1.0,2.238909612662217,9,1
30,47.0,3028.1792371155743,1655.9158550366683,5236.720082403523,3226.8396778059923,2222.9915217521975,4988.904048811321,1.6821202516272695,1.0,3.4179970041230034,1.448093441149102,1.0,3.245629566685923,9,1
31,48.0,2957.5260438268197,1515.3379398358884,5375.851273549508,3180.0680874974914,1851.5894077613104,8478.462036412293,1.5325837593492126,1.0,2.9969268818367527,1.2866610568569987,1.0,2.833663403121841,9,1
32,49.0,2654.2192892330045,1503.6625732272755,4948.028600617399,2640.983811661399,1722.3855222873663,4406.256561361833,1.7016709411673654,1.0,2.9082111545057887,1.5581919872715226,1.0,2.8997118592030304,9,1
33,50.0,1842.1533723654093,1051.96474339839,3375.280418438044,1868.4034462449595,1336.280477314032,3049.9994067179887,1.0,1.0,2.4533675783396562,1.0,1.0,2.7390215362919594,9,1
34,51.0,1431.3871335028864,813.8668449830823,2590.8159102536447,1459.8726531044615,1103.355963383748,2287.1600875994704,1.301192359655464,1.0,9.149956947515749,1.421557162431586,1.0,10.472068273832932,9,1
35,52.0,1230.3341939332527,669.2619271373117,2226.3155900253896,1302.9910708273223,828.8420702685756,1978.6173943450724,1.0363511917709727,1.0,2.6637755457092496,1.0754244248567095,1.0,2.92708012665189,9,1
36,53.0,982.5152714371325,543.6946167990216,1789.0805766463532,1047.9604849099999,741.2285839130114,1780.6883899217996,1.8704480225689462,1.0,3.961766863837697,1.937192031586852,1.0,4.012131340460719,9,1
37,54.0,776.2255978250416,374.25111423197643,1436.6183561120968,1275.4390588060055,575.5679577672647,26883.239129432863,1.0,1.0,2.7465768132568593,1.0,1.0,2.9178555362228633,9,1
38,55.0,745.311282159789,196.49646184257602,1488.55250798235,1204.6203353957883,447.1124417312874,19128.193730593986,1.0722283329860502,1.0,4.118663282776158,1.186117124882426,1.0,4.141649079094755,9,1
39,56.0,,,,,,,1.529108081121545,1.0,4.330414118669374,1.7082408265724722,1.0,4.539554926971014,9,1
40,57.0,,,,,,,1.0,1.0,1.8286211654234483,1.0,1.0,1.8058261821000323,9,1
41,58.0,,,,,,,1.0,1.0,2.9027929382826207,1.0,1.0,2.902808465711991,9,1
42,59.0,,,,,,,1.0,1.0,3.0749208518083857,1.0,1.0,3.7372573008126024,9,1
