,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,34.0,,,,,,,2.5465818762770933,0.0,14.267436969558773,1.8484425321968885,1.0,11.972454927640731,9,1,0.3695652173913043,,,,,,
1,35.0,,,,,,,5.199300914409255,0.0,25.305831713987285,3.924244250170263,1.0,12.832896361894154,9,1,0.49523809523809526,,,,,,
2,36.0,,,,,,,8.389611522783188,0.0,23.88645204662502,4.263644031441912,1.0,17.132962252036563,9,1,0.5934065934065934,,,,,,
3,37.0,,,,,,,5.374777139180917,0.0,13.045704366213595,3.5088094786793844,1.0,10.525804959407813,9,1,0.4392523364485981,,,,,,
4,38.0,520.1062953646801,408.5362984478624,1407.0262957818547,1015.620337918129,142.78229572761646,25409.16189757208,0.7644373192540601,0.0,3.9936920035015455,1.0,1.0,3.53836544179906,9,1,0.5487571701720841,947.789520821351,744.4755543143973,2564.023528550209,1850.7645879135243,260.19212775450666,46303.10687257909
5,39.0,354.33267794818033,150.4140281877472,1017.3095845593878,320.3562115621743,148.55328436445518,675.3219219637289,0.5633271052591278,0.0,4.98358553866756,1.0,1.0,3.385773334850458,9,1,0.6047516198704104,585.9143924643125,248.72033946759626,1682.1940630392733,529.7318784045954,245.64346664550982,1116.6930352471659
6,40.0,439.813217703989,172.44569287849072,1502.182817872626,318.82388568137014,156.24697335131606,1044.1041221139774,1.7569314989034703,0.0,4.115413679847749,1.923180675959729,1.0,4.261656365067146,9,1,0.6141078838174274,716.1823342341983,280.8068377278126,2446.1220209952894,519.165921954123,254.4291930923457,1700.1965772261387
7,41.0,414.052906441656,288.3623382471442,747.9628190868452,335.17879390075643,253.96913764720324,486.99055649679696,2.33951292269974,0.0,10.629622923423632,1.9259133724022168,1.0,10.644913141467423,9,1,0.6930280957336108,597.4547193550021,416.0904009842426,1079.2676713850726,483.6438752832236,366.4629748933368,702.6995867769098
8,42.0,492.6505218922199,374.44741498088734,771.664153405525,392.6142071434029,321.72570226210763,478.6504793438926,0.6921794226271467,0.0,4.981725964694509,1.0,1.0,4.311549244965249,9,1,0.7398305084745763,665.8964671624507,506.12594464770564,1043.0282944083842,530.6812880059741,434.8640649132726,646.9731565014813
9,43.0,612.2101311394716,546.2909172359322,955.9001750476832,565.9316545786027,480.7340417168064,652.8473842016407,1.3746249679907738,0.0,5.527043280914092,1.0,1.0,4.382272382374263,9,1,0.7572815533980582,808.4313270175074,721.3841599397566,1262.278436280915,747.3200054050778,634.815465343988,862.0933406765255
10,44.0,1137.2172879854377,610.6597204948843,3217.064010731852,831.3572202422226,543.3035339032945,1716.2069649507591,1.4830881748866456,0.0,2.8732783555345454,1.3467642145122172,1.0,3.343375282928506,9,1,0.7578040904198062,1500.674517810329,805.8279550280504,4245.244980070867,1097.0608772798648,716.9445781195462,2264.7106114193966
11,45.0,1756.9476291395636,961.7324698395198,3689.23754084202,1413.1208388559994,1015.4056048546686,2407.7872506374006,0.9476070050009716,0.0,2.8605259846669258,1.0,1.0,2.447991045539783,9,1,0.8120586637696904,2163.572297823369,1184.3140314211078,4543.067767685725,1740.170879153107,1250.4091762792273,2965.0410223568256
12,46.0,2725.010039632164,1600.0860769918245,4794.427718973502,2654.688992322864,1987.7606357132809,3740.419401131499,0.6405095320279166,0.0,1.8896374788305603,1.0,1.0,1.882356132503131,9,1,0.8262668045501551,3297.97835835332,1936.5247014406687,5802.5176523746895,3212.871408731176,2405.712809430216,4526.890564323104
13,47.0,2700.3219170268226,1591.9445247235362,4805.588267729448,2802.689712574604,1942.9833388139043,5055.786409279708,1.481963790406161,0.0,3.144661405764319,1.213061155838325,1.0,2.8825041320982554,9,1,0.8216533780948384,3286.4489929902547,1937.4891738591352,5848.6807160364015,3411.036560298918,2364.72384902632,6153.18642150845
14,48.0,2786.9603615415685,1507.1789897776582,5929.0812892849335,2709.902869587293,1526.3630667078096,5888.256268626457,1.6220641186100924,0.0,3.09323559957486,1.2864028640438678,1.0,2.7981606518892543,9,1,0.8769968051118211,3177.845512431734,1718.5683927155083,6760.664639512511,3089.9803212416127,1740.4431325302164,6714.113705209767
15,49.0,2135.0254650770285,1577.491529283839,3555.290177816213,1969.889343106796,1244.1161646948508,3486.305272755389,1.6198569753372438,0.6960654055190925,2.639390351093783,1.4872781857930597,1.0,2.576043149057917,9,1,0.8702928870292888,2453.226375737547,1812.5984398982573,4085.1651562407446,2263.4786202044434,1429.5373238561026,4005.8988470602785
16,50.0,1509.1078298128086,1165.7709708345287,2490.3253664242425,1415.0029802145048,1047.202810830919,2058.0520681328167,0.8207152194796072,0.0,2.3185154750120742,1.0,1.0,2.413115143957356,9,1,0.8883183568677792,1698.8367043701994,1312.3346622544768,2803.4154052665967,1592.9007537385828,1178.859811614575,2316.7956084905554
17,51.0,1004.3802873722098,714.1249410680759,1636.9950333991242,983.936637020583,781.258543481428,1240.7637337745348,1.2347382033673866,0.0,5.173288499443015,1.2835038916523285,1.0,5.329054418064433,9,1,0.906896551724138,1107.4915716271514,787.4381479457871,1805.051557740479,1084.9491434827721,861.4637931924491,1368.1425201316163
18,52.0,806.8426558663203,711.1972570885664,1276.518519265922,847.4322614850059,550.3078998655147,1197.3944003651045,1.1231450803119711,0.0,2.592379130691992,1.0,1.0,2.448669107726863,9,1,0.911275415896488,885.3993444699378,780.4416147767027,1400.8042980179791,929.9408792360816,603.8875736860922,1313.9764109483197
19,53.0,697.9237988100369,587.9835760331924,1166.5795533523356,728.0719482741792,430.3384208665767,1306.133588768094,1.6445222387069447,0.0,3.954383900157954,1.6510302918807416,1.0,3.834061509120281,9,1,0.9366306027820711,745.1430657262275,627.7646430585404,1245.5065528365694,777.3309414742474,459.45372656877083,1394.5023629256712
20,54.0,1101.780936571763,476.86787666253633,3022.852591052605,1217.1669214961166,398.155003893537,7012.094956921472,0.8517048551602112,0.0,3.3396996870307323,1.0191853655845995,1.0,3.3774848426427204,9,1,0.9442176870748299,1166.8717411819105,505.04018637891096,3201.436101475021,1289.0744773770111,421.6771294837892,7426.354169073893
21,55.0,1214.4721675402736,790.1060289214254,4309.745312098981,1505.4664778949373,510.5963241213999,18864.16004207664,0.9986844731517076,0.0,3.974355152551349,1.2253049977289847,1.0,4.116491880122799,9,1,0.9642857142857143,1259.4526181899134,819.3692151777744,4469.365508843388,1561.2244955947497,529.5072990888591,19562.832636227628
22,56.0,,,,,,,1.278941332743078,0.0,3.524292983339936,1.2972787199605067,1.0,3.5808592148140117,9,1,0.972183588317107,,,,,,
23,57.0,,,,,,,0.4887638494417726,0.0,3.648115751903811,1.0,1.0,2.966939462500738,9,1,0.9639934533551555,,,,,,
24,58.0,,,,,,,0.9039762885152398,0.0164465121326109,3.554586505999644,1.0,1.0,2.8884384101500147,9,1,0.9629629629629629,,,,,,
25,59.0,,,,,,,1.119667063813849,0.0,4.419981852060477,1.063314422865158,1.0,4.268017190998882,9,1,0.9831932773109243,,,,,,
