,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,39.0,,,,,,,1.0,1.0,4.544157067744335,1.0,1.0,3.6923612251940776,9,1,0.603448275862069,,,,,,
1,40.0,,,,,,,1.0,1.0,2.361701401672949,1.0,1.0,2.1186481997690403,9,1,0.5777777777777777,,,,,,
2,41.0,,,,,,,1.0,1.0,5.700814171201936,1.0,1.0,4.68403788555761,9,1,0.6889952153110048,,,,,,
3,42.0,,,,,,,1.0,1.0,2.959817056042118,1.0,1.0,1.8601657244311964,9,1,0.7458333333333333,,,,,,
4,43.0,1349.4578678138196,339.88031626252945,3482.524922894926,49430.75041886841,16598.58511927589,82262.91571846092,1.0,1.0,2.20300255808084,1.0,1.0,1.2269415586978871,9,1,0.7585034013605442,1779.1058885079058,448.0933317541868,4591.310884892862,65168.79203205073,21883.33643527853,108454.24762882292
5,44.0,,,,,,,1.0,1.0,3.359603799161286,1.0,1.0,2.5564558329540046,9,1,0.7870370370370371,,,,,,
6,45.0,1740.7639323760304,573.0869070651886,4529.78508333177,,,,1.0,1.0,1.8408239283688397,1.0,1.0,1.0,9,1,0.8169014084507042,2130.935158598244,701.5374207177308,5545.081739940614,,,
7,46.0,2019.001861105827,637.0055012093082,4647.439941539397,,,,1.0,1.0,4.807600137160882,1.0,1.0,3.379738666745297,9,1,0.807799442896936,2499.385062541351,788.5688790832471,5753.210134526357,,,
8,47.0,3355.186061375324,912.153875928322,6591.427355537762,2756.3288998076014,2756.3288998076014,2756.3288998076014,1.0,1.0,2.32462777048412,1.0,1.0,1.0921424264923665,9,1,0.8333333333333334,4026.2232736503884,1094.5846511139864,7909.712826645315,3307.5946797691213,3307.5946797691213,3307.5946797691213
9,48.0,3496.426661803304,1039.8460252606365,6644.33130699737,,,,1.0,1.0,2.989329184122807,1.0,1.0,2.247156058019256,9,1,0.89,3928.5692829250606,1168.366320517569,7465.540794379068,,,
10,49.0,3199.3578517558594,819.157166259722,7680.955766446276,,,,1.0,1.0,2.885233289709829,1.0,1.0,2.3662724225158827,9,1,0.896551724137931,3568.5145269584586,913.6753008281514,8567.219893343923,,,
11,50.0,2763.4843224841825,678.368578215882,4939.092565503412,,,,1.0,1.0,2.6226279648849613,1.0,1.0,1.4487515517297045,9,1,0.8435374149659864,3276.0660919772163,804.1950080462473,5855.2145736209795,,,
12,51.0,1772.4687033945577,534.9470514436916,3620.334431141431,2570.107194591601,1344.282967789567,3795.9314213936345,1.0,1.0,2.4020480208414865,1.0,1.0,1.4631848420313855,9,1,0.9071428571428571,1953.90250767904,589.70541104029,3990.919845352759,2833.189033408064,1481.8867361459793,4184.491330670148
13,52.0,1820.328618275898,448.6804126279506,3534.0824413792325,,,,1.0,1.0,3.251308116386761,1.0,1.0,2.4935375809361746,9,1,0.9272727272727272,1963.0994902975372,483.87103322622124,3811.265377957996,,,
14,53.0,1088.4391481348478,267.67576283910626,2384.0548294120563,1403.5088964455438,1403.5088964455438,1403.5088964455438,1.0,1.0,3.2937110384220003,1.0,1.0,2.570416323500673,9,1,0.9555555555555556,1139.0642247922824,280.1257983199949,2494.941100547501,1468.7883800011505,1468.7883800011505,1468.7883800011505
15,54.0,,,,,,,1.0,1.0,2.449928579333656,1.0,1.0,1.7512470417946049,9,1,0.9753086419753086,,,,,,
16,55.0,,,,,,,1.0,1.0,3.601142190711469,1.0,1.0,2.5595698614684648,9,1,0.9752066115702479,,,,,,
17,56.0,,,,,,,1.0,1.0,2.9663476491822416,1.0,1.0,2.020389726520204,9,1,0.971830985915493,,,,,,
18,57.0,,,,,,,1.0,1.0,3.0339522625507573,1.0,1.0,1.8670446817027808,9,1,0.9859154929577465,,,,,,
