,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
21,39.0,,,,,,,1.0,1.0,7.335387301226616,1.0,1.0,7.237241514689697,9
22,40.0,,,,,,,1.0,1.0,7.5824561525034975,1.0,1.0,5.627625796732053,9
23,41.0,,,,,,,1.0,1.0,6.612874218421814,1.0,1.0,6.170188094764554,9
24,42.0,,,,,,,1.0,1.0,4.20277678906221,1.0,1.0,3.238557128714804,9
25,43.0,987.7634672782916,533.8619134619302,3350.104232982346,238.10151253227943,238.10151253227943,238.10151253227943,1.0000099968056584,1.0,7.263721833317276,1.0,1.0,4.806464267007443,9
26,44.0,,,,,,,1.3670665826403772,1.0,5.076125227291234,1.0,1.0,4.6146356881386685,9
27,45.0,1011.9522196066939,285.4627144653918,2480.5428058017487,285.09015012636047,285.09015012636047,285.09015012636047,1.6014946881874876,1.0,7.462511323810029,1.0,1.0,5.6038826970521765,9
28,46.0,858.3858121812473,281.4675743367435,2044.409839742313,1510.8932596262073,288.3577466548656,11593.297988685345,1.0,1.0,4.458166381341365,1.0,1.0,2.5651385976081857,9
29,47.0,847.4010128781804,258.0995720118058,1902.8837678441905,1112.4643914050237,408.51873465021384,21320.97904494104,1.0,1.0,3.3619826634615846,1.0,1.0,2.286887051384286,9
30,48.0,,,,,,,1.0,1.0,3.5245403210148845,1.0,1.0,3.420695463811444,9
31,49.0,853.7188032208016,211.5604288386805,2267.991014243236,,,,1.0,1.0,3.5793967470327166,1.0,1.0,2.6679599519991837,9
32,50.0,,,,,,,1.0,1.0,4.332667981768725,1.0,1.0,4.021848194138841,9
33,51.0,,,,,,,1.0,1.0,5.290136556684781,1.0,1.0,4.2533588480756945,9
34,52.0,,,,,,,1.0,1.0,3.0470492106988956,1.0,1.0,2.7421329314376637,9
35,53.0,,,,,,,1.0,1.0,5.596449431731422,1.0,1.0,4.121073269372026,9
