,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,39.0,,,,,,,1.0,1.0,7.335387301226616,1.0,1.0,7.237241514689697,9,8.6,,,,,,
1,40.0,,,,,,,1.0,1.0,7.5824561525034975,1.0,1.0,5.627625796732053,9,16.5,,,,,,
2,41.0,,,,,,,1.0,1.0,6.612874218421814,1.0,1.0,6.170188094764554,9,11.555555555555555,,,,,,
3,42.0,,,,,,,1.0,1.0,4.20277678906221,1.0,1.0,3.238557128714804,9,12.461538461538462,,,,,,
4,43.0,987.7634672782916,533.8619134619302,3350.104232982346,238.10151253227943,238.10151253227943,238.10151253227943,1.0000099968056584,1.0,7.263721833317276,1.0,1.0,4.806464267007443,9,11.166666666666666,88.45642990551866,47.808529563754945,300.0093342969265,21.32252351035338,21.32252351035338,21.32252351035338
5,44.0,,,,,,,1.3670665826403772,1.0,5.076125227291234,1.0,1.0,4.6146356881386685,9,7.578947368421052,,,,,,
6,45.0,1011.952219606694,285.4627144653918,2480.5428058017487,285.09015012636047,285.09015012636047,285.09015012636047,1.6014946881874876,1.0,7.462511323810029,1.0,1.0,5.6038826970521765,9,8.11111111111111,124.76123255424996,35.194033290253785,305.82034592076354,35.1481007005102,35.1481007005102,35.1481007005102
7,46.0,858.3858121812473,281.4675743367435,2044.409839742313,1510.8932596262073,288.3577466548656,11593.297988685345,1.0,1.0,4.458166381341365,1.0,1.0,2.5651385976081857,9,7.836734693877551,109.5336062418779,35.916435266928204,260.8752139254514,192.79627531688584,36.795649963771915,1479.3531287645362
8,47.0,847.4010128781804,258.0995720118058,1902.8837678441903,1112.4643914050237,408.5187346502138,21320.97904494104,1.0,1.0,3.3619826634615846,1.0,1.0,2.286887051384286,9,4.534883720930233,186.86278745518848,56.91426459747512,419.61026675538557,245.31266066880008,90.08361841004714,4701.549225294691
9,48.0,,,,,,,1.0,1.0,3.5245403210148845,1.0,1.0,3.420695463811444,9,7.416666666666667,,,,,,
10,49.0,853.7188032208016,211.5604288386805,2267.991014243236,,,,1.0,1.0,3.5793967470327166,1.0,1.0,2.667959951999184,9,4.666666666666667,182.93974354731463,45.334377608288676,485.9980744806934,,,
11,50.0,,,,,,,1.0,1.0,4.332667981768725,1.0,1.0,4.021848194138841,9,4.214285714285714,,,,,,
12,51.0,,,,,,,1.0,1.0,5.290136556684781,1.0,1.0,4.253358848075695,9,4.512820512820513,,,,,,
13,52.0,,,,,,,1.0,1.0,3.047049210698896,1.0,1.0,2.742132931437664,9,4.222222222222222,,,,,,
14,53.0,,,,,,,1.0,1.0,5.596449431731422,1.0,1.0,4.121073269372026,9,2.4347826086956523,,,,,,
