,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
25,42.0,,,,,,,1.0,1.0,5.274776050724191,1.0,1.0,5.17856379519871,9
26,43.0,,,,,,,1.0,1.0,5.589200823733854,1.0,1.0,3.978599168952389,9
27,44.0,,,,,,,1.3388222547299455,1.0,6.04270045216198,1.0,1.0,3.87969675563412,9
28,45.0,,,,,,,1.0,1.0,4.567793653785882,1.0,1.0,4.467739481681148,9
29,46.0,421.85415600048464,107.52978371550624,1230.7757966316856,,,,1.0,1.0,7.544305488488315,1.0,1.0,2.950901908134015,9
30,47.0,380.82271174655875,105.08836762479976,1109.2689951440034,561.735186346739,113.20109444924375,4430.607520750153,1.0,1.0,4.286882223605622,1.0,1.0,3.383267516161872,9
31,48.0,,,,,,,1.0,1.0,3.650345376060465,1.0,1.0,2.600868119340565,9
32,49.0,,,,,,,1.0,1.0,1.8829086230848293,1.0,1.0,1.565575232305986,9
33,50.0,421.7060163101739,104.76713749879768,1136.1730605417138,,,,1.0,1.0,3.502772000198328,1.0,1.0,2.315245254378172,9
34,51.0,422.23016760893705,104.36274616544377,959.8024104092826,,,,1.0,1.0,3.4404313609300017,1.0,1.0,2.263425169476632,9
35,52.0,,,,,,,1.0,1.0,1.301581387274242,1.0,1.0,1.271190775388436,9
36,53.0,,,,,,,1.0,1.0,4.962425505308452,1.0,1.0,3.695811623845445,9
37,54.0,,,,,,,1.0,1.0,5.622025767585435,1.0,1.0,4.257626133111597,9
38,55.0,,,,,,,1.0,1.0,3.461148813681934,1.0,1.0,1.8188126293462432,9
