,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
24,42.0,,,,,,,1.0038172038025324,1.0,3.669537160043334,1.233697695430347,1.0,4.014610558479638,9
25,43.0,,,,,,,1.0,1.0,4.214319392410658,1.0,1.0,3.6859049907538375,9
26,44.0,,,,,,,1.0,1.0,4.088715436741264,1.0,1.0,4.66654073837245,9
27,45.0,,,,,,,1.0,1.0,3.602738820399516,1.0,1.0,3.0653578147184106,9
28,46.0,753.912871739768,232.19673732432926,1957.7766804798734,1719.2700503123374,292.13337009652304,17773.06279251427,1.0,1.0,4.4658025880247125,1.0,1.0,3.86080124066704,9
29,47.0,1144.0796716887917,377.20059954870635,2757.507616765169,1752.5096537276363,308.16562149014754,16991.63035838541,1.0,1.0,6.699605058846823,1.0,1.0,3.5278227619459432,9
30,48.0,875.8515371015358,285.555958751488,2043.4717266249315,1107.3927133140364,690.1085669302257,2538.3618710176406,1.2725982548533077,1.0,4.923337911848789,1.0,1.0,4.318744600510936,9
31,49.0,1361.894600028552,407.07137154901744,3295.189588699814,,,,1.0,1.0,2.099210061182102,1.0,1.0,1.809787364410606,9
32,50.0,611.6926151521532,235.28764057151525,1940.6915525821519,1957.7792969709544,1957.7792969709544,1957.7792969709544,1.0,1.0,3.275449943646677,1.0,1.0,2.295878650981745,9
33,51.0,611.0673799460552,289.99603897884055,1360.065423631998,948.2833794379457,533.1822517336798,2406.48311769549,1.0,1.0,2.6331681989266147,1.0,1.0,1.628373963569896,9
34,52.0,2129.0283162696965,670.258106766308,4521.8558256787965,,,,1.0,1.0,4.7544173638928555,1.0,1.0,3.7495509300853485,9
35,53.0,,,,,,,1.086757250328769,1.0,4.314169935035642,1.0,1.0,3.586951375773096,9
36,54.0,,,,,,,1.4311975860537125,1.0,5.686952219142212,1.0,1.0,4.509006161462541,9
37,55.0,,,,,,,2.6702654846737657,1.0,8.377580741144957,1.0,1.0,6.588224828663616,9
38,56.0,,,,,,,1.8572136681828795,1.0,7.4071650362592765,1.0,1.0,4.662100394081798,9
