,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
20,39.0,,,,,,,2.6322378412412792,1.0,13.008264385218267,1.0,1.0,10.430190270099823,9
21,40.0,,,,,,,2.8138835889580656,1.0,9.64766874577627,1.651719686016723,1.0,10.433178261470939,9
22,41.0,,,,,,,1.0,1.0,3.710653483472883,1.0,1.0,3.631948186232954,9
23,42.0,,,,,,,1.0,1.0,7.9126856639129635,1.0,1.0,6.351223618556691,9
24,43.0,462.1998489347269,131.77824852682213,1114.7168106839326,1247.6970691413185,1247.6970691413185,1247.6970691413185,1.0,1.0,8.08593696155905,1.0,1.0,5.821121413933332,9
25,44.0,,,,,,,1.0,1.0,3.096337304424255,1.0,1.0,1.6380878406725699,9
26,45.0,,,,,,,1.0,1.0,4.742068950968405,1.0,1.0,3.128314260607185,9
27,46.0,496.9960916447703,152.5988886432613,1405.9891997735258,,,,1.370611179047782,1.0,5.950836771518948,1.0,1.0,5.180954093126893,9
28,47.0,999.1288499424476,306.506261936208,2292.2096280105925,3121.7072211277414,3078.7328156774997,13650.041277064553,1.0,1.0,4.489260234718032,1.0,1.0,3.135136759237051,9
29,48.0,,,,,,,1.0,1.0,4.064903346867759,1.0,1.0,3.3308052377099755,9
30,49.0,,,,,,,3.168829488529248,1.0,9.067021203402513,2.191267904993669,1.0,7.7784782202287035,9
31,50.0,,,,,,,1.1505985139656711,1.0,4.354452207244676,1.0,1.0,3.364512057221766,9
32,51.0,696.1279572301867,223.43091116438615,1530.4103205955346,,,,1.0,1.0,3.3685334559675786,1.0,1.0,2.1274983047196647,9
33,52.0,,,,,,,1.0,1.0,2.4970323584301886,1.0,1.0,1.4918064733391938,9
34,53.0,,,,,,,1.0,1.0,3.66907346272198,1.0,1.0,2.4966182646752966,9
35,54.0,,,,,,,1.0,1.0,3.5984462259408163,1.0,1.0,2.2635202699921635,9
36,55.0,,,,,,,1.0,1.0,3.1752561484231845,1.0,1.0,2.023604279569211,9
