,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,35.0,,,,,,,4.353019253911409,1.0,31.44392313571485,4.139370387367431,1.0,21.203818831010068,9,0.3476190476190476,,,,,,
1,36.0,,,,,,,15.033929701973564,1.0,46.29922317504022,6.67111791383299,1.0,45.01800562541381,9,0.4065934065934066,,,,,,
2,37.0,,,,,,,10.345981417292034,1.0,24.69962525554316,6.872459392014575,1.0,20.827175871755987,9,0.29205607476635514,,,,,,
3,38.0,,,,,,,1.626463449295864,1.0,5.36332984594326,2.889993574045,1.0,8.067650520540596,9,0.3384321223709369,,,,,,
4,39.0,75.14272781005715,36.41264568098241,166.02930209626516,137.11328557169315,39.931457373696105,2269.7393585945088,1.0,1.0,5.388805797548495,2.6267358292376546,1.0,6.883709739248461,9,0.42116630669546434,178.4158101336229,86.45669205279412,394.21316343882444,325.55616010099453,94.81161417446819,5389.176015534655
5,40.0,384.59261647998267,94.84691966408602,865.1608435469245,181.4847807946404,54.35618292272423,3579.141273624629,1.5958238479208702,1.0,6.925155251771745,2.053952763265189,1.0,7.3728294668433,9,0.44398340248962653,866.2319679595872,213.62717419667973,1948.6333018206433,408.7647866496106,122.42841200351907,8061.430345266688
6,41.0,464.38389084981,196.99716349690223,862.0879798037024,542.0947969292728,190.200732842166,10216.433606654047,1.0,1.0,10.243411120938765,2.6164313518623885,1.0,10.041105483964586,9,0.5239583333333333,886.2992747829376,375.9786818231136,1645.3368998241638,1034.6143241592483,363.0073628796806,19498.5611578288
7,42.0,351.3132367560263,197.5789538386457,657.2593199161494,459.7849535742452,250.42727240111049,1088.0607579678035,1.0,1.0,3.4312574227708064,1.0,1.0,4.548407128995648,9,0.551271186440678,637.278431010163,358.40609612544495,1192.2613335911703,834.0449580593533,454.2723772994779,1973.730506382795
8,43.0,626.2186098115192,318.9519168361189,1103.090575706637,633.9681558640357,403.7925610063114,1095.0478362036688,1.0,1.0,3.060370502637073,1.0,1.0,8.004528589928618,9,0.587378640776699,1066.1242448030823,543.0090484978554,1877.9889140129526,1079.3176868429039,687.4484922917368,1864.2963161814528
9,44.0,1276.0470989007076,602.6973303200853,2615.6019198505883,1028.658969283726,577.8330740877292,2707.871144840252,1.110964836671258,1.0,2.655202864527229,1.0303807657003916,1.0,2.9122967596606517,9,0.5748116254036598,2219.939615877823,1048.5127712871895,4550.363639590256,1789.5583941284299,1005.2564154073042,4710.884444862536
10,45.0,1737.7591758831902,875.101320127525,3085.4620927896576,1519.5426742210311,974.0022518956677,3514.447030154768,1.0,1.0,2.738416418137183,1.0,1.0,2.541610453593128,9,0.6539923954372624,2657.1550189376685,1338.0909720554596,4717.886804672557,2323.486763489135,1489.317396793957,5373.834703085488
11,46.0,2395.9079265962428,1363.675184826236,4385.276207991663,2368.751881830877,1718.4067071946286,4011.604392494077,1.0,1.0,2.631853106280415,1.0,1.0,2.563889920430194,9,0.6801964839710445,3522.376229598733,2004.8253952519503,6447.0727375567285,3482.4524055195106,2526.338709018937,5897.714097364914
12,47.0,2534.3498773642123,1485.8949547050006,4511.84896796797,2578.975813490066,1884.199721167051,3822.559752298471,1.1672691146661331,1.0,2.500239017766272,1.0,1.0,2.42574537659807,9,0.6844313890054553,3702.854541850961,2170.991831429808,6592.112869814637,3768.056016889532,2752.9417140043424,5585.015260409108
13,48.0,3182.999594222685,1369.4905308007842,6056.656906899367,3662.876979509229,1468.54003150038,20104.96967912055,1.4582913388065144,1.0,3.0943134254867,1.37004339636256,1.0,3.094097529798474,9,0.7515974440894568,4234.979268827632,1822.1064235521592,8058.378796427213,4873.4558749687085,1953.8917316030563,26749.651475301733
14,49.0,2415.0904165525285,1378.0849928878251,4478.6403173225335,2435.135972478623,1546.004098868255,4210.479349319985,1.583608248305691,1.0,2.7197826540016963,1.5131487773258037,1.0,2.6125562606031405,9,0.7468619246861925,3233.650473703385,1845.1670212895808,5996.610845042495,3260.4901816380443,2069.9998858796243,5637.560585364014
15,50.0,1901.7631013333976,1094.6185890273791,3541.936799721053,1870.8521691859276,1294.0045855908363,3531.378508854019,1.0000000748485631,1.0,2.7640027821396123,1.0,1.0,2.9687261415028803,9,0.788831835686778,2410.859977117521,1387.645046138858,4490.103770517006,2371.6742714334214,1640.4061386090505,4476.719053535037
16,51.0,1496.5086693836506,847.4447124843533,2755.954974972064,1513.2777745094445,1074.5259813743664,2013.9114402822456,1.2171807336935687,1.0,4.557312002053987,1.1631610431596324,1.0,4.747457694020023,9,0.8068965517241379,1854.6474962446953,1050.2519941045405,3415.499755307259,1875.429720545893,1331.6774982844713,2495.873152486544
17,52.0,1319.1712632762303,738.8064697376287,2376.712989866122,1351.441811864488,869.0270870437621,2237.7932982066663,1.0240540050330649,1.0,2.588102456162422,1.0,1.0,2.2536847214110733,9,0.8262476894639557,1596.5808801620594,894.1706937987856,2876.5139318066485,1635.6376291245817,1051.7755125071035,2708.380703198672
18,53.0,1189.127739376878,641.3876809909926,2143.093179645669,1405.0108310686337,717.7746101288421,4646.637129634169,1.661873931346808,1.0,3.496220690559042,1.5825555710682755,1.0,3.397007033163091,9,0.848531684698609,1401.3946218157378,755.8794710403866,2525.6489749193947,1655.8142216783351,845.9019540134078,5476.091480643547
19,54.0,2018.123940763532,537.3826897818961,4113.061459753564,3767.299127540592,635.4472665178268,28721.71691472963,1.178778868201489,1.0,3.050556903379676,1.120368523196307,1.0,2.8520323165464325,9,0.8598639455782313,2347.027051362652,624.9624635912875,4783.386349555173,4381.273510668252,739.0090836876625,33402.62963975677
20,55.0,1797.2928816251049,622.2314835864609,3974.22273507365,2348.861509349759,911.6508166239088,22837.90492675128,1.4700235677296174,1.0,4.181207954475267,1.3934275868350334,1.0,4.082773556183592,9,0.8789198606271778,2044.8882339996237,707.9501914343479,4521.712289261199,2672.4410433434327,1037.2399776850814,25984.058330932075
21,56.0,,,,,,,1.5347301216125224,1.0,3.916429854587841,1.4590256196819964,1.0,3.916460292839032,9,0.9193324061196105,,,,,,
22,57.0,,,,,,,1.0,1.0,3.0970960451213108,1.0,1.0,2.963954712983713,9,0.9181669394435352,,,,,,
23,58.0,,,,,,,1.0000017894638278,1.0,2.9191528628597294,1.0,1.0,3.029132205757123,9,0.9111111111111111,,,,,,
24,59.0,,,,,,,1.347595661142622,1.0,4.221087397329005,1.1333517593576057,1.0,4.194279194557413,9,0.9747899159663865,,,,,,
