,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
35,52.0,,,,,,,1.845968187596408,1.0469023644437674,3.346884637955674,2.0575135185995572,1.2768763175623778,3.3468910962839002,9
36,53.0,,,,,,,3.1465337982470407,1.0587885018730003,4.428771519920053,3.189324621050592,1.2814363834885691,4.4652498534163545,9
37,54.0,,,,,,,2.3555848820177534,1.1564377449196155,3.808915985367078,2.3171083684654006,1.2874677465171154,3.359831584035561,9
38,55.0,,,,,,,1.6350470161749118,1.000004132615843,2.8209139379097756,1.729820754782816,1.0,2.993942506590295,9
39,56.0,2412.8108346106765,1365.1569386556669,4236.80437655055,2622.0061973090346,2022.6658762296065,3530.897945781653,1.0,1.0,1.4474930149213419,1.0,1.0,1.2560766796096778,9
40,57.0,4167.204063053502,2749.0366344767904,6973.293460507389,4283.578985326248,3723.3499599328093,5179.250891838024,1.0,1.0,1.6762078246704202,1.0,1.0,1.660651081788644,9
41,58.0,5000.261619637262,3135.397345886392,8163.373416425313,4723.964043927511,3866.9590073059594,5734.502123376072,3.6137888786525982,1.6360749007420463,4.937285338138249,3.6125359903236447,1.3217478355035985,5.103914565682498,9
42,59.0,4626.792532560838,2994.9469736719475,7055.946739262854,4489.683230870055,3818.737446777815,5658.101234701064,1.0,1.0,1.8253661636245622,1.0,1.0,1.8309301210959097,9
43,60.0,4512.141157408007,2946.1192807274674,6709.742322977191,4514.303309577366,3652.371144156973,5257.216182388433,1.0,1.0,1.971034383838343,1.0,1.0,1.976901484219178,9
44,61.0,4034.2688951137734,2816.390303313912,5626.283615220738,3905.4826712432396,3170.596919485575,4999.245167488054,1.0,1.0,1.6076363899265373,1.0,1.0,1.4744466776554197,9
45,62.0,3498.456406376653,2311.1673406223363,5155.698559603545,3294.4634331236284,2620.51341459616,4343.596230827088,1.5292520759880914,1.0,2.83944570730798,1.5836355895240837,1.0,3.2061830093044272,9
46,63.0,3468.658157198187,2351.512566795751,5337.922608050463,3261.0867033119594,2622.997651910601,4318.109315869435,1.4416127577150322,1.0,2.8293248378334632,1.3874001922121306,1.0,3.04525764985143,9
47,64.0,3098.332199946989,2084.977692090655,4540.140899714432,3005.372358775076,2353.564225410089,4131.826033761075,1.3109635778372597,1.0,3.328934672022871,1.3534746460931912,1.0,3.544227265262274,9
48,65.0,2633.507479951816,1789.357188277452,3508.3794503050904,2667.695613493825,2267.063175378592,3347.899521867148,1.0,1.0,2.357017956282246,1.0,1.0,2.6687814374808387,9
49,66.0,2204.2579194180234,1468.4911524136928,3158.318696815724,2267.5709617218863,1884.0670831018988,2860.186062303579,1.5030907229568409,1.0,3.140424124190873,1.5868678381571946,1.0,3.6049108458068573,9
50,67.0,1838.5700639911433,1245.9008881785571,2373.0311749670627,1828.9923837271942,1519.087629519475,2183.3166888490264,1.3698499460824562,1.0,2.7557096098205744,1.3252451150040843,1.0,2.8156633051266695,9
51,68.0,1389.8395181243782,1019.2972723009577,1765.6298397872629,1375.0017223918028,1155.166752846551,1725.4599511069887,1.1371622573578861,1.0,2.5203852200626105,1.1505808028045161,1.0,2.7393351859697166,9
52,69.0,1146.5261989691157,803.3054434211351,1643.3050463129982,1128.1028043667059,916.925235602083,1338.954897339404,1.2085070473651356,1.0,3.6137457478322097,1.3829685109216343,1.0,3.8136537598104887,9
53,70.0,813.8021717164535,460.4767653374579,1462.6296787135507,782.8316278601857,502.3498331786905,1057.4229901123897,3.972780466515701,1.0,9.799666911390737,4.661184818792134,1.5530178661829674,10.011312255667494,9
54,71.0,,,,,,,2.152311621437973,1.0,6.480570453621142,2.8127771504693833,1.0,6.655801453170863,9
55,72.0,,,,,,,1.6703156729449904,1.0,4.951859902844912,2.487305619727337,1.0,5.0946749139280305,9
56,73.0,,,,,,,1.3867463060700498,1.0,3.7936272724265367,1.794485298524481,1.0,5.230426337715947,9
57,74.0,,,,,,,3.9083487286559957,2.1225013912472717,6.422155593374258,3.174595813224081,1.3020702097934458,6.531264346074763,9
