,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,45.0,,,,,,,1.0,1.0,5.5752152015432745,1.0,1.0,3.78788223415994,9,0.49056603773584906,,,,,,
1,46.0,,,,,,,1.2397912842470165,1.0,5.157065540236609,1.1788449387401407,1.0,4.956891214169167,9,0.6156351791530945,,,,,,
2,47.0,,,,,,,1.0,1.0,4.095792173419832,1.0,1.0,4.295564215735425,9,0.7078189300411523,,,,,,
3,48.0,,,,,,,1.758559996265098,1.0,6.142193128668147,2.217192363929276,1.0,6.387448322757521,9,0.75390625,,,,,,
4,49.0,848.7679325344855,238.3689416001793,2135.200323777251,2070.872452123574,208.45387402995976,20214.80729643353,1.0002176589698433,1.0,3.3291791505245563,1.0,1.0,3.5565009120595303,9,0.7035175879396985,1206.4629898168757,338.82442413168343,3035.0347459405207,2943.5972712327944,296.3022923711571,28733.904657073374
5,50.0,290.55650803623746,171.42833974138009,544.4605278338532,231.2140200729685,148.5234639884048,357.48279094542187,1.0,1.0,6.086136174638527,1.0,1.0,6.7903792755214765,9,0.7664376840039254,379.0999765543226,223.66898616705032,710.378076648779,301.67360621556327,193.78413547270742,466.4212086727079
6,51.0,306.4251886905276,179.8913372268184,577.6148114359701,278.63864128415133,189.32942220865024,768.400701145591,1.0000020447334663,1.0,7.211302445741046,1.5604645661814311,1.0,8.067355493072142,9,0.7766548762001011,394.54485908819396,231.623263742273,743.7213479712327,358.76764547907317,243.77548897262122,989.3721454568149
7,52.0,393.35808925518273,226.9475625452256,721.3652920301802,425.4470258131474,258.75806590862624,754.6871634789946,1.0,1.0,2.8598022068823785,1.0,1.0,3.273312255727603,9,0.6892596454640251,570.6965319148566,329.2628025429218,1046.5799017502916,617.2521902493318,375.41450106864227,1094.9243415678604
8,53.0,522.140414783526,259.8134472852944,928.9034573212034,665.4184893808739,422.0740314382423,1367.4734661190182,1.5148263716965178,1.0,8.726741486992106,1.0,1.0,7.791422177118936,9,0.5145693243675953,1014.7134507585263,504.9143720422989,1805.205660991984,1293.156155778761,820.2471687502368,2657.510662532479
9,54.0,934.7032591957144,519.540840978008,1583.5286236917564,922.4420855681208,756.0655738431947,1201.925846537578,1.0527267334659869,1.0,2.8850031161445955,1.0,1.0,3.039336055279695,9,0.5390271493212669,1734.0559939748407,963.8491152666508,2937.7529975729544,1711.3091367097982,1402.648409816126,2229.8057677633137
10,55.0,1590.5437632144149,907.0942120506636,2574.2456287577115,1626.9487753615986,1304.4661505604486,2200.019137422837,1.4401922108226004,1.0,4.690692666035612,1.329149282913904,1.0,4.724896666078116,9,0.7322274881516587,2172.198925813861,1238.8147491436248,3515.636425034804,2221.917097743025,1781.5039337751111,3004.556880234425
11,56.0,1713.384950725182,993.0856871694948,3092.0931969935937,1778.0638647247777,1286.6326594656412,2612.445173735323,1.0,1.0,1.8422287825926809,1.0,1.0,1.7561804507219636,9,0.6764807758919293,2532.7917832788535,1468.0176031020642,4570.851541075527,2628.4026510294075,1901.9500705976989,3861.8173151939977
12,57.0,2710.046032591377,1617.7604846828551,4598.126805768952,2690.9866832473163,2103.38364216603,3668.175320429136,1.0,1.0,2.131490847699669,1.0,1.0,2.1850807833890133,9,0.8211229946524065,3300.414250046157,1970.1804665300808,5599.80275271113,3277.2029291256795,2561.593885281977,4467.266590167687
13,58.0,2988.0571037519526,1782.105419456038,5195.734133533462,2871.530976943367,2244.3005208516,3809.6888182545295,2.83630201358963,1.0,4.091594655962659,2.4947958044178584,1.0,4.071378771760204,9,0.7913704339298848,3775.8007825911445,2251.9231740895843,6565.489321772921,3628.554787779428,2835.9671079782147,4814.039866685323
14,59.0,2673.781163331304,1664.009200868577,4206.034146603228,2692.116134792933,2079.03508377834,3462.191723922041,1.1693025037141085,1.0,2.2475773032446984,1.0173032444863372,1.0,2.2908516842807374,9,0.7048955314930608,3793.1594738129297,2360.646544806417,5966.890069077751,3819.170379886902,2949.422986658281,4911.638064421641
15,60.0,2647.5721677500524,1658.15925145306,4063.060957935588,2673.2217316323413,2126.555653349841,3321.9547582709065,1.3906687132728082,1.0,2.926463469337766,1.1786040924525911,1.0,2.977501467427979,9,0.9068239258635215,2919.6099620209143,1828.5349604931089,4480.5400938958965,2947.895016209206,2345.0590491696967,3663.285301066115
16,61.0,2302.132541189879,1593.8789750443311,3110.927056779388,2217.6890125989894,1726.8993855219005,3051.0687011170453,1.0,1.0,2.1159459232014526,1.0,1.0,2.3484598538780763,9,0.9124056999161777,2523.145724978893,1746.8972138060515,3409.5874862083692,2430.5953073317355,1892.6880725104522,3343.982508436045
17,62.0,2079.760617885459,1422.496194859621,3057.8563639929034,2090.447098186876,1659.5840513952137,2656.1822589822877,1.2454927640955629,1.0,3.165225555677601,1.3339457394127354,1.0,3.2173712306194697,9,0.8843176288431763,2351.8253510405602,1608.5806145473603,3457.871090948453,2363.909787619526,1876.683215697289,3003.651824126794
18,63.0,2001.4637696346715,1391.4711318258996,2981.4246490914047,1934.6842477693287,1594.4470257515532,2442.472985926527,1.3268912631816687,1.0,2.957745451812221,1.3640024904938532,1.0,2.9974654444339888,9,0.8271045677614194,2419.843690443745,1682.3400402586985,3604.6526222926204,2339.1047797083306,1927.7453999159582,2953.040136795696
19,64.0,1996.19041715206,1414.24890085171,2822.891080228545,1990.7449356134653,1643.038114192704,2565.958473239409,1.0,1.0,2.690863156193157,1.0,1.0,2.7600506758135483,9,0.9254335260115607,2157.032743081239,1528.2014981095929,3050.34451517513,2151.14849382342,1775.42532014577,2772.7096556553265
20,65.0,1807.0407959219776,1246.103280687777,2670.6166131952527,1802.892037692597,1484.490538450828,2345.6389704008457,1.0,1.0,2.900476493276963,1.0,1.0,3.2247286320025537,9,0.9219622641509434,1959.9943145027999,1351.577314105521,2896.665858287254,1955.4943925529558,1610.1424062273632,2544.1811032916835
21,66.0,1605.1541276102516,1117.1965048934571,2173.579591041327,1602.7736249252985,1362.97153304288,1945.488137008172,1.5141302347601622,1.0,2.97603907626547,1.6320208720825646,1.0,3.218604684472831,9,0.830253807106599,1933.3294395892613,1345.608409537852,2617.970038121432,1930.4622408307887,1641.6323796126642,2343.2450659734036
