,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,46.0,,,,,,,1.0,1.0,2.191723538863736,1.0,1.0,4.018859112894038,9,1,0.6156351791530945,,,,,,
1,47.0,,,,,,,1.0,1.0,2.608092831726218,1.0,1.0,2.8353943839836835,9,1,0.7078189300411523,,,,,,
2,48.0,,,,,,,2.5561812708254825,1.1229186355004583,6.4544834005537925,4.271802577894031,1.096983048738188,8.463388039030674,9,1,0.75390625,,,,,,
3,49.0,,,,,,,1.0,1.0,2.735866273760467,1.0,1.0,2.560449695155447,9,1,0.7035175879396985,,,,,,
4,50.0,230.75694545521068,132.9664543966697,440.8360859587829,334.37551242451474,204.9189044554764,2854.193019906422,1.0,1.0,8.051504282311058,1.0,1.0,10.243607280824335,9,1,0.7664376840039254,301.0772438141609,173.4863214215191,575.1753797592827,436.27227549370104,267.36538238172915,3723.9727109918613
5,51.0,218.81280229500052,124.0717183783736,408.2701844074688,289.95079699979783,134.08666340384246,1463.3084383643009,1.0,1.0,9.977955860140083,1.0,1.0,10.196479073438534,9,1,0.7766548762001011,281.7374988560872,159.75141878386555,525.6777455708398,373.33287395094334,172.64639354339897,1884.1167205744641
6,52.0,225.62028553512928,130.69924854193837,428.5931634843811,216.2216372442283,133.2638077854647,1236.8156844324808,1.0,1.0,2.160835840609861,1.392848286714964,1.0,4.933339929391845,9,1,0.6892596454640251,327.3371464874266,189.62266165161708,621.816707687627,313.70128610773816,193.34340645425212,1794.4118628906945
7,53.0,294.07899725031353,162.81852671180394,544.3725380931669,284.1027510023368,182.31369571752853,1144.831908055444,1.292147250173867,1.0,5.757694692328131,1.0,1.0,8.30159292338056,9,1,0.5145693243675953,571.5051079108457,316.4170870696725,1057.9187532451526,552.1175428626619,354.30346715982677,2224.835126855726
8,54.0,712.5748401949528,385.5710023034402,1241.647960707926,626.6527577369196,520.5527511309707,788.0650360777365,1.0000069850634583,1.0,3.3303447432083058,1.3209104641778604,1.0,8.239977674862628,9,1,0.5390271493212669,1321.964656311308,715.3090577885439,2303.4980005578313,1162.562513828829,965.7264050362605,1462.0136241190328
9,55.0,1354.1829038877945,771.0460045445589,2457.541693727672,1263.4321861728376,1038.395554618539,1579.669178748657,1.5785258784744318,1.0,25.52285802715517,1.7962918191035713,1.0,32.31526672024245,9,1,0.7322274881516587,1849.4018946299332,1053.0142845236371,3356.2543519517076,1725.4640212457525,1418.132440288102,2157.3475515596547
10,56.0,1295.151690384795,774.5199079877905,2341.82273223613,1115.452147787019,921.417437801102,1380.4737099551046,1.0,1.0,2.201827891613769,1.0,1.0,1.6371064033306288,9,1,0.6764807758919293,1914.5432309989264,1144.9252300874302,3461.772774175989,1648.9044294219782,1362.0748299701902,2040.6695343780784
11,57.0,2347.175203849676,1367.248298102918,4401.246345636515,2260.071884649865,1982.527049240593,2704.0083471677463,1.0,1.0,1.8907161228904883,1.0,1.0,1.8907173227922909,9,1,0.8211229946524065,2858.494061347375,1665.095615403749,5360.032996639715,2752.4157761610204,2414.4093663822264,3293.0612889636504
12,58.0,2593.186748761347,1525.7229696081465,4647.772905670392,2441.58754438879,2121.7222363474625,3073.000874979872,2.5131665786565005,1.0,4.207255871266803,2.191223129296962,1.0,4.165823368492594,9,1,0.7913704339298848,3276.8304672235236,1927.9504315463535,5873.068674792295,3085.2650537676186,2681.073420712918,3883.1383423305138
13,59.0,2540.7933095160865,1431.1345003459542,4292.315724487058,2598.512203137295,2238.1089496054537,3261.68578051761,1.0,1.0,1.9586579970270956,1.0,1.0,1.9455624430638376,9,1,0.7048955314930608,3604.4962636298096,2030.2788660251886,6089.293423942371,3686.3791683191785,3175.093116088914,4627.190320825177
14,60.0,2660.2457907887283,1494.244466404267,4409.861127655597,2819.6714275301338,2323.1001064598745,3555.0480466272543,1.301456105472872,1.0,2.695798144254567,1.1999263264856557,1.0,2.837973380884656,9,1,0.9068239258635215,2933.585798649406,1647.7779465086076,4862.973948836115,3109.3924047549876,2561.7984265773607,3920.3289031461827
15,61.0,2370.40540874602,1457.7934459004148,3750.882744027027,2393.4546901653016,1869.687666475376,3177.440251300452,1.0000026258352872,1.0,2.321330433290861,1.0,1.0,2.5249387505478884,9,1,0.9124056999161777,2597.973038708316,1597.746973779692,4110.9812711293,2623.2351358449287,2049.184553151239,3482.4861918249326
16,62.0,2180.160014648375,1270.2830528559791,3591.560647644816,2203.5603427056917,1700.8979678741782,2911.4284699438526,1.559735134807641,1.0,3.372481445469658,1.8135697107021036,1.0,3.5994612602610925,9,1,0.8843176288431763,2465.358535824238,1436.4556483146278,4061.392118059583,2491.819987336776,1923.401629004292,3292.2881722401594
17,63.0,2063.216616429648,1292.449186008536,3358.6924212682625,2059.308677766705,1638.618348995316,2666.3303550934656,1.5385248336470418,1.0,3.232589709509475,1.572243578026658,1.0,3.28135452433216,9,1,0.8271045677614194,2494.505165185823,1562.6188469815663,4060.783306225298,2489.7803228680973,1981.1501627058842,3223.6919719957054
18,64.0,1973.5284469305864,1237.860974779962,3265.8911377040595,1939.0658496369897,1653.133851099006,2408.445555877208,1.0,1.0,2.427870413596544,1.0,1.0,2.4623881985370843,9,1,0.9254335260115607,2132.5447927482287,1337.6011782444311,3529.039143178028,2095.3053840549605,1786.3345174274082,2602.5051915475137
