,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t
29,46.0,,,,,,,1.0,1.0,2.191723538863736,1.0,1.0,4.018859112894038,9,1
30,47.0,,,,,,,1.0,1.0,2.6080928317262186,1.0,1.0,2.8353943839836835,9,1
31,48.0,,,,,,,2.5561812708254825,1.1229186355004583,6.4544834005537925,4.2718025778940305,1.096983048738188,8.463388039030674,9,1
32,49.0,,,,,,,1.0,1.0,2.735866273760467,1.0,1.0,2.560449695155447,9,1
33,50.0,230.75694545521068,132.9664543966697,440.8360859587829,334.37551242451474,204.9189044554764,2854.193019906422,1.0,1.0,8.051504282311058,1.0,1.0,10.243607280824335,9,1
34,51.0,218.81280229500055,124.07171837837359,408.27018440746883,289.95079699979783,134.08666340384246,1463.3084383643009,1.0,1.0,9.977955860140083,1.0,1.0,10.196479073438534,9,1
35,52.0,225.62028553512926,130.69924854193837,428.5931634843811,216.2216372442283,133.2638077854647,1236.8156844324808,1.0,1.0,2.160835840609861,1.392848286714964,1.0,4.933339929391845,9,1
36,53.0,294.07899725031353,162.81852671180394,544.3725380931669,284.10275100233673,182.31369571752853,1144.831908055444,1.292147250173867,1.0,5.757694692328131,1.0,1.0,8.30159292338056,9,1
37,54.0,712.5748401949528,385.5710023034402,1241.647960707926,626.6527577369196,520.5527511309707,788.0650360777365,1.0000069850634583,1.0,3.3303447432083058,1.3209104641778604,1.0,8.239977674862628,9,1
38,55.0,1354.1829038877945,771.0460045445589,2457.5416937276714,1263.4321861728376,1038.3955546185393,1579.669178748657,1.5785258784744318,1.0,25.52285802715517,1.7962918191035713,1.0,32.31526672024245,9,1
39,56.0,1295.151690384795,774.5199079877905,2341.82273223613,1115.452147787019,921.4174378011021,1380.4737099551046,1.0,1.0,2.201827891613769,1.0,1.0,1.6371064033306288,9,1
40,57.0,2347.175203849676,1367.248298102918,4401.246345636515,2260.071884649865,1982.527049240593,2704.0083471677463,1.0,1.0,1.8907161228904883,1.0,1.0,1.8907173227922907,9,1
41,58.0,2593.186748761347,1525.7229696081463,4647.772905670392,2441.58754438879,2121.7222363474625,3073.0008749798717,2.5131665786565005,1.0,4.207255871266803,2.191223129296962,1.0,4.165823368492594,9,1
42,59.0,2540.7933095160865,1431.1345003459542,4292.315724487058,2598.512203137295,2238.1089496054537,3261.68578051761,1.0,1.0,1.9586579970270954,1.0,1.0,1.9455624430638376,9,1
43,60.0,2660.2457907887283,1494.2444664042673,4409.861127655597,2819.6714275301338,2323.1001064598745,3555.0480466272543,1.301456105472872,1.0,2.695798144254567,1.1999263264856557,1.0,2.837973380884656,9,1
44,61.0,2370.40540874602,1457.7934459004148,3750.882744027027,2393.4546901653016,1869.6876664753756,3177.440251300452,1.0000026258352872,1.0,2.321330433290861,1.0,1.0,2.5249387505478884,9,1
45,62.0,2180.160014648375,1270.2830528559791,3591.5606476448156,2203.5603427056913,1700.8979678741782,2911.4284699438526,1.559735134807641,1.0,3.372481445469658,1.8135697107021034,1.0,3.5994612602610925,9,1
46,63.0,2063.2166164296477,1292.449186008536,3358.6924212682625,2059.308677766705,1638.618348995316,2666.3303550934656,1.5385248336470418,1.0,3.232589709509475,1.572243578026658,1.0,3.2813545243321602,9,1
47,64.0,1973.5284469305866,1237.8609747799621,3265.8911377040595,1939.0658496369897,1653.133851099006,2408.445555877208,1.0,1.0,2.427870413596544,1.0,1.0,2.4623881985370843,9,1
48,65.0,1838.3910117497858,1136.4232729331848,3011.248358324475,1789.2499761281315,1479.1218483116756,2154.68596277587,1.0,1.0,2.597214727482956,1.0,1.0,2.7148557390469326,9,1
49,66.0,1741.3926561692315,1080.3523256397202,2956.731763083026,1634.347257074046,1415.778304788246,1917.8553463096557,1.595300723389144,1.0,3.594101326557599,1.7972575017952455,1.0,3.9804181526148232,9,1
50,67.0,1711.2737243403371,1012.7722888570747,3015.8517528293214,1712.8513478648665,1305.8249297627358,2036.8716405624266,1.0000046829603413,1.0,2.1328525666594897,1.0,1.0,1.9912386620563136,9,1
51,68.0,1429.5193142678759,816.1371127992404,2392.915308640114,1308.9667297708252,1092.5413309108642,1666.0712206003589,1.0,1.0,2.303781687245881,1.0,1.0,2.185767573850091,9,1
52,69.0,1192.4590256529295,742.3138005452586,2037.5826261838447,1032.7107607582614,869.8292872753133,1195.7153278829903,1.0,1.0,2.0239877240693995,1.0,1.0,2.1679928587954502,9,1
53,70.0,911.4435075762769,540.076917098186,1659.6129922668279,681.677965820346,590.3748333178336,832.8342283557101,1.0,1.0,3.688819502452062,1.3890601959800897,1.0,4.251190995407616,9,1
54,71.0,,,,,,,9.01806444824242,3.3347939996403473,16.9556323144012,9.313495456013875,2.9991629160329514,17.163107534248766,9,1
55,72.0,,,,,,,1.0,1.0,5.596446051292838,1.8759419446344094,1.0,6.315010792337356,9,1
56,73.0,,,,,,,1.7146159057119683,1.0,3.834760894643797,2.3994953548825046,1.0,4.882108569294167,9,1
57,74.0,,,,,,,1.6119769190500124,1.0,3.168345569165738,1.9020295221966097,1.0,3.6110659863076613,9,1
