,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
28,45.0,,,,,,,1.0720197132390452,1.0,3.2987682649322685,2.2149456599939734,1.04696641869832,4.925337893482246,9
29,46.0,,,,,,,1.0,1.0,4.825378826171945,1.4723866885571133,1.0,5.233580453652776,9
30,47.0,,,,,,,1.0959527865436636,1.0,2.9573663770893304,1.0787182563145667,1.0,3.072253030550291,9
31,48.0,,,,,,,1.5800808815413616,1.0,4.651586943933336,1.9591321365907226,1.0,5.294145891819174,9
32,49.0,178.53916176560966,89.23477309607352,345.19100193562963,151.53780948510058,70.17582156801681,326.17583597322687,1.7134571451769878,1.0,3.2802593373320916,1.2174261554799846,1.0,3.0516251076330887,9
33,50.0,333.50115585628254,196.7656819552067,643.7415087930833,243.40443549097841,179.65788704963228,387.9035227209175,1.0,1.0,4.4342507549896535,1.0,1.0,4.954525290942057,9
34,51.0,368.1750200411324,217.22326182426815,707.5825674721448,293.68365696418846,223.0694984106621,403.64310756995013,1.0,1.0,5.695542199625167,1.0130389754306952,1.0,5.863501659992146,9
35,52.0,447.26221520117707,265.9252473328479,859.0292719539773,358.62262303920465,276.5345934395574,455.3002028828201,1.0,1.0,2.3109736501056513,1.0,1.0,2.5227259050098265,9
36,53.0,661.518141810705,370.17688594735114,1185.8637863480249,699.6906046605743,480.76055924782133,1096.539326751861,1.260014861650275,1.0,6.501082796739175,1.0,1.0,20.841904661070835,9
37,54.0,1024.6875531766698,674.5958203519849,1536.2248871148886,1056.3111618450334,942.8444087032119,1305.2152958810013,1.0,1.0,3.00524187386304,1.0,1.0,3.092332655388661,9
38,55.0,1591.7778426921116,955.8284810406365,2467.4556550998986,1586.2094282816365,1381.8497311196727,2047.1717519238916,1.37387104113143,1.0,3.292176367417808,1.3433504543852695,1.0,3.292184106687674,9
39,56.0,1879.8993673311866,1068.3324490156253,2945.728392487468,2082.4419562730527,1498.3677078199762,2506.560852054919,1.0,1.0,1.7871727014310128,1.0,1.0,1.5975655478388688,9
40,57.0,2753.2460221621463,1589.1545599416627,4752.149937622908,2806.1844753396103,2327.6168006877506,3264.809039302824,1.0,1.0,2.1787210025235573,1.0,1.0,2.2107254827621876,9
41,58.0,2993.1651657933457,1823.4218473950432,5209.110676805769,2978.7093408687597,2373.7307204385133,3385.5287731081066,2.891848921875494,1.0,3.9926368465934248,2.708490248359155,1.0,3.9919091612439135,9
42,59.0,2571.996269601933,1653.4171472976363,4184.890030939709,2640.23382437289,2283.1972030220895,3333.659807945085,1.1545184439160148,1.0,2.0697987302067826,1.0,1.0,2.0248322532843677,9
43,60.0,2643.7767886891893,1598.4162796815986,4039.335708584852,2648.3596571999196,2217.924330080736,3778.6241900004766,1.3880480479909303,1.0,2.889076828726889,1.2448669689834433,1.0,2.9532414669273246,9
44,61.0,2332.7298836090677,1640.0395118690462,3224.595539947016,2207.650264851476,1893.3963270261752,2918.6042366693805,1.0000005814171513,1.0,2.3034727001787663,1.0,1.0,2.4726682331351566,9
45,62.0,1990.7208762643754,1385.2308682925645,2984.392775004886,1980.6294011654916,1535.221965521619,2781.163937746991,1.2000351404341099,1.0,3.0382681540227447,1.2902836485529043,1.0,3.1426841892074546,9
46,63.0,2028.5441831693383,1449.5027069401572,2981.157133870207,1969.2659866704216,1623.6858782234249,2595.3278276485485,1.294783106222193,1.0,3.2053834888900994,1.2867687292329486,1.0,3.23365935274633,9
47,64.0,2098.432030296972,1418.0275409621283,3072.510263896257,1995.710655692781,1598.8063308599678,2430.2756603138955,1.0,1.0,3.271470705552299,1.0,1.0,3.2714752255357853,9
48,65.0,1811.513897950873,1234.4220359629621,2519.756230611481,1857.9999784333863,1589.2025666838074,2087.8299286720817,1.0,1.0,2.742965305093966,1.0,1.0,2.7955356460527137,9
49,66.0,1582.8473160567457,1077.3325665002324,2122.9071816296782,1622.4396194255487,1333.0235402352516,1854.0817421221575,1.463403346487278,1.0,2.8223596320519495,1.6558527025397654,1.0,2.9895847487319207,9
50,67.0,1516.4782692744825,985.5688219723165,2093.8036371584485,1581.2630978946859,1356.8987773838164,1913.568014415809,1.121193150320626,1.0,1.9344673664038226,1.153643844659121,1.0,1.9915698573393732,9
51,68.0,1233.334300983614,799.8308253003254,1668.5698477821916,1216.69203310398,1017.2911358299175,1718.3711369025852,1.1168884854362067,1.0,2.0135452907081985,1.149322859791833,1.0,2.134383927226973,9
52,69.0,1025.9158414373592,699.1953820245523,1529.2903954625026,999.2462240597579,843.0205002979018,1192.4900053587883,1.1971227943733163,1.0,3.708293965396897,1.4397505231948338,1.0,3.7063104354512784,9
53,70.0,914.7803646762146,605.2012381290897,1335.2423870405435,880.0095452129311,720.0931540956011,1161.184521803993,3.9724270684223484,1.717558901790821,8.662709406123858,4.75450123361027,1.9700850713958298,9.050119325380189,9
54,71.0,,,,,,,5.2236942321699305,3.0769254324315147,10.676689221387056,5.315534539465922,3.0356861548685172,10.676692551344534,9
55,72.0,,,,,,,1.6944214423872839,1.0,4.92711459249677,2.316259676363678,1.0007809960843914,5.129597782554646,9
56,73.0,,,,,,,1.5070238508656888,1.0,2.7454096939886257,1.8792779332124194,1.0,3.3127689846832373,9
57,74.0,,,,,,,2.4029696884946565,1.0399656396647017,3.137676339006038,1.6654029254963305,1.0,2.4436889252230607,9
