,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
28,46.0,,,,,,,1.0,1.0,3.865202036978645,1.0,1.0,3.851314047765853,9
29,47.0,,,,,,,1.0,1.0,4.735895687004663,1.0,1.0,4.910547642701404,9
30,48.0,,,,,,,1.0,1.0,2.98096026057765,1.0,1.0,3.577191720584195,9
31,49.0,,,,,,,1.0,1.0,4.6807778860075375,1.0,1.0,4.173966384397925,9
32,50.0,252.40944504693616,104.61406297215048,524.7862814366572,450.8073035785958,119.33923132062519,5795.146006226187,1.0,1.0,4.600828906615835,1.0,1.0,4.492629488611447,9
33,51.0,421.8933411589304,145.35522244122183,963.9519543404034,615.1707896058849,171.47428141849028,27898.48653501345,2.20364165995964,1.0,8.416833710790135,1.5916395435487465,1.0,8.382799584881392,9
34,52.0,437.1414433009717,175.49168418980173,876.8751779895163,674.6941195678111,187.02129443399662,3163.8325911114425,1.04877896466548,1.0,3.6232586215327864,1.106331802330681,1.0,3.440265451246941,9
35,53.0,1139.2865589216653,325.98946558773196,2824.678965705233,1394.196863527172,280.8504376457762,31355.49849731764,1.012835360261044,1.0,4.3520509198919095,1.0,1.0,4.771158147565598,9
36,54.0,467.7486793054378,228.68201732304726,864.7983319798856,622.7288291310012,357.8357385530374,2304.2136834979183,1.0,1.0,4.351502638798725,1.0,1.0,5.525817451403515,9
37,55.0,1014.1141058310125,324.95441432707173,1914.9438618437193,1240.1452121799166,607.4675013795077,4952.085604237595,1.0,1.0,3.546435657980624,1.0,1.0,3.3961617937935733,9
38,56.0,1466.9000495695632,417.5556340991194,3126.153314963128,2002.5779040064144,864.9853653464448,25113.499049027196,1.6143258971896306,1.0,4.135015189310889,1.6108339500683313,1.0,5.094470550220233,9
39,57.0,1341.5399173054332,549.2251745476949,2536.4449973826595,1586.5343365860344,724.6077461164648,13286.117218105937,1.2163861906046345,1.0,4.311020734924769,1.2389317641712023,1.0,4.605060347016678,9
40,58.0,1270.2911593927856,544.7020860986097,2433.207365779245,1509.1879617965792,653.2109611874474,5739.52968789833,1.2730413173651973,1.0,3.259143345841649,1.1012584344086571,1.0,3.185825034174268,9
41,59.0,1192.708427368746,540.1751396059911,2306.3866834392984,1439.4747156069093,784.2094544599552,7518.558664572809,1.0000006567223876,1.0,2.6214087637486396,1.0,1.0,2.59783884750101,9
42,60.0,1272.224791074414,488.6131248110869,2379.2114731410707,1744.8608347976583,682.5773423927475,8829.851696660615,1.4443623363996285,1.0,4.4482848272062645,1.4572033655363774,1.0,4.354816998627733,9
43,61.0,820.9279231491282,371.69960022312324,1475.258589927827,1024.324957906067,503.04605679381365,2666.720964202954,1.417630847181215,1.0,3.6684598144934575,1.4738601045995328,1.0,3.837153133406646,9
44,62.0,1014.8945459275383,344.21368694272417,1869.037755107447,1168.4038861178954,510.55250176492905,3616.5991697955096,1.3784051884140316,1.0,3.736856739365969,1.3079971513614517,1.0,4.11347842446949,9
45,63.0,776.7512107938218,322.444224701307,1476.0762592296696,946.8254665656729,442.2771667485788,5457.280755472506,1.378975278755229,1.0,4.1303699661064215,1.463573252920276,1.0,4.198782274363505,9
46,64.0,628.7955598684596,292.34323218081755,1165.8647041102568,745.4583558376452,344.55719394154846,2895.206422323792,1.0,1.0,3.1156019624341873,1.0,1.0,3.026244072268971,9
47,65.0,630.2465092325048,255.8809843087544,1230.5352598776358,898.4061777845608,349.7054758919467,6625.431605601689,1.924468802713956,1.0,5.910283609527368,1.9129431659780027,1.0,5.403616594960626,9
48,66.0,787.2137283093276,247.9069209930708,1501.1266705843332,973.3737522062509,383.6360414305735,5621.217224507722,1.9655720091658755,1.0,5.295380382401164,2.018399116631167,1.0,4.926437895596088,9
49,67.0,543.1113045535805,188.74559640999587,1061.674207629011,825.0239728933271,324.90320592798406,5888.675659121482,1.4379818808154998,1.0,4.718169857458419,1.284825346146325,1.0,4.537933233103645,9
50,68.0,827.2315673263099,208.75525230176783,1674.0106387090445,853.377780253154,330.6492825695411,39267.27273912706,1.0,1.0,3.443873220918895,1.0,1.0,3.189712440766968,9
51,69.0,143.62107321327176,53.13770272552708,287.80193012164517,571.3660359839694,132.57764660153285,5449.57683387354,1.9901453947915035,1.0,4.935474970305461,1.6089330342353483,1.0,4.652040142098597,9
52,70.0,434.5535313578367,130.37552914180563,1007.2875513660849,632.1943030422394,120.26256669159514,5727.330947212684,1.961692486727751,1.0,5.237666129678973,1.7673265239847251,1.0,5.201985340107358,9
53,71.0,,,,,,,1.3167257477389738,1.0,6.1570821308784005,1.452917862424826,1.0,5.33040651140866,9
54,72.0,,,,,,,2.953326374830315,1.0,9.858329206579956,2.830361537519871,1.0,8.316497210984412,9
55,73.0,,,,,,,4.73334707045885,1.0,15.387737400542429,5.863568541220937,1.0,13.33457213631189,9
56,74.0,,,,,,,2.1365878022459475,1.0,11.350584357424443,2.015549702793285,1.0,10.50904329574619,9
