,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,46.0,,,,,,,1.0,1.0,3.865202036978645,1.0,1.0,3.851314047765853,9,2.738095238095238,,,,,,
1,47.0,,,,,,,1.0,1.0,4.735895687004663,1.0,1.0,4.910547642701404,9,3.107142857142857,,,,,,
2,48.0,,,,,,,1.0,1.0,2.98096026057765,1.0,1.0,3.577191720584195,9,3.193548387096774,,,,,,
3,49.0,,,,,,,1.0,1.0,4.6807778860075375,1.0,1.0,4.173966384397925,9,2.9523809523809526,,,,,,
4,50.0,252.40944504693616,104.61406297215048,524.7862814366572,450.8073035785958,119.3392313206252,5795.146006226187,1.0,1.0,4.600828906615835,1.0,1.0,4.492629488611447,9,6.428571428571429,39.26369145174562,16.27329868455674,81.63342155681333,70.12558055667046,18.56388042765281,901.4671565240734
5,51.0,421.8933411589304,145.35522244122183,963.9519543404034,615.1707896058849,171.47428141849028,27898.48653501345,2.20364165995964,1.0,8.416833710790135,1.5916395435487465,1.0,8.382799584881392,9,4.564814814814815,92.4228820388732,31.84252337454758,211.1700021678774,134.7635806844535,37.56434562514594,6111.635995499903
6,52.0,437.1414433009717,175.49168418980173,876.8751779895163,674.6941195678111,187.02129443399664,3163.8325911114425,1.04877896466548,1.0,3.6232586215327856,1.106331802330681,1.0,3.440265451246941,9,3.8461538461538463,113.65677525825264,45.62783788934845,227.98754627727422,175.4204710876309,48.62553655283913,822.596473688975
7,53.0,1139.2865589216651,325.989465587732,2824.678965705233,1394.196863527172,280.8504376457762,31355.49849731764,1.012835360261044,1.0,4.3520509198919095,1.0,1.0,4.771158147565598,9,3.652173913043478,311.9475101809321,89.25902033949805,773.4240025145282,381.74437929910664,76.89952459348635,8585.434112360783
8,54.0,467.7486793054378,228.6820173230473,864.7983319798856,622.7288291310012,357.8357385530374,2304.2136834979183,1.0,1.0,4.351502638798725,1.0,1.0,5.525817451403515,9,3.9591836734693877,118.1427076596209,57.759890973347,218.42844467533192,157.28717849185082,90.38119169638574,581.9921159350412
9,55.0,1014.1141058310124,324.95441432707173,1914.9438618437196,1240.1452121799166,607.4675013795077,4952.085604237595,1.0,1.0,3.546435657980624,1.0,1.0,3.3961617937935733,9,3.855855855855856,263.0062283814074,84.27556072501159,496.63263706694596,321.6264452148849,157.5441417129097,1284.3025749307783
10,56.0,1466.9000495695632,417.5556340991194,3126.153314963128,2002.5779040064144,864.9853653464448,25113.4990490272,1.6143258971896306,1.0,4.135015189310889,1.6108339500683313,1.0,5.094470550220233,9,3.7950819672131146,386.5265789362564,110.02545866110707,823.7380225172822,527.6771150945627,227.9227096593224,6617.379879009327
11,57.0,1341.5399173054332,549.2251745476949,2536.4449973826595,1586.5343365860344,724.6077461164648,13286.117218105936,1.2163861906046345,1.0,4.311020734924769,1.2389317641712023,1.0,4.605060347016678,9,3.2430555555555554,413.6654134731957,169.3542294108524,782.1158021907987,489.20973119569373,223.43365190743242,4096.789891664357
12,58.0,1270.2911593927856,544.7020860986097,2433.207365779245,1509.1879617965792,653.2109611874474,5739.52968789833,1.273041317365197,1.0,3.259143345841649,1.1012584344086571,1.0,3.185825034174268,9,3.098159509202454,410.0147702594536,175.81473274073937,785.3718824198355,487.1240351937474,210.83838945258205,1852.561067579065
13,59.0,1192.708427368746,540.1751396059911,2306.3866834392984,1439.4747156069093,784.2094544599552,7518.558664572809,1.0000006567223876,1.0,2.62140876374864,1.0,1.0,2.59783884750101,9,3.5555555555555554,335.44924519745985,151.92425801418503,648.6712547173028,404.85226376444325,220.5589090668624,2114.594624411103
14,60.0,1272.224791074414,488.6131248110869,2379.2114731410707,1744.8608347976583,682.5773423927475,8829.851696660615,1.4443623363996283,1.0,4.4482848272062645,1.4572033655363774,1.0,4.354816998627733,9,3.566137566137566,356.7514621855553,137.01465962803476,667.1676089371845,489.2859017459309,191.4052191576102,2476.0266627134365
15,61.0,820.9279231491282,371.6996002231232,1475.258589927827,1024.324957906067,503.0460567938137,2666.720964202954,1.417630847181215,1.0,3.6684598144934575,1.4738601045995328,1.0,3.837153133406646,9,3.3160919540229883,247.55885377460714,112.08965414007528,444.8786735657572,308.8952212749665,151.69846426711194,804.1758193610294
16,62.0,1014.8945459275384,344.21368694272417,1869.037755107447,1168.4038861178954,510.55250176492905,3616.5991697955096,1.3784051884140316,1.0,3.736856739365969,1.3079971513614517,1.0,4.11347842446949,9,3.558139534883721,285.2318004894389,96.73979436952378,525.2851207164721,328.3749483860752,143.48861160713693,1016.4298320340321
17,63.0,776.7512107938218,322.444224701307,1476.0762592296696,946.8254665656729,442.2771667485788,5457.280755472506,1.378975278755229,1.0,4.1303699661064215,1.463573252920276,1.0,4.198782274363505,9,3.852112676056338,201.64291029748208,83.70581335938866,383.1861587031318,245.79381398962622,114.81418222723617,1416.6981120239411
18,64.0,628.7955598684596,292.34323218081755,1165.8647041102568,745.4583558376452,344.55719394154846,2895.206422323792,1.0,1.0,3.1156019624341877,1.0,1.0,3.026244072268971,9,3.3789473684210525,186.09214388630426,86.51902510024196,345.03784078029406,220.6185165251598,101.97175521634612,856.8367916534588
19,65.0,630.2465092325048,255.8809843087544,1230.5352598776358,898.4061777845608,349.7054758919467,6625.431605601689,1.924468802713956,1.0,5.910283609527368,1.9129431659780027,1.0,5.403616594960626,9,3.6634615384615383,172.0357925464055,69.84677786905633,335.89413917919717,245.2342322561531,95.45766271066263,1808.5167637337943
20,66.0,787.2137283093276,247.9069209930708,1501.1266705843332,973.3737522062509,383.6360414305735,5621.217224507722,1.9655720091658757,1.0,5.295380382401164,2.018399116631167,1.0,4.926437895596088,9,3.90625,201.52671444718789,63.46417177422612,384.2884276695893,249.18368056480023,98.21082660622682,1439.0316094739767
21,67.0,543.1113045535805,188.74559640999587,1061.674207629011,825.0239728933271,324.90320592798406,5888.675659121482,1.4379818808154998,1.0,4.718169857458419,1.284825346146325,1.0,4.537933233103645,9,2.878504672897196,188.67827788062698,65.57071044113493,368.828377325663,286.61547110255196,112.87221764381265,2045.741219240255
22,68.0,827.2315673263099,208.75525230176785,1674.0106387090443,853.377780253154,330.6492825695411,39267.27273912706,1.0,1.0,3.443873220918895,1.0,1.0,3.189712440766968,9,3.1927710843373496,259.09517014371215,65.38372053225181,524.312766086229,267.2843613623086,103.56185076706382,12298.806178669984
23,69.0,143.62107321327176,53.13770272552708,287.8019301216452,571.3660359839694,132.57764660153285,5449.57683387354,1.9901453947915035,1.0,4.935474970305461,1.6089330342353485,1.0,4.652040142098597,9,2.746987951807229,52.28310998553314,19.343988272889245,104.77000087761647,207.997285029252,48.26291521020713,1983.8371807522096
