,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
29,46.0,,,,,,,1.907212368668512,1.0,5.545722609531524,1.729800096077908,1.0,5.585797301972397,9
30,47.0,,,,,,,1.0,1.0,3.9567709019181807,1.0,1.0,3.812898301684241,9
31,48.0,,,,,,,1.0,1.0,3.7227780070895915,1.0,1.0,3.956188186637536,9
32,49.0,,,,,,,1.0,1.0,3.4194216536980333,1.0,1.0,3.4512926827607875,9
33,50.0,1572.165132433862,439.3711866589778,3785.6383989191913,1500.362781347142,992.5826799226718,3147.667468599416,1.0,1.0,5.386278093000078,1.0,1.0,4.589849133432917,9
34,51.0,1226.7230810299548,324.955277789161,2858.3325871383877,2457.9441788033973,1112.7295872386912,7887.972806664184,1.2855415243619075,1.0,6.791996049797754,1.228350316709464,1.0,6.541651027035938,9
35,52.0,1274.0654361602997,470.47718805055376,2465.2135723298434,1890.4402726475282,634.7546108005043,27348.89157222171,1.0,1.0,2.9561150439991652,1.0,1.0,2.6966169256948285,9
36,53.0,1116.5928148608957,511.9048404954537,2103.120468133542,1277.871170303156,677.1272578941896,8229.59510902534,1.006639588253646,1.0,4.139568116401871,1.0,1.0,3.413940028297211,9
37,54.0,1879.7334787245557,1106.5605917372768,3434.6291954304543,1596.3327498982153,1155.1366553011374,2347.8781899456762,1.9815413243892996,1.0,7.549256110498542,1.7526110011889515,1.0,7.38869310463473,9
38,55.0,2605.049383043279,1530.4418600644485,4936.063069785116,2391.708448226053,1978.5241064175343,3117.636911794526,1.0,1.0,4.570265341945202,1.0,1.0,5.622855028715048,9
39,56.0,2342.953784535859,1430.8632578475003,3975.117183904913,2004.1415692739888,1511.8085154744306,2829.74997777278,1.1591239693200053,1.0,10.876778293364563,1.0216470666323239,1.0,11.203062887204492,9
40,57.0,3693.610560500214,2139.0174661586198,6818.648408800059,3717.941249417362,2876.0909063451436,4639.023201523002,1.295679192761101,1.0,15.935044135868171,1.1976016546495099,1.0,18.173651268465605,9
41,58.0,3884.737906796808,2186.875409557059,6955.479489230042,3991.722577457517,3048.5472284237258,5408.448406608443,1.6268338772197901,1.0,3.0803315213097444,1.6723983263395314,1.0,3.1779570192366884,9
42,59.0,4225.045421433948,2339.333023818202,7375.434326577403,4535.228082717669,3389.625628310817,6511.391386012741,1.2148534586194386,1.0,2.505080343979612,1.1603472456475448,1.0,2.5050690349786957,9
43,60.0,4975.665350241305,2731.6302346091816,8716.406863490949,5503.873122261603,3836.2367378626805,9846.236577349611,1.7674852324710413,1.0,3.3388122876456245,1.7550442332003378,1.0,3.313884331211143,9
44,61.0,4647.8878413262155,2393.8888453362447,7990.167321977831,5534.957632039495,3430.047599672447,8687.385947624403,1.2570312933235694,1.0,2.393863874591531,1.2375640548377178,1.0,2.379595570565133,9
45,62.0,4274.183060817658,2032.289617611054,7256.245056474027,4983.1996980225285,3326.9742760714457,7333.891775940958,2.0259559610825173,1.0,3.344964762990626,2.0461827704157236,1.0,3.34497152429029,9
46,63.0,4227.172637637377,2101.401702093459,7221.254256968568,4894.193158401029,3492.9949056284345,8103.56896174521,1.699903425845872,1.0,2.9832940528825636,1.6944912680604602,1.0,2.9915707676650745,9
47,64.0,3701.5798901539747,1841.0234887382435,6407.312605310937,4166.774117873269,2802.1519878109516,5700.862182545413,1.5754816189587535,1.0,2.9450900284776904,1.5844733099537267,1.0,2.92861400111772,9
48,65.0,2948.4304980777347,1558.9864009139706,4927.424943840833,3309.777406179949,2488.3893800071737,5431.291773304224,1.3293109041603928,1.0,3.2707736479938645,1.3382106413518007,1.0,3.2791715016087766,9
49,66.0,2129.998730505059,1166.8110625076076,3567.2483387670068,2297.347983972082,1710.4179611023658,3353.109510765463,1.6619051057255296,1.0,3.43774589235688,1.6247362197690065,1.0,3.4703696138872684,9
50,67.0,1844.7517836247503,995.2481212063415,3150.050998654705,1897.114227298508,1527.683605106328,2691.6542313493237,1.73925372781118,1.0,3.2036588636530823,1.6132645029628705,1.0,3.169972362373204,9
51,68.0,1448.2978450377018,777.2220704463214,2353.8203990924867,1449.689933825996,1094.9726346617963,2047.0949018963781,1.3825251584526308,1.0,3.0494112678221046,1.253310370531222,1.0,3.0488480952334225,9
52,69.0,1102.9444928482956,648.2004144082812,1973.2156757368914,1029.04988568183,830.2697234302442,1264.3846500763855,1.5759751728082654,1.0,4.32000173034965,1.6162855565469534,1.0,4.287183147457737,9
53,70.0,708.4975506786564,428.86049945406467,1266.821135836171,576.750574297399,430.6152704515268,747.7399769936152,3.0159195085381567,1.0,6.692116036744816,3.262318309898395,1.0,6.692121286650429,9
54,71.0,,,,,,,9.621095121674752,4.5092484287806505,16.851806473935273,9.824377137584296,4.255021607574663,16.873236716207646,9
55,72.0,,,,,,,1.0,1.0,5.83441673046894,1.9379146428251328,1.0,6.073949116854473,9
56,73.0,,,,,,,2.0310798359454183,1.0,6.1928114020270355,3.162697300592213,1.0,6.978933802086627,9
57,74.0,,,,,,,2.5795953801212588,1.0,6.303292346013352,3.700041818233201,1.0,7.524473022697986,9
