,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,Netau_MSD,c0,c1,c2,c3,c4,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
0,17.0,19.0,21.0,0,,,,,,,,,,,,,,,5,1
1,17.0,19.0,21.0,1,,,,,,,,,,,,,,,5,1
2,17.0,19.0,21.0,2,,,,,,,,,,,,,,,5,1
3,17.0,19.0,21.0,3,,,,,,,,,,,,,,,5,1
4,17.0,19.0,21.0,4,,,,,,,,,,,,,,,5,1
5,17.0,19.0,21.0,5,,,,,,,,,,,,,,,5,1
6,17.0,19.0,21.0,6,,,,,,,,,,,,,,,5,1
7,17.0,19.0,21.0,7,,,,,,,,,,,,,,,5,1
8,17.0,19.0,21.0,8,,,,,,,,,,,,,,,5,1
9,17.0,19.0,21.0,9,,,,,,,,,,,,,,,5,1
10,17.0,19.0,21.0,10,,,,,,,,,,,,,,,5,1
11,17.0,19.0,21.0,11,,,,,,,,,,,,,,,5,1
12,17.0,19.0,21.0,12,,,,,,,,,,,,,,,5,1
13,17.0,19.0,21.0,13,,,,,,,,,,,,,,,5,1
14,17.0,19.0,21.0,14,,,,,,,,,,,,,,,5,1
15,17.0,19.0,21.0,15,,,,,,,,,,,,,,,5,1
16,17.0,19.0,21.0,16,,,,,,,,,,,,,,,5,1
17,17.0,19.0,21.0,17,,,,,,,,,,,,,,,5,1
18,17.0,19.0,21.0,18,,,,,,,,,,,,,,,5,1
19,17.0,19.0,21.0,19,,,,,,,,,,,,,,,5,1
20,17.0,19.0,21.0,20,,,,,,,,,,,,,,,5,1
21,17.0,19.0,21.0,21,,,,,,,,,,,,,,,5,1
22,17.0,19.0,21.0,22,,,,,,,,,,,,,,,5,1
23,17.0,19.0,21.0,23,,,,,,,,,,,,,,,5,1
24,17.0,19.0,21.0,24,,,,,,,,,,,,,,,5,1
25,17.0,19.0,21.0,25,,,,,,,,,,,,,,,5,1
26,17.0,19.0,21.0,26,,,,,,,,,,,,,,,5,1
27,17.0,19.0,21.0,27,,,,,,,,,,,,,,,5,1
28,17.0,19.0,21.0,28,,,,,,,,,,,,,,,5,1
29,17.0,19.0,21.0,29,,,,,,,,,,,,,,,5,1
30,17.0,19.0,21.0,30,,,,,,,,,,,,,,,5,1
31,17.0,19.0,21.0,31,,,,,,,,,,,,,,,5,1
32,17.0,19.0,21.0,32,,,,,,,,,,,,,,,5,1
33,17.0,19.0,21.0,33,,,,,,,,,,,,,,,5,1
34,17.0,19.0,21.0,34,,,,,,,,,,,,,,,5,1
35,17.0,19.0,21.0,35,,,,,,,,,,,,,,,5,1
36,17.0,19.0,21.0,36,,,,,,,,,,,,,,,5,1
37,17.0,19.0,21.0,37,,,,,,,,,,,,,,,5,1
38,17.0,19.0,21.0,38,,,,,,,,,,,,,,,5,1
39,17.0,19.0,21.0,39,,,,,,,,,,,,,,,5,1
40,17.0,19.0,21.0,40,,,,,,,,,,,,,,,5,1
41,17.0,19.0,21.0,41,,,,,,,,,,,,,,,5,1
42,17.0,19.0,21.0,42,,,,,,,,,,,,,,,5,1
43,17.0,19.0,21.0,43,,,,,,,,,,,,,,,5,1
44,17.0,19.0,21.0,44,,,,,,,,,,,,,,,5,1
45,17.0,19.0,21.0,45,,,,,,,,,,,,,,,5,1
46,17.0,19.0,21.0,46,,,,,,,,,,,,,,,5,1
47,17.0,19.0,21.0,47,,,,,,,,,,,,,,,5,1
48,17.0,19.0,21.0,48,,,,,,,,,,,,,,,5,1
49,17.0,19.0,21.0,49,,,,,,,,,,,,,,,5,1
50,17.0,19.0,21.0,50,,,,,,,,,,,,,,,5,1
51,17.0,19.0,21.0,51,,,,,,,,,,,,,,,5,1
52,17.0,19.0,21.0,52,,,,,,,,,,,,,,,5,1
53,17.0,19.0,21.0,53,,,,,,,,,,,,,,,5,1
54,17.0,19.0,21.0,54,,,,,,,,,,,,,,,5,1
55,17.0,19.0,21.0,55,,,,,,,,,,,,,,,5,1
56,17.0,19.0,21.0,56,,,,,,,,,,,,,,,5,1
57,17.0,19.0,21.0,57,,,,,,,,,,,,,,,5,1
58,17.0,19.0,21.0,58,,,,,,,,,,,,,,,5,1
59,17.0,19.0,21.0,59,,,,,,,,,,,,,,,5,1
60,17.0,19.0,21.0,60,,,,,,,,,,,,,,,5,1
61,17.0,19.0,21.0,61,,,,,,,,,,,,,,,5,1
62,17.0,19.0,21.0,62,,,,,,,,,,,,,,,5,1
63,17.0,19.0,21.0,63,,,,,,,,,,,,,,,5,1
64,17.0,19.0,21.0,64,,,,,,,,,,,,,,,5,1
65,17.0,19.0,21.0,65,,,,,,,,,,,,,,,5,1
66,17.0,19.0,21.0,66,,,,,,,,,,,,,,,5,1
67,17.0,19.0,21.0,67,,,,,,,,,,,,,,,5,1
68,17.0,19.0,21.0,68,,,,,,,,,,,,,,,5,1
69,17.0,19.0,21.0,69,,,,,,,,,,,,,,,5,1
70,17.0,19.0,21.0,70,,,,,,,,,,,,,,,5,1
71,17.0,19.0,21.0,71,,,,,,,,,,,,,,,5,1
72,17.0,19.0,21.0,72,,,,,,,,,,,,,,,5,1
73,17.0,19.0,21.0,73,,,,,,,,,,,,,,,5,1
74,17.0,19.0,21.0,74,,,,,,,,,,,,,,,5,1
75,17.0,19.0,21.0,75,,,,,,,,,,,,,,,5,1
76,17.0,19.0,21.0,76,,,,,,,,,,,,,,,5,1
77,17.0,19.0,21.0,77,,,,,,,,,,,,,,,5,1
78,17.0,19.0,21.0,78,,,,,,,,,,,,,,,5,1
79,17.0,19.0,21.0,79,,,,,,,,,,,,,,,5,1
80,17.0,19.0,21.0,80,,,,,,,,,,,,,,,5,1
81,17.0,19.0,21.0,81,,,,,,,,,,,,,,,5,1
82,17.0,19.0,21.0,82,,,,,,,,,,,,,,,5,1
83,17.0,19.0,21.0,83,,,,,,,,,,,,,,,5,1
84,17.0,19.0,21.0,84,,,,,,,,,,,,,,,5,1
85,17.0,19.0,21.0,85,,,,,,,,,,,,,,,5,1
86,17.0,19.0,21.0,86,,,,,,,,,,,,,,,5,1
87,17.0,19.0,21.0,87,,,,,,,,,,,,,,,5,1
88,17.0,19.0,21.0,88,,,,,,,,,,,,,,,5,1
89,17.0,19.0,21.0,89,,,,,,,,,,,,,,,5,1
90,17.0,19.0,21.0,90,,,,,,,,,,,,,,,5,1
91,17.0,19.0,21.0,91,,,,,,,,,,,,,,,5,1
92,17.0,19.0,21.0,92,,,,,,,,,,,,,,,5,1
93,17.0,19.0,21.0,93,,,,,,,,,,,,,,,5,1
94,17.0,19.0,21.0,94,,,,,,,,,,,,,,,5,1
95,17.0,19.0,21.0,95,,,,,,,,,,,,,,,5,1
96,17.0,19.0,21.0,96,,,,,,,,,,,,,,,5,1
97,17.0,19.0,21.0,97,,,,,,,,,,,,,,,5,1
98,17.0,19.0,21.0,98,,,,,,,,,,,,,,,5,1
99,17.0,19.0,21.0,99,,,,,,,,,,,,,,,5,1
100,18.0,20.0,22.0,0,,,,,,,,,,,,,,,5,1
101,18.0,20.0,22.0,1,,,,,,,,,,,,,,,5,1
