,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
54,72.0,,,,,,,2.9193665848206654,1.0,21.28183400781361,2.4468086586730715,1.0,16.148140757707495,9
55,73.0,,,,,,,1.3002537102403815,1.0,13.839333451280293,1.2161535769866925,1.0,9.489602543954087,9
56,74.0,,,,,,,1.299588304351235,1.0,9.892268820650969,1.8441555660330737,1.0,9.759794552340532,9
57,75.0,,,,,,,1.0525999929772467,1.0,10.616971562728253,1.4237355451044498,1.0,9.178077151387534,9
58,76.0,259.2610027614266,75.17144730327963,720.9683947843531,379.59991595936646,73.07440890545371,14840.003697726333,2.6381001367055896,1.0,11.869372596742453,2.921044070540292,1.0,11.64946354468016,9
59,77.0,234.7756471197709,84.82821853009162,481.37634149160675,321.1297473519709,129.13310778565088,5688.113430164455,1.0,1.0,5.064072800044309,1.1139508938841085,1.0,4.801042231375833,9
60,78.0,237.80747107209183,111.67003808378834,487.688045645453,341.4888081212793,132.26066126637497,5626.729148496835,1.4274647133716023,1.0,5.035031592521157,1.245671769300118,1.0,5.027406336893223,9
61,79.0,288.71011409175253,131.16954325187154,541.4237435272853,376.93614722559687,194.63654421385579,1488.2618432972326,1.7314915068543852,1.0,5.603132026768791,1.72395326174641,1.0,5.783557820772913,9
62,80.0,415.81607017475534,191.24209676744954,775.5197946104797,453.66416349440635,225.9524867664372,1651.945344658053,1.9863121432768407,1.0,5.77616324554406,2.113230525454104,1.0,7.500016991664281,9
63,81.0,539.005713444573,224.63535204489565,1054.3350864403267,623.0669863727197,280.73993109539003,3630.3871003458344,1.0,1.0,2.2114407873633,1.0,1.0,2.4748854208507556,9
64,82.0,715.6325918723073,367.2258197271377,1315.2962303362706,775.0871437044075,418.38037509415716,7176.239112533837,1.0,1.0,3.820376609105287,1.0,1.0,3.991718640911977,9
65,83.0,653.6254663156292,372.27318476324723,1241.3408332075555,662.0623858009359,418.8054337477472,1811.894530144614,1.2650956119737358,1.0,2.798321811299111,1.1225436445741228,1.0,2.7035106772520434,9
66,84.0,611.6406547825566,354.1129566223084,1137.0064730549748,612.9406325281577,413.5817050009697,974.5570064035783,1.4380942871083429,1.0,3.661549814705795,1.1846316598567839,1.0,3.7954040694935114,9
67,85.0,818.3192244718961,436.03859699396764,1536.1153786512484,913.4585914475301,466.37979675427516,4978.434697281205,1.0,1.0,2.8364633584252092,1.0,1.0,3.1128573692770045,9
68,86.0,769.3920418796447,446.61226199929024,1451.8767437954255,710.9826492391895,464.81478203997324,1260.3839896129232,1.2821263834024288,1.0,3.414840733803055,1.1837600428834394,1.0,3.570323575252722,9
69,87.0,966.5063363299045,546.7845831164659,1799.2484145285418,899.641725297445,559.3197011155984,1753.907251219267,1.0,1.0,2.886169849449255,1.0,1.0,2.9287096458638104,9
70,88.0,875.4659200542192,504.36895897374086,1626.7819703413547,771.3949149244063,577.5042626245445,1086.4190318730882,1.2804070042292421,1.0,2.975480893458084,1.1631536135804077,1.0,3.0069555636956156,9
71,89.0,898.0378364612036,514.7196544148974,1685.8113812761162,827.5397623866845,559.3582221975561,1238.570926052544,1.0,1.0,1.9631366380584017,1.0,1.0,2.338188846836409,9
72,90.0,927.4057704690587,528.0253918268912,1696.0882426477829,931.2118871662021,748.8771466678467,1323.2445572728097,1.343525701296254,1.0,2.5530483756853646,1.212663149589778,1.0,2.444742169584228,9
