,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,72.0,,,,,,,2.9193665848206654,1.0,21.28183400781361,2.4468086586730715,1.0,16.148140757707495,9,0.3782051282051282,,,,,,
1,73.0,,,,,,,1.3002537102403815,1.0,13.839333451280291,1.2161535769866925,1.0,9.489602543954089,9,0.3096085409252669,,,,,,
2,74.0,,,,,,,1.299588304351235,1.0,9.892268820650967,1.8441555660330735,1.0,9.759794552340532,9,0.27680798004987534,,,,,,
3,75.0,,,,,,,1.0525999929772467,1.0,10.616971562728253,1.4237355451044498,1.0,9.178077151387534,9,0.330150068212824,,,,,,
4,76.0,259.2610027614266,75.17144730327963,720.9683947843531,379.59991595936646,73.07440890545371,14840.003697726332,2.6381001367055896,1.0,11.869372596742451,2.921044070540292,1.0,11.64946354468016,9,0.26440677966101694,980.5384078797545,284.30226864701916,2726.7394418126178,1435.666348820681,276.37116188601084,56125.65501063164
5,77.0,234.7756471197709,84.82821853009162,481.3763414916068,321.1297473519709,129.13310778565088,5688.113430164455,1.0,1.0,5.064072800044309,1.1139508938841085,1.0,4.801042231375833,9,0.2934472934472934,800.0607003790252,289.0748029520598,1640.4184064422718,1094.3353526266194,440.05554206566467,19383.765184346834
6,78.0,237.80747107209183,111.67003808378834,487.688045645453,341.4888081212793,132.26066126637497,5626.729148496835,1.4274647133716023,1.0,5.035031592521157,1.245671769300118,1.0,5.027406336893223,9,0.3449074074074074,689.4820637794878,323.7681641087018,1413.9680249586288,990.0883564321656,383.46715212801337,16313.73820235324
7,79.0,288.71011409175253,131.16954325187154,541.4237435272853,376.93614722559687,194.63654421385576,1488.2618432972326,1.7314915068543852,1.0,5.603132026768791,1.72395326174641,1.0,5.783557820772913,9,0.38986013986013984,740.547915966289,336.45281946219967,1388.764041693306,966.8496691167777,499.2470999566166,3817.4249971570275
8,80.0,415.81607017475534,191.24209676744957,775.5197946104797,453.6641634944064,225.9524867664372,1651.945344658053,1.9863121432768407,1.0,5.77616324554406,2.113230525454104,1.0,7.500016991664281,9,0.41315014720314036,1006.4526734158567,462.88764039437314,1877.0894791165767,1098.0612413320669,546.9016247387161,3998.4140289941947
9,81.0,539.005713444573,224.63535204489563,1054.335086440327,623.0669863727197,280.73993109539003,3630.3871003458335,1.0,1.0,2.2114407873633,1.0,1.0,2.474885420850756,9,0.41567291311754684,1296.706367999854,540.4137362719415,2536.453671067508,1498.935741806502,675.3866375122703,8733.759130750017
10,82.0,715.6325918723073,367.2258197271377,1315.2962303362706,775.0871437044075,418.3803750941572,7176.239112533837,1.0,1.0,3.820376609105287,1.0,1.0,3.991718640911977,9,0.4747663551401869,1507.3363647704111,773.4874549370815,2770.407414290964,1632.565440479756,881.2342546274572,15115.306792148043
11,83.0,653.6254663156292,372.2731847632472,1241.3408332075555,662.0623858009359,418.8054337477472,1811.894530144614,1.2650956119737358,1.0,2.798321811299111,1.1225436445741228,1.0,2.7035106772520434,9,0.4926289926289926,1326.8107969599057,755.6867142076887,2519.829023019826,1343.9371123240944,850.1436984305891,3678.0103429868227
12,84.0,611.6406547825566,354.1129566223084,1137.0064730549748,612.9406325281577,413.5817050009697,974.5570064035784,1.4380942871083429,1.0,3.661549814705795,1.184631659856784,1.0,3.795404069493512,9,0.5093803297328028,1200.7543658063805,695.183806583304,2232.1365916335944,1203.3064426529345,811.9310480990018,1913.220730205239
13,85.0,818.3192244718961,436.0385969939677,1536.1153786512484,913.45859144753,466.3797967542752,4978.434697281205,1.0,1.0,2.836463358425209,1.0,1.0,3.1128573692770045,9,0.5157035175879398,1586.8017117652355,845.5218592136376,2978.6792726099725,1771.286330797159,904.3564390168161,9653.67605124443
14,86.0,769.3920418796447,446.61226199929024,1451.8767437954257,710.9826492391895,464.8147820399733,1260.3839896129232,1.2821263834024288,1.0,3.414840733803055,1.1837600428834394,1.0,3.570323575252722,9,0.5395010395010394,1426.117811730671,827.8246551894359,2691.147259212331,1317.8522323084785,861.5642010066558,2336.2030790127787
15,87.0,966.5063363299045,546.7845831164659,1799.2484145285418,899.641725297445,559.3197011155984,1753.907251219267,1.0,1.0,2.886169849449255,1.0,1.0,2.9287096458638104,9,0.5470383275261324,1766.7982071763224,999.536148754304,3289.071942482112,1644.5679946520174,1022.4506638227818,3206.1871407638832
16,88.0,875.4659200542192,504.36895897374086,1626.7819703413547,771.3949149244063,577.5042626245445,1086.4190318730882,1.280407004229242,1.0,2.975480893458084,1.1631536135804077,1.0,3.006955563695616,9,0.575235980011105,1521.9248282023634,876.8035667101421,2828.0254136918725,1341.0060248830653,1003.9432210297341,1888.649301547714
17,89.0,898.0378364612036,514.7196544148974,1685.8113812761162,827.5397623866845,559.3582221975561,1238.570926052544,1.0,1.0,1.9631366380584017,1.0,1.0,2.338188846836409,9,0.5858810450250139,1532.7989258004793,878.5395239965848,2877.3953272445283,1412.4706191021303,954.7300206199272,2114.031400349646
18,90.0,927.4057704690588,528.0253918268912,1696.0882426477829,931.211887166202,748.8771466678467,1323.2445572728095,1.343525701296254,1.0,2.5530483756853646,1.212663149589778,1.0,2.444742169584228,9,0.6046997389033942,1533.6632560002138,873.2026125634686,2804.843682789727,1539.9574817990301,1238.4280966052904,2188.267121914879
19,91.0,1064.517514808394,568.3420670201181,1924.31082205856,1213.0499625976347,970.2764094043656,1649.955648345899,1.0000157088321997,1.0,2.18124840760502,1.0499180224629532,1.0,2.394234918331273,9,0.6170094496942746,1725.2855938200908,921.1237644767499,3118.7704224174317,1966.0152096514817,1572.5470815481565,2674.1173075443894
20,92.0,1130.64872437109,577.85629224532,1934.8061503435536,1318.0770837088392,949.9761753101916,1939.2496542160677,1.3824139239346156,1.0,2.912622281458121,1.6714846054007997,1.0,3.22203551591224,9,0.6749864351600651,1675.0688094983273,856.1006001673029,2866.437086079718,1952.7460331795746,1407.4003947722533,2873.020187074126
21,93.0,1205.8982100986836,607.0653618831586,2033.215911941646,1382.85171061326,1074.577582350303,1756.1468701885424,1.515849584759295,1.0,2.899612093447818,1.7181789839079864,1.0,3.0341080046690294,9,0.6836191602602011,1763.9912398588876,888.0168918204336,2974.193864267581,2022.8393102482894,1571.8950620712476,2568.8965030180148
