,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
0,17.0,20.0,23.0,0,,,,,,,,,,,,,,,,,,,7
1,17.0,20.0,23.0,1,,,,,,,,,,,,,,,,,,,7
2,17.0,20.0,23.0,2,,,,,,,,,,,,,,,,,,,7
3,17.0,20.0,23.0,3,,,,,,,,,,,,,,,,,,,7
4,17.0,20.0,23.0,4,,,,,,,,,,,,,,,,,,,7
5,17.0,20.0,23.0,5,,,,,,,,,,,,,,,,,,,7
6,17.0,20.0,23.0,6,,,,,,,,,,,,,,,,,,,7
7,17.0,20.0,23.0,7,,,,,,,,,,,,,,,,,,,7
8,17.0,20.0,23.0,8,,,,,,,,,,,,,,,,,,,7
9,17.0,20.0,23.0,9,,,,,,,,,,,,,,,,,,,7
10,17.0,20.0,23.0,10,,,,,,,,,,,,,,,,,,,7
11,17.0,20.0,23.0,11,,,,,,,,,,,,,,,,,,,7
12,17.0,20.0,23.0,12,,,,,,,,,,,,,,,,,,,7
13,17.0,20.0,23.0,13,,,,,,,,,,,,,,,,,,,7
14,17.0,20.0,23.0,14,,,,,,,,,,,,,,,,,,,7
15,17.0,20.0,23.0,15,,,,,,,,,,,,,,,,,,,7
16,17.0,20.0,23.0,16,,,,,,,,,,,,,,,,,,,7
17,17.0,20.0,23.0,17,,,,,,,,,,,,,,,,,,,7
18,17.0,20.0,23.0,18,,,,,,,,,,,,,,,,,,,7
19,17.0,20.0,23.0,19,,,,,,,,,,,,,,,,,,,7
20,18.0,21.0,24.0,0,,,,,,,,,,,,,,,,,,,7
21,18.0,21.0,24.0,1,,,,,,,,,,,,,,,,,,,7
22,18.0,21.0,24.0,2,,,,,,,,,,,,,,,,,,,7
23,18.0,21.0,24.0,3,,,,,,,,,,,,,,,,,,,7
24,18.0,21.0,24.0,4,,,,,,,,,,,,,,,,,,,7
25,18.0,21.0,24.0,5,,,,,,,,,,,,,,,,,,,7
26,18.0,21.0,24.0,6,,,,,,,,,,,,,,,,,,,7
27,18.0,21.0,24.0,7,,,,,,,,,,,,,,,,,,,7
28,18.0,21.0,24.0,8,,,,,,,,,,,,,,,,,,,7
29,18.0,21.0,24.0,9,,,,,,,,,,,,,,,,,,,7
30,18.0,21.0,24.0,10,,,,,,,,,,,,,,,,,,,7
31,18.0,21.0,24.0,11,,,,,,,,,,,,,,,,,,,7
32,18.0,21.0,24.0,12,,,,,,,,,,,,,,,,,,,7
33,18.0,21.0,24.0,13,,,,,,,,,,,,,,,,,,,7
34,18.0,21.0,24.0,14,,,,,,,,,,,,,,,,,,,7
35,18.0,21.0,24.0,15,,,,,,,,,,,,,,,,,,,7
36,18.0,21.0,24.0,16,,,,,,,,,,,,,,,,,,,7
37,18.0,21.0,24.0,17,,,,,,,,,,,,,,,,,,,7
38,18.0,21.0,24.0,18,,,,,,,,,,,,,,,,,,,7
39,18.0,21.0,24.0,19,,,,,,,,,,,,,,,,,,,7
40,19.0,22.0,25.0,0,,,,,,,,,,,,,,,,,,,7
41,19.0,22.0,25.0,1,,,,,,,,,,,,,,,,,,,7
42,19.0,22.0,25.0,2,,,,,,,,,,,,,,,,,,,7
43,19.0,22.0,25.0,3,,,,,,,,,,,,,,,,,,,7
44,19.0,22.0,25.0,4,,,,,,,,,,,,,,,,,,,7
45,19.0,22.0,25.0,5,,,,,,,,,,,,,,,,,,,7
46,19.0,22.0,25.0,6,,,,,,,,,,,,,,,,,,,7
47,19.0,22.0,25.0,7,,,,,,,,,,,,,,,,,,,7
48,19.0,22.0,25.0,8,,,,,,,,,,,,,,,,,,,7
49,19.0,22.0,25.0,9,,,,,,,,,,,,,,,,,,,7
50,19.0,22.0,25.0,10,,,,,,,,,,,,,,,,,,,7
51,19.0,22.0,25.0,11,,,,,,,,,,,,,,,,,,,7
52,19.0,22.0,25.0,12,,,,,,,,,,,,,,,,,,,7
53,19.0,22.0,25.0,13,,,,,,,,,,,,,,,,,,,7
54,19.0,22.0,25.0,14,,,,,,,,,,,,,,,,,,,7
55,19.0,22.0,25.0,15,,,,,,,,,,,,,,,,,,,7
56,19.0,22.0,25.0,16,,,,,,,,,,,,,,,,,,,7
57,19.0,22.0,25.0,17,,,,,,,,,,,,,,,,,,,7
58,19.0,22.0,25.0,18,,,,,,,,,,,,,,,,,,,7
59,19.0,22.0,25.0,19,,,,,,,,,,,,,,,,,,,7
60,20.0,23.0,26.0,0,,,,,,,,,,,,,,,,,,,7
61,20.0,23.0,26.0,1,,,,,,,,,,,,,,,,,,,7
62,20.0,23.0,26.0,2,,,,,,,,,,,,,,,,,,,7
63,20.0,23.0,26.0,3,,,,,,,,,,,,,,,,,,,7
64,20.0,23.0,26.0,4,,,,,,,,,,,,,,,,,,,7
65,20.0,23.0,26.0,5,,,,,,,,,,,,,,,,,,,7
66,20.0,23.0,26.0,6,,,,,,,,,,,,,,,,,,,7
67,20.0,23.0,26.0,7,,,,,,,,,,,,,,,,,,,7
68,20.0,23.0,26.0,8,,,,,,,,,,,,,,,,,,,7
69,20.0,23.0,26.0,9,,,,,,,,,,,,,,,,,,,7
70,20.0,23.0,26.0,10,,,,,,,,,,,,,,,,,,,7
71,20.0,23.0,26.0,11,,,,,,,,,,,,,,,,,,,7
72,20.0,23.0,26.0,12,,,,,,,,,,,,,,,,,,,7
73,20.0,23.0,26.0,13,,,,,,,,,,,,,,,,,,,7
74,20.0,23.0,26.0,14,,,,,,,,,,,,,,,,,,,7
75,20.0,23.0,26.0,15,,,,,,,,,,,,,,,,,,,7
76,20.0,23.0,26.0,16,,,,,,,,,,,,,,,,,,,7
77,20.0,23.0,26.0,17,,,,,,,,,,,,,,,,,,,7
78,20.0,23.0,26.0,18,,,,,,,,,,,,,,,,,,,7
79,20.0,23.0,26.0,19,,,,,,,,,,,,,,,,,,,7
80,21.0,24.0,27.0,0,,,,,,,,,,,,,,,,,,,7
81,21.0,24.0,27.0,1,,,,,,,,,,,,,,,,,,,7
82,21.0,24.0,27.0,2,,,,,,,,,,,,,,,,,,,7
83,21.0,24.0,27.0,3,,,,,,,,,,,,,,,,,,,7
84,21.0,24.0,27.0,4,,,,,,,,,,,,,,,,,,,7
85,21.0,24.0,27.0,5,,,,,,,,,,,,,,,,,,,7
86,21.0,24.0,27.0,6,,,,,,,,,,,,,,,,,,,7
87,21.0,24.0,27.0,7,,,,,,,,,,,,,,,,,,,7
88,21.0,24.0,27.0,8,,,,,,,,,,,,,,,,,,,7
89,21.0,24.0,27.0,9,,,,,,,,,,,,,,,,,,,7
90,21.0,24.0,27.0,10,,,,,,,,,,,,,,,,,,,7
91,21.0,24.0,27.0,11,,,,,,,,,,,,,,,,,,,7
92,21.0,24.0,27.0,12,,,,,,,,,,,,,,,,,,,7
93,21.0,24.0,27.0,13,,,,,,,,,,,,,,,,,,,7
94,21.0,24.0,27.0,14,,,,,,,,,,,,,,,,,,,7
95,21.0,24.0,27.0,15,,,,,,,,,,,,,,,,,,,7
96,21.0,24.0,27.0,16,,,,,,,,,,,,,,,,,,,7
97,21.0,24.0,27.0,17,,,,,,,,,,,,,,,,,,,7
