,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,70.0,,,,,,,1.7718410636451318,1.0,6.681084770606062,1.1202221488748083,1.0,6.9180178219716,9,0.30491803278688523,,,,,,
1,71.0,,,,,,,4.53676233236923,1.0,10.126841427030977,4.661155550845761,1.0,9.939683826305393,9,0.42190669371196754,,,,,,
2,72.0,,,,,,,1.9228975392009584,1.0,6.183420774247475,2.512295009363012,1.0,8.142903541523314,9,0.4075993091537133,,,,,,
3,73.0,,,,,,,3.082766645121897,1.0,13.785013880926815,4.403725907402107,1.0,14.693002003207049,9,0.35602350636630753,,,,,,
4,74.0,448.6852761858143,195.4015082136389,834.9945702538607,560.1274676282513,160.33471374465182,12979.01191071537,7.358236915478589,1.0,18.997970647851947,9.492248554024648,1.0,19.70614687888191,9,0.387143803843605,1158.9628239719168,504.72590875450373,2156.807268937138,1446.8201791356237,414.1476943524129,33525.04103606555
5,75.0,285.56672742229364,160.82932595210644,516.1505481462907,252.8811544004355,145.03690531642502,662.765800491599,9.190800993895316,1.0,46.92547634915756,10.803874380236742,1.0,47.10134028340176,9,0.42385728504708675,673.7332057193962,379.4421651482049,1217.7460818892166,596.6186339638887,342.183349049463,1563.6532009069317
6,76.0,395.536215848318,238.00276819868373,651.2824064119262,316.6394774018157,247.1191281669004,437.9474503716313,1.0,1.0,24.048287091428453,5.566149517286467,1.0,24.4556086932106,9,0.3891844617739232,1016.3206774634403,611.5423188116366,1673.4542880857753,813.5974287322684,634.9665838161125,1125.2953120878565
7,77.0,555.5124603559461,390.7273290660123,765.5216784429608,505.21612180875456,412.0896112557771,674.1062960739167,2.4626704206421546,1.0,10.764665933594596,3.775732196069331,1.0,11.10273622207854,9,0.39720042796005706,1398.5696420543866,983.7031925486856,1927.2931864009536,1271.9425414606042,1037.4853153411439,1697.1439319337935
8,78.0,731.0222390305029,515.5191549127062,853.464323371589,759.6715224879647,630.318365000333,906.9741231902698,1.0,1.0,16.886389082971704,1.0,1.0,17.98328781112274,9,0.42505034232782923,1719.848606701477,1212.8425825736683,2007.9135066625502,1787.2507014758542,1482.9263789045165,2133.8040059517148
9,79.0,1005.1286251310746,651.6869788236932,1121.6125681010865,1028.8607455026795,838.3707247086179,1251.6742085030996,1.0,1.0,3.606213384271715,1.0,1.0,4.057525170227345,9,0.44319492502883506,2267.915466463609,1470.4296958754508,2530.7432571077215,2321.4632826306392,1891.6523573776753,2824.2069974552696
10,80.0,1309.7885738732084,846.9299162194798,1822.7121276772975,1287.7954069071982,1047.726000285885,1613.7898787998329,1.0,1.0,2.0170489834746763,1.0,1.0,2.0622635386905257,9,0.46112980343545246,2840.3901984109093,1836.64102799209,3952.70944124182,2792.696107067952,2272.0847632927776,3499.643412282126
11,81.0,1511.7643110576846,1046.5485683360866,2227.3200014541026,1403.4446352507812,1165.6908170663671,1858.4911557146888,1.0,1.0,2.064870068009748,1.0,1.0,3.195148175259557,9,0.46812182741116753,3229.4249542221196,2235.63292086542,4757.992195689202,2998.03289031017,2490.1441223386933,3970.101471218756
12,82.0,1683.0320355968945,1188.7579867044142,2485.3476791122403,1417.6654469613632,1188.8991484543346,1735.9854688101989,1.0,1.0,4.106025846673632,1.0,1.0,5.212404289861971,9,0.48611519247722595,3462.2082618323907,2445.42446955123,5112.67229984522,2916.315862783448,2445.7148569987007,3571.1401241415188
13,83.0,1858.1403892343824,1345.411934746618,2741.497619882386,1468.4804767264616,1205.1061327658174,1829.6045641841797,1.1202880764593075,1.0,3.7002935349369865,1.4278787954428762,1.0,7.101191023137769,9,0.49552033080634045,3749.877197189275,2715.149815462229,5532.56334693928,2963.512060820717,2432.00138893352,3692.28960032162
14,84.0,2144.3996072813416,1574.5493963449414,3095.155047250015,1626.0347720598186,1343.4414032129864,1903.2458324305317,1.0,1.0,4.064740141295887,1.0,1.0,6.630759323416911,9,0.5198334965719883,4125.166272320772,3028.949474645662,5954.127749867668,3127.9915257146954,2584.3686720310106,3661.260470864951
15,85.0,2357.690039107956,1813.610766233408,3096.6727640412937,1703.2697339486117,1468.6796815378614,1989.6037724450048,1.0,1.0,2.544155666987648,1.0,1.0,3.775392154324624,9,0.5279072865325696,4466.106263836343,3435.472122663183,5865.9405600953805,3226.456192973058,2782.0788214243566,3768.8507493678153
16,86.0,2550.436494946379,1930.989984298441,3406.999951312833,1917.1794107601136,1641.2196911991475,2292.5455052923708,1.0,1.0,2.4591814277661115,1.0,1.0,3.869576544470028,9,0.5392425071432914,4729.66515280417,3580.930580803276,6318.122006667959,3555.3195183306775,3043.565129710798,4251.418378416483
17,87.0,2852.083248572412,2230.487595261513,3670.022673969111,2099.6587628953075,1779.2956110058626,2446.105882837711,1.0,1.0,1.0600588637146886,1.0,1.0,1.7573664580357204,9,0.5645843914000338,5051.650899345499,3950.671731697079,6500.396982049638,3718.9458208163664,3151.5139952658565,4332.577946003706
18,88.0,3444.1175919370426,2591.7569469576124,4631.184071548871,2684.9353057549924,2291.759442288232,3172.950720174716,1.0,1.0,1.3830692578902677,1.0,1.0,2.506040211347992,9,0.5777482033537397,5961.277892245218,4485.962798175505,8015.921200041052,4647.241289837606,3966.709769039385,5491.926589743117
19,89.0,3816.6899702750384,2731.091928625946,5663.837402922851,3089.40840696254,2635.583603534939,3565.246943346147,1.0,1.0,2.7294668043275823,1.0,1.0,3.0773132262327008,9,0.5846848187273719,6527.773337064687,4671.049839416825,9686.9924128538,5283.886819033481,4507.6997368797165,6097.72449899808
20,90.0,4101.505225034605,2836.1671424540527,6134.291172721196,3450.4504722899874,2819.5811607247924,4118.440114560507,1.0,1.0,1.436957512508709,1.0,1.0,1.0,9,0.6169942631430453,6647.558121757938,4596.747995688429,9942.217519936661,5592.35422176045,4569.866089777717,6675.005523682931
21,91.0,4301.331947442832,3014.629503937532,6066.222523582312,3651.298643114909,3103.041688257515,4483.031008255617,1.0,1.0,1.90199623464637,1.0,1.0,1.262167678638335,9,0.6284116899618806,6844.767556287424,4797.220599318258,9653.261739848105,5810.360789654305,4937.9121009759465,7133.907723020808
22,92.0,4057.634135718205,2980.778017382381,5588.6202609936245,3461.810787175511,2938.387309025037,4129.402772744852,1.000000141667302,1.0,2.6724741291112712,1.0,1.0,3.355022287643409,9,0.6557296041903444,6187.96850071811,4545.742632838526,8522.751184757195,5279.326669183934,4481.096003974354,6297.417024268091
23,93.0,4751.841832605192,3330.4951410558374,7202.060118095516,3752.1295870038807,3167.4673685674425,4494.768656586203,1.1544480711217655,1.0,4.803985939904143,1.0,1.0,5.39524653105067,9,0.6706596476149549,7085.325394936184,4965.999002474607,10738.770617418193,5594.685173541389,4722.913298618463,6702.011478655087
24,94.0,4950.860478265344,3664.374333041338,7026.692142614516,3722.013827721689,3345.1796755970518,4265.832519173187,1.019149482680221,1.0,4.214015705222622,1.0,1.0,4.467067364846098,9,0.7075749010740532,6996.9419078464425,5178.7794161141865,9930.669010373955,5260.240042533887,4727.6686475442875,6028.807003608986
25,95.0,4815.316575272238,3494.9355004500785,7100.866425425244,3715.518953899754,3193.711680739235,4214.867779953992,2.184128772338294,1.0,6.905493566058708,1.0,1.0,7.840655249851318,9,0.7689334214943289,6262.332265275001,4545.173096596705,9234.69604380776,4832.0424760301,4153.430702144074,5481.446978547125
