,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,70.0,,,,,,,1.492552068650479,1.0,8.024573865956842,1.109138854046201,1.0,8.394902937860724,5,0.30491803278688523,,,,,,
1,71.0,,,,,,,2.86363775791802,1.0,7.950519820872318,2.1096111272335154,1.0,7.490149652775124,5,0.42190669371196754,,,,,,
2,72.0,211.8633453336365,86.91689286899836,556.5420010760593,284.13264776145087,83.40080575404275,1596.0985511769034,1.0,1.0,2.7765696759760683,1.0,1.0,3.7565223277663313,5,0.4075993091537133,519.7833768990489,213.24102106419514,1365.4144856908404,697.08814853339,204.61468869318117,3915.8519539467247
3,73.0,195.872200198566,82.63829849631853,383.25725130512,172.9497471732162,103.50777990262982,2243.688741452936,1.4932877756615075,1.0,8.906670845232291,1.7671297397369914,1.0,8.613743402129094,5,0.35602350636630753,550.1664825384756,232.11472562514777,1076.4942326892092,485.78182080840094,290.73299389431924,6302.08034394346
4,74.0,231.87150885656752,138.77116425387285,450.1676345023018,217.68730746152835,190.749805274716,329.7855248576577,2.7255034778597054,1.0,36.7310766855927,3.466636480770389,1.0,36.78343473282294,5,0.387143803843605,598.9286320858616,358.4486252295346,1162.7917844299443,562.2905630938827,492.71046929056223,851.8424460975788
5,75.0,325.6774281538296,195.83170530084175,616.0851439642563,325.5116067719548,245.675598796296,459.8333742478384,1.3740048937977911,1.0,25.7151447028407,2.5793902432805096,1.0,26.667096217464685,5,0.42385728504708675,768.3657675428411,462.02274258206177,1453.5202430124912,767.9745476966224,579.61867700116,1084.8778361725103
6,76.0,359.49523567474535,222.5192745439112,585.8530247864226,297.5301209768333,266.04097409536973,359.0004001753066,1.0,1.0,17.594442770358558,1.0,1.0,17.968583496102745,5,0.3891844617739232,923.7142563095845,571.7578588046827,1505.335084849158,764.4964026073277,683.5858062851252,922.4427885403337
7,77.0,495.3841631511679,301.48728967807807,802.8282622920603,440.47361457636623,382.0694015126925,541.5728895737535,1.4880423588978011,1.0,8.27675233191268,2.274535235958284,1.0,9.197822657482098,5,0.39720042796005706,1247.1893993049382,759.0306264936753,2021.217012315993,1108.9454682578055,961.905815345984,1363.4750907877035
8,78.0,822.6589988511425,471.8263190520653,1504.8435465828093,792.2656924668405,674.5569624243146,1039.1278977947595,1.0,1.0,5.4698780293460265,1.0,1.0,6.008899001408263,5,0.42505034232782923,1935.4389749359361,1110.0480862291815,3540.38897684775,1863.933782826573,1587.0048680117238,2444.7172353841083
9,79.0,1207.978098885876,707.902904522719,2266.1581676209235,1216.3185047768268,1059.2081148816794,1561.9579830757878,1.0,1.0,2.814022306043721,1.0,1.0,2.9920518446974183,5,0.44319492502883506,2725.613563393766,1597.2721359042223,5113.231311196722,2744.432384232944,2389.937373070699,3524.3137835438074
10,80.0,1866.6869169513704,1066.3131062035643,3508.808084516004,1792.4445190029387,1230.47344858299,2468.735037208545,1.0,1.0,2.334313074478547,1.0,1.0,2.3839204300026995,5,0.46112980343545246,4048.0725883350187,2312.3925156419077,7609.154859163546,3887.071504919199,2668.388465494679,5353.666188600865
11,81.0,2019.7019737621288,1151.5937080043634,3789.432287022905,2074.7223429500605,1471.478445819749,2852.838751528674,1.0,1.0,1.924090796901457,1.0,1.0,2.04764768817521,5,0.46812182741116753,4314.479384419208,2460.0299336029016,8094.970294334334,4432.0136799085,3143.3664479124977,6094.222880624037
12,82.0,1727.678930346659,1042.8792001558736,3347.447080109296,1672.2024800108773,1384.255795800994,1940.4995739437989,1.0,1.0,2.7535776113402632,1.0,1.0,2.6474584591041963,5,0.48611519247722595,3554.0525313402936,2145.333485344076,6886.119034977745,3439.9305059555786,2847.588014575054,3991.851322430556
13,83.0,1743.4173970357883,1073.737656348934,3219.7753385468886,1551.8402022684058,1286.9396825996544,1876.6301272399487,1.3360158261287007,1.0,4.18127753342486,1.5801557260217003,1.0,4.775731342532589,5,0.49552033080634045,3518.3569445047688,2166.8892063453454,6497.7663647170175,3131.738711392847,2597.148093813767,3787.1909800071844
14,84.0,1817.8670634897485,1103.764789266878,3420.5578075328453,1575.858654353317,1357.0625012686412,1874.1369358301652,1.0,1.0,3.786436442546301,1.0,1.0,4.801173851425919,5,0.5198334965719883,3497.0179403165953,2123.3044745011443,6580.102725371709,3031.4680849641763,2610.5714814795715,3605.263893514081
15,85.0,2295.476306935412,1462.334504755139,4367.0113988281055,1990.551809515783,1625.416879598702,2376.512260796508,1.0,1.0,2.780794224668443,1.0,1.0,3.0568187864096608,5,0.5279072865325696,4348.256531961681,2770.059330607325,8272.307487005448,3770.6465894612625,3078.9817096006705,4501.760671662727
16,86.0,3264.9430537706367,1930.5835649464996,6338.733458666668,2902.264715726464,2450.629277174511,3233.023800265956,1.0,1.0,3.070892461434309,1.0,1.0,3.79030176775917,5,0.5392425071432914,6054.6841365809705,3580.176895130211,11754.8846292681,5382.114127281241,4544.577337118775,5995.491374360171
17,87.0,3769.809062163628,2256.250180373476,7318.907080944173,3377.227825473301,2624.624829746825,5086.792026605264,1.0,1.0,1.0,1.0,1.0,1.0,5,0.5645843914000338,6677.140069025653,3996.302793243215,12963.353561360489,5981.7945322551095,4648.773274157271,9009.79925072183
18,88.0,3735.8361790759536,2169.9343410709066,7109.928428090758,3345.8171779313707,2868.192468253133,4805.895724727581,1.0,1.0,2.3159275666347527,1.0,1.0,2.638385978489258,5,0.5777482033537397,6466.201292171915,3755.8478390322475,12306.27527150879,5791.133851233834,4964.433383961587,8318.322232470986
19,89.0,3940.058562213592,2422.140699821954,7487.374107488589,3682.470303356893,2887.464150216019,4057.5696322892095,1.0,1.0,4.369078515105184,1.0,1.0,4.4954180989261845,5,0.5846848187273719,6738.773499865354,4142.6433904919895,12805.829513045419,6298.214329169992,4938.49687512135,6939.755407231091
20,90.0,4393.840449963416,2573.4176964414896,8226.070610113027,4442.575034541473,3436.364758034403,5617.9310818604135,1.0513920954460982,1.0,3.6384654247276407,1.0245445216039293,1.0,3.943685162099349,5,0.6169942631430453,7121.363540044356,4170.894042567237,13332.491242638795,7200.350635207602,5569.524650892433,9105.321422669274
21,91.0,6434.453155786982,3768.515515896139,12094.30493977341,5832.158452143335,5070.614513801348,8538.140591702373,1.0000015904359227,1.0,2.1413340522891864,1.0,1.0,2.224548768555853,5,0.6284116899618806,10239.23211259373,5996.889580658082,19245.83061226479,9280.792425260443,8068.937282355348,13586.85830974961
22,92.0,6670.973990194752,3972.954504736149,12455.44573555373,6329.871844774126,4903.422403508971,9906.750531207435,1.021269681390971,1.0,2.1792221875699447,1.0,1.0,1.9205719802702368,5,0.6557296041903444,10173.361012778538,6058.830468149619,18994.789400934504,9653.173814822456,7477.811543316582,15107.98119819479
23,93.0,4671.292095217423,2692.962458820325,8511.565823919213,4554.378093321238,3542.974714232871,5299.991893048104,1.5380589632009656,1.0,5.33547402470416,1.6451175965603224,1.0,5.587769103839,5,0.6706596476149549,6965.220155752306,4015.3936029955285,12691.334351468166,6790.893278755961,5282.82076733353,7902.655112613817
24,94.0,3942.4426135799176,2326.041142012152,7404.0781630327265,3724.434771936945,3084.3229024939897,4505.918782456317,1.5771003362171494,1.0,5.354267954102324,1.710913711697137,1.0,5.389099447051299,5,0.7075749010740532,5571.767183368917,3287.3426381876616,10464.02034864975,5263.661509592119,4359.005524096722,6368.115623683969
25,95.0,6052.398932565733,3400.899610060082,11091.91324375716,5653.931065475131,4508.515938619554,7432.907188274471,2.114937484372823,1.0,7.467203080632727,1.8576088730361224,1.0,7.65703740541556,5,0.7689334214943289,7871.161225901235,4422.87916611928,14425.063254763165,7352.952684105473,5863.337205265184,9666.515956387379
26,96.0,8818.26394840808,5196.826566602224,14975.606009721443,7931.519026478599,6214.427265432234,12544.529427120966,1.0,1.0,1.497290390224866,1.0,1.0,1.4010392813668917,5,0.7744925780066646,11385.859850463534,6709.975943187806,19336.022623050336,10240.92322084247,8023.869358989206,16197.094437505402
27,97.0,7380.724247950364,4354.627306290715,14329.329170272866,6991.863286346023,5657.7166400616725,9185.070032799942,1.0,1.0,1.1088080610986122,1.0,1.0,1.9468064145242392,5,0.7950698217412779,9283.114571982975,5477.0375974699555,18022.730555777205,8794.024241837255,7115.999734049444,11552.532597305444
28,98.0,6545.681942462192,4061.652614983736,10547.209272053437,5565.675248853851,4889.738520068978,6475.458355152896,1.0,1.0,3.694817560244617,1.0,1.0,4.335855808239174,5,0.8274445026388945,7910.720201278316,4908.670735052649,12746.727107879948,6726.342650297081,5909.445895736299,7825.852168334309
29,99.0,6599.445901723157,4347.880452117648,12155.13722646211,5813.587384578716,5105.577898263619,7125.5195723194665,1.0116446056732409,1.0,3.58349641448117,1.0,1.0,4.094304161883704,5,0.8519726412103094,7746.077259415287,5103.309944250163,14267.051121729171,6823.678488454693,5992.6547535736045,8363.554447237857
30,100.0,9104.716302727018,5489.655662829023,17119.65008892583,8416.532264000973,6725.819500300737,9781.095140967684,1.0,1.0,2.714324169825606,1.0,1.0,2.7125226577309767,5,0.8681891614040241,10487.019082342596,6323.110108805347,19718.801903999996,9694.353072076905,7746.951700507098,11266.087594493607
31,101.0,10671.573458454968,5957.630453628633,19389.459883073963,10333.503196694468,7025.995200313284,11951.203437104708,1.0,1.0,2.799168641446107,1.0,1.0,2.7991720936583184,5,0.8929985413627839,11950.269753150249,6671.489568769995,21712.75649956177,11571.691014102615,7867.86861890175,13383.22839684179
32,102.0,12536.8644607986,6494.806299865679,24535.40761679229,13449.340921742198,7713.258760920769,36591.68882695613,1.0,1.0,2.904188267171821,1.0,1.0,2.9041823281041834,5,0.8942432489009838,14019.523743910042,7262.90783614831,27437.062171781632,15039.913287879226,8625.45931478967,40919.16698496405
33,103.0,11811.040433059909,5490.721718156741,22927.06899263328,10416.629412355393,8080.824381096524,64446.68476762374,1.0133157544997782,1.0,1.9412903881529957,1.0,1.0,1.937226309956612,5,0.8766853268154222,13472.38293124371,6263.047356001614,26151.993527616505,11881.833873271287,9217.474199608527,73511.76390932385
34,104.0,12785.883413712696,13289.870441669213,30463.63534433233,14202.909004365438,3471.00959561076,84093.0384559731,1.0,1.0,1.7235933598132869,1.0,1.0,1.7235934667922137,5,0.893843725335438,14304.383474767317,14868.22591575708,34081.61234549145,15889.700404883895,3883.2398742947753,94080.24699666043
35,105.0,,,,,,,1.0746909757218486,1.0,2.029505999710179,1.0,1.0,2.051218012273026,5,0.9145021645021645,,,,,,
36,106.0,,,,,,,1.4298459136036286,1.0000016596794603,2.1009223888149786,1.1945449971272215,1.0,1.9820807420882096,5,0.9190031152647975,,,,,,
