,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
55,72.0,,,,,,,1.0,1.0,2.6722955087729465,1.0,1.0,3.5771680889250894,9
56,73.0,,,,,,,5.712276561290224,1.6698936306590833,12.385768121119686,7.9579004138253016,3.8030959714563988,12.952411394322027,9
57,74.0,,,,,,,2.8943271686461554,1.0,12.280297191877542,4.292132309288101,1.0,12.810735981119729,9
58,75.0,,,,,,,1.0000474891244937,1.0,13.697993067685157,1.023432484288223,1.0,14.215846714863412,9
59,76.0,1023.3366494591642,629.4280888308807,1726.2460643894838,682.6871515128207,535.4072505392202,899.8191239385807,1.0,1.0,14.823092400906162,1.0,1.0,14.871502349787573,9
60,77.0,1169.5176309724748,695.4741456101156,2116.606408390063,795.164765358433,638.1878858992775,1123.6489345305122,3.3267840941739117,1.0,12.99805918744589,3.6389366289120213,1.0,12.998062069611231,9
61,78.0,1592.171775470447,914.4751380511912,2963.567631654104,1277.4756775418887,907.3318280680023,1994.3868559207224,1.0,1.0,7.053563502021557,1.0,1.0,7.21070219383192,9
62,79.0,2116.769617562807,1095.3392185832154,3771.412336666439,2171.2898382589374,1423.0339577204084,3629.849987899408,1.0000007985863206,1.0,3.9349991442046823,1.0,1.0,3.887293466965707,9
63,80.0,3913.449899013145,1625.142102064452,6600.553400689057,4430.585814170636,2216.057794906062,9224.764953721515,1.0,1.0,1.8297218146865009,1.0,1.0,1.6134108549070678,9
64,81.0,5781.3485172551655,2401.7980097572017,10913.86159810836,6191.617613727001,3477.847895515958,20448.456655869195,1.1508201180756337,1.0,3.529059666904205,1.0,1.0,3.5162112897970865,9
65,82.0,5221.052542538373,2488.536354808044,8986.535665265883,6298.686833659733,3234.7192450471057,24755.406255324076,1.0,1.0,2.601616973362006,1.0,1.0,2.5495849061863636,9
66,83.0,5130.6802626122135,2735.0743958008266,9129.990230841177,6188.138259689038,3429.265402967419,13374.382976569868,1.0,1.0,2.51886060597061,1.0,1.0,3.3042574346183535,9
67,84.0,4427.2553501710845,2418.2669776763046,7918.1179564683425,4174.786561626122,2843.6599694755414,7357.319933283933,1.0,1.0,4.455114201377362,1.0,1.0,4.7784773589723955,9
