,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t
53,70.0,,,,,,,1.253015565447302,1.0,5.393125609178971,1.0,1.0,4.110270145548456,9,1
54,71.0,,,,,,,4.144577487253196,1.0,11.36899545713599,7.025659208674345,1.0,13.021592478671007,9,1
55,72.0,,,,,,,2.510481765536777,1.0,8.41557428167583,4.70700212362945,1.0,8.856043490844016,9,1
56,73.0,,,,,,,4.550391162558853,1.0,16.065707286130298,6.20349810071235,1.0,19.07269425971051,9,1
57,74.0,234.6063681046369,101.09376152493164,450.3782716197791,295.5282924710685,75.19208312206716,7351.589952171166,10.7065460855693,1.0,27.30072563233864,12.06153869343818,1.0,29.175498068860943,9,1
58,75.0,226.41355756809452,130.88834588625465,388.1195920065446,178.62500213795795,136.1857233794754,925.0415232714911,9.208314425411768,1.0,52.04284660998692,10.615575961792219,1.0,52.216892058041715,9,1
59,76.0,375.6988634887065,219.1687373388109,682.0334941663366,329.8374775522151,284.13676469483784,537.5314702889016,4.396913120837057,1.0,23.784640223789598,7.8247077406603776,1.0,29.79686945061337,9,1
60,77.0,587.9455855728636,345.76876221009866,870.5299116378773,605.5156636763508,490.5919797407857,811.8333112941036,2.4928352030302605,1.0,11.955924436451275,1.9977273442201335,1.0,17.164165644348717,9,1
61,78.0,791.7060091558801,464.1710867734515,940.9240525720189,885.7300297140471,743.9949505619692,1196.9158335381062,1.4788743678434735,1.0,22.92604375217423,1.821977457784226,1.0,44.738730936218,9,1
62,79.0,1106.3641161248693,548.9031262390215,1703.618682121195,1205.9177973160988,959.5310621569141,1506.786685199182,1.000005697702762,1.0,3.1257552083544367,1.0,1.0,3.1756990174869775,9,1
63,80.0,1400.5778088609436,813.487013091137,2159.162259304634,1522.7374125277083,1178.1219280216083,1809.6964221103037,1.0,1.0,2.6642118220347397,1.0,1.0,2.6558046492204386,9,1
64,81.0,1536.388004458091,980.4329717977851,2477.121925605426,1555.2483820200468,1303.7636098110384,1923.0613218652081,1.0,1.0,2.190621746055272,1.0,1.0,3.082320482067364,9,1
65,82.0,1618.5514123498701,1103.543018171606,2555.1745943352234,1373.5181734591577,1170.0987691540297,1594.2111660892608,1.0,1.0,4.120702626642022,1.0,1.0,5.4846470248811,9,1
66,83.0,1771.8059453662459,1232.3571558879194,2678.090061726858,1342.4188189719366,1180.9783187928278,1632.4373572903369,1.2920364551594923,1.0,3.7629664320730787,1.5341506749825242,1.0,7.397325473933193,9,1
