,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t
53,70.0,,,,,,,1.7718410636451318,1.0,6.681084770606062,1.1202221488748083,1.0,6.9180178219716,9,1
54,71.0,,,,,,,4.53676233236923,1.0,10.126841427030975,4.661155550845761,1.0,9.939683826305393,9,1
55,72.0,,,,,,,1.9228975392009584,1.0,6.183420774247475,2.512295009363012,1.0,8.142903541523314,9,1
56,73.0,,,,,,,3.082766645121897,1.0,13.785013880926815,4.403725907402107,1.0,14.693002003207049,9,1
57,74.0,476.2208407601032,210.26273212391544,871.0690912332791,745.7857377971003,160.36809424001132,10000000.000000006,7.358236915478589,1.0,18.997970647851947,9.492248554024648,1.0,19.70614687888191,9,1
58,75.0,285.56672742229364,160.82932595210644,516.1505481462907,252.8811544004355,145.03690531642502,662.765800491599,9.190800993895317,1.0,46.925476349157556,10.803874380236742,1.0,47.101340283401754,9,1
59,76.0,395.53621584831797,238.00276819868373,651.2824064119262,316.6394774018157,247.11912816690037,437.9474503716313,1.0,1.0,24.048287091428453,5.566149517286467,1.0,24.455608693210596,9,1
60,77.0,555.5124603559461,390.7273290660123,765.5216784429608,505.21612180875456,412.0896112557771,674.1062960739167,2.4626704206421546,1.0,10.764665933594596,3.775732196069331,1.0,11.102736222078539,9,1
61,78.0,731.0222390305029,515.5191549127062,853.464323371589,759.6715224879647,630.318365000333,906.9741231902698,1.0,1.0,16.886389082971704,1.0,1.0,17.98328781112274,9,1
62,79.0,1005.1286251310746,651.6869788236932,1121.6125681010863,1028.8607455026795,838.3707247086179,1251.6742085030996,1.0,1.0,3.606213384271715,1.0,1.0,4.057525170227345,9,1
63,80.0,1309.7885738732084,846.9299162194798,1822.7121276772978,1287.7954069071982,1047.726000285885,1613.7898787998329,1.0,1.0,2.0170489834746763,1.0,1.0,2.0622635386905257,9,1
64,81.0,1511.7643110576846,1046.5485683360866,2227.3200014541026,1403.4446352507812,1165.6908170663671,1858.4911557146886,1.0,1.0,2.0648700680097476,1.0,1.0,3.195148175259557,9,1
65,82.0,1683.0320355968943,1188.7579867044142,2485.3476791122403,1417.6654469613632,1188.8991484543346,1735.9854688101987,1.0,1.0,4.106025846673632,1.0,1.0,5.212404289861971,9,1
66,83.0,1858.1403892343826,1345.411934746618,2741.497619882386,1468.4804767264616,1205.1061327658174,1829.6045641841793,1.1202880764593077,1.0,3.7002935349369865,1.4278787954428762,1.0,7.101191023137769,9,1
67,84.0,2144.3996072813416,1574.5493963449414,3095.155047250015,1626.0347720598186,1343.4414032129864,1903.2458324305314,1.0,1.0,4.064740141295887,1.0,1.0,6.630759323416911,9,1
68,85.0,2357.690039107956,1813.610766233408,3096.6727640412937,1703.2697339486117,1468.6796815378614,1989.6037724450052,1.0,1.0,2.544155666987648,1.0,1.0,3.7753921543246243,9,1
69,86.0,2550.436494946379,1930.989984298441,3406.999951312833,1917.1794107601136,1641.2196911991477,2292.5455052923708,1.0,1.0,2.4591814277661115,1.0,1.0,3.869576544470028,9,1
70,87.0,2852.0832485724113,2230.487595261513,3670.0226739691107,2099.6587628953075,1779.2956110058626,2446.105882837711,1.0,1.0,1.0600588637146886,1.0,1.0,1.7573664580357204,9,1
71,88.0,3444.1175919370426,2591.7569469576124,4631.184071548871,2684.9353057549924,2291.759442288232,3172.9507201747156,1.0,1.0,1.3830692578902675,1.0,1.0,2.5060402113479916,9,1
72,89.0,3816.6899702750384,2731.091928625946,5663.837402922851,3089.4084069625396,2635.583603534939,3565.246943346147,1.0,1.0,2.7294668043275823,1.0,1.0,3.0773132262327008,9,1
73,90.0,4101.505225034605,2836.1671424540527,6134.291172721196,3450.4504722899874,2819.5811607247924,4118.440114560507,1.0,1.0,1.436957512508709,1.0,1.0,1.0,9,1
74,91.0,4301.331947442832,3014.629503937532,6066.222523582312,3651.2986431149093,3103.041688257515,4483.031008255617,1.0,1.0,1.9019962346463701,1.0,1.0,1.262167678638335,9,1
75,92.0,4057.6341357182046,2980.778017382381,5588.6202609936245,3461.810787175511,2938.387309025037,4129.402772744852,1.000000141667302,1.0,2.6724741291112712,1.0,1.0,3.3550222876434095,9,1
76,93.0,4751.841832605192,3330.4951410558374,7202.0601180955155,3752.1295870038807,3167.4673685674425,4494.768656586203,1.1544480711217657,1.0,4.803985939904143,1.0,1.0,5.39524653105067,9,1
77,94.0,4950.860478265344,3664.374333041338,7026.692142614516,3722.0138277216893,3345.1796755970513,4265.832519173187,1.019149482680221,1.0,4.214015705222622,1.0,1.0,4.467067364846098,9,1
78,95.0,4815.316575272238,3494.9355004500785,7100.8664254252435,3715.518953899754,3193.711680739235,4214.867779953992,2.184128772338294,1.0,6.905493566058708,1.0,1.0,7.840655249851318,9,1
79,96.0,5146.927504643625,4020.270892602965,6685.449572974349,3972.3357902232256,3474.045532808713,4642.170906382669,1.0,1.0,1.4107903169100766,1.0,1.0,2.9361613108923477,9,1
80,97.0,5841.331990080735,4517.857571704814,7719.53091057382,4278.6381640133195,3743.412186642031,4926.825598156089,1.0,1.0,3.9080540561908177,1.0,1.0,5.211812724668354,9,1
81,98.0,6950.274863500724,5584.567192855414,8964.022484449775,4809.19886645009,4316.4674931048,5552.791289305988,1.0,1.0,9.994563147522314,1.0,1.0,10.336815776325645,9,1
82,99.0,7046.116118700387,5660.334817280032,9072.01569257755,5520.395135360223,4750.982561474303,6196.327047181667,1.000000001733413,1.0,2.8618225401844706,1.0,1.0,3.0321825333538226,9,1
83,100.0,7237.793361545308,5707.624861064375,9338.319965438444,6099.744731497702,5124.896496489425,7350.806031169995,1.0,1.0,1.0000072574836192,1.0,1.0,1.0,9,1
84,101.0,6930.867477024109,4205.742372099559,11485.932177198874,6149.61936908971,4702.0087683646125,8454.267984484337,1.0,1.0,1.6463446811000566,1.0,1.0,1.686557820627835,9,1
85,102.0,8344.377127955953,4728.199984253859,14663.964095612413,7575.4514948105,4207.521064773934,40129.70811117716,1.0,1.0,1.691630223988324,1.0,1.0,1.5289548934512622,9,1
86,103.0,,,,,,,1.0,1.0,1.8818035104807158,1.0,1.0,1.189249145275617,9,1
87,104.0,,,,,,,1.0,1.0,1.7546550670411374,1.0,1.0,1.5287900748188332,9,1
88,105.0,,,,,,,1.0674629445964299,1.0,1.99379255720006,1.0953123648014325,1.0,2.041946906707895,9,1
89,106.0,,,,,,,1.4284805286293378,1.0,2.3640874255847013,1.416588589515159,1.0,2.4813946905708533,9,1
