,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
53,70.0,,,,,,,1.597946813452538,1.0,8.599118404002756,1.0,1.0,6.033118998609975,9
54,71.0,,,,,,,2.1037163770736087,1.0,9.713565733977996,1.1697832507727346,1.0,8.647985627314362,9
55,72.0,,,,,,,1.0,1.0,7.068276950103705,1.0,1.0,5.225181265178354,9
56,73.0,,,,,,,2.3383231209359483,1.0,10.211832409943739,2.7324607037491417,1.0,9.753823238210884,9
57,74.0,986.3480277591009,270.5489729811573,2418.149981611985,1677.714247098507,222.2538657345468,47181.26703355461,3.2229468483564063,1.0,14.906697891345752,5.234093027422717,1.0,14.078693376695968,9
58,75.0,428.0171065040014,219.5805045334798,830.377793348626,593.5933071887295,171.74562829848108,6456.288401410044,4.851131649844841,1.0,25.201247871992244,5.929353623737383,1.0,24.328382473745368,9
59,76.0,348.2066538503585,201.87292428067042,632.9197371698313,272.00836251639225,204.607204983131,376.7517452148418,1.0,1.0,13.820315826817762,3.340372235357528,1.0,13.768818441735682,9
60,77.0,490.70074395280676,292.2807815702286,799.5109836600136,465.70021791002534,390.87596017686997,571.5504749409528,1.5743105151468857,1.0,6.022385773359885,1.6732281978459322,1.0,5.8328621236878995,9
61,78.0,633.0384446545613,424.7382151801079,821.6844622411434,666.691946148701,534.8910302135133,838.7535656729215,1.0,1.0,6.7884728576679025,1.0,1.0,6.465591847000249,9
62,79.0,885.4938217065801,546.905839834609,1064.8493193019774,931.5639855491377,752.5117198815933,1144.110205307225,1.0,1.0,5.149380901301639,1.0,1.0,12.244056485256504,9
63,80.0,1136.1599582142344,700.5135081140263,1726.8530342874665,1161.6145532363357,966.5641884601313,1474.8099974390957,1.0,1.0,2.0135490872406763,1.0,1.0,2.1728044123739854,9
64,81.0,1415.3996180360473,898.3372307792404,2317.748477744397,1383.2833232914804,1130.1106569719275,1806.5111443052328,1.0,1.0,1.8663086466510057,1.0,1.0,2.425955847336575,9
65,82.0,1601.2215028960823,1012.6852153281767,2565.38985700906,1378.4480983176759,1149.7288121398508,1665.1825025568035,1.0,1.0,2.4437378314512728,1.0,1.0,2.882342868364176,9
66,83.0,1861.4582158960488,1206.7237564904758,2924.136157775656,1539.6693304447504,1288.6802984378267,1898.6056873483185,1.4695512158590576,1.0,2.775631520926846,1.5622037697402764,1.0,4.545451389741622,9
67,84.0,1985.3523345375224,1279.0945862083095,3131.6036735185858,1568.0179269955102,1283.3983065769053,1871.1095988852426,1.0,1.0,2.0827829107378006,1.0,1.0,3.3016318670185925,9
68,85.0,2080.9415834437245,1431.2644827231088,3079.3738578440193,1601.9960167018917,1397.9778431703035,1918.3249658569634,1.0,1.0,2.013327008971006,1.0,1.0,3.017594762308494,9
69,86.0,2395.1187508319044,1648.205081928441,3626.725908966292,1869.7418350741382,1630.4755654053158,2137.372037754048,1.0,1.0,1.9125404985721053,1.0,1.0,2.5306751188864784,9
70,87.0,2680.6848063099137,1895.684658241912,3811.228373963931,2085.56257715656,1763.9452247189583,2521.862791381079,1.0,1.0,1.588575955192678,1.0,1.0,1.8785163210031932,9
71,88.0,3138.5704296192084,2138.422283608751,4692.15915127183,2615.0708649929875,2157.190689749676,3267.9543497625255,1.0,1.0,1.7137728517382982,1.0,1.0,2.08567852042135,9
72,89.0,3479.331917178527,2230.748644729173,5453.64376727315,2960.7583330120597,2455.8628645166696,3472.4131448550875,1.0,1.0,1.4437564682362465,1.0,1.0,1.602719538995549,9
73,90.0,3964.086828568341,2418.8784507213313,6348.256930694215,3475.4759844459504,2808.6979236970083,4414.250578212158,1.0,1.0,1.2105947229212792,1.0,1.0,1.0,9
74,91.0,4165.8431718472975,2492.8360751158198,6807.65018583533,3684.9137057955427,3060.6420793462153,4646.852436206612,1.0,1.0,1.1892940153819676,1.0,1.0,1.090356511717446,9
75,92.0,4170.813434114489,2562.546840529505,6507.2733988379205,3541.572625420732,3036.2796773089576,4305.601510928974,1.3377112555808766,1.0,2.82308617360727,1.0,1.0,3.1921192014452493,9
76,93.0,4445.14968548145,2807.5120020108934,7215.137940254554,3711.2924421283365,3181.8837798027844,4549.292587448147,1.5795565612761928,1.000000025838604,2.6276288916292065,1.2608739697749285,1.0,2.825341674859915,9
77,94.0,4615.365172990721,3086.9044613923033,7211.184605092974,3634.6185796908,3144.9454422937033,4223.264706230081,1.077998841376945,1.0,2.9661470694670236,1.0,1.0,3.327343974251969,9
78,95.0,4737.721241319721,3243.640133186827,6975.246981259974,3711.736379810307,3194.8769436402804,4261.1117993981015,1.8122682376803345,1.0,4.743634102891368,1.0605672339325078,1.0,4.909190288957194,9
79,96.0,5128.440226369407,3405.220886669794,7624.416281869912,4009.6345435532444,3486.788612990957,4648.619447453355,1.0,1.0,1.705918407230431,1.0,1.0,2.574893934538861,9
80,97.0,5480.297414247715,3719.5136472674208,8110.963969019234,4264.01487545167,3741.6454748194164,4992.982692097908,1.0,1.0,2.52660125132444,1.0,1.0,3.2201981648582545,9
81,98.0,6296.2294436962775,4514.824056295857,9135.988941885982,4731.162203394129,4005.998657665052,5714.687413264796,1.0,1.0,6.195294584523158,1.0,1.0,6.195300694961099,9
82,99.0,6432.6131325359265,4608.278218465868,9284.866972292808,5195.957717905034,4578.170944295844,6048.141950973728,1.0,1.0,1.9469073485684354,1.0,1.0,1.9182511590685145,9
83,100.0,6311.058161778084,3916.948201805693,10569.65386048275,5530.642556610592,4313.103022134065,6791.3117492191595,1.0,1.0,1.9206271399270802,1.0,1.0,1.9437637484396706,9
84,101.0,6539.721064018426,3712.921504255726,12120.767443097167,5817.060738321585,3971.834965641467,11208.690859869623,1.0,1.0,2.434812646543817,1.0,1.0,2.4892744081420037,9
85,102.0,8642.520139418408,3455.6063179827934,16395.46008244218,10837.78688849158,4133.1303634259775,67924.08459735039,1.0,1.0,1.9596546191530775,1.0,1.0,1.7641645152055379,9
86,103.0,,,,,,,1.0,1.0,1.877383806466017,1.0,1.0,1.8716386519705257,9
87,104.0,,,,,,,1.0,1.0,1.7838818593452421,1.0,1.0,1.7550237394501165,9
88,105.0,,,,,,,1.5086421429553347,1.0,2.678323034222985,1.5031091568370427,1.0,2.715953754043401,9
89,106.0,,,,,,,1.0,1.0,1.544726732877634,1.0,1.0,1.5852913639810402,9
