,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
0,17.0,21.0,27.0,0,,,,,,,,,,,,,,,,,,,,,,,9
1,17.0,21.0,27.0,1,,,,,,,,,,,,,,,,,,,,,,,9
2,17.0,21.0,27.0,2,,,,,,,,,,,,,,,,,,,,,,,9
3,17.0,21.0,27.0,3,,,,,,,,,,,,,,,,,,,,,,,9
4,17.0,21.0,27.0,4,,,,,,,,,,,,,,,,,,,,,,,9
5,17.0,21.0,27.0,5,,,,,,,,,,,,,,,,,,,,,,,9
6,17.0,21.0,27.0,6,,,,,,,,,,,,,,,,,,,,,,,9
7,17.0,21.0,27.0,7,,,,,,,,,,,,,,,,,,,,,,,9
8,17.0,21.0,27.0,8,,,,,,,,,,,,,,,,,,,,,,,9
9,17.0,21.0,27.0,9,,,,,,,,,,,,,,,,,,,,,,,9
10,17.0,21.0,27.0,10,,,,,,,,,,,,,,,,,,,,,,,9
11,17.0,21.0,27.0,11,,,,,,,,,,,,,,,,,,,,,,,9
12,17.0,21.0,27.0,12,,,,,,,,,,,,,,,,,,,,,,,9
13,17.0,21.0,27.0,13,,,,,,,,,,,,,,,,,,,,,,,9
14,17.0,21.0,27.0,14,,,,,,,,,,,,,,,,,,,,,,,9
15,17.0,21.0,27.0,15,,,,,,,,,,,,,,,,,,,,,,,9
16,17.0,21.0,27.0,16,,,,,,,,,,,,,,,,,,,,,,,9
17,17.0,21.0,27.0,17,,,,,,,,,,,,,,,,,,,,,,,9
18,17.0,21.0,27.0,18,,,,,,,,,,,,,,,,,,,,,,,9
19,17.0,21.0,27.0,19,,,,,,,,,,,,,,,,,,,,,,,9
20,17.0,21.0,27.0,20,,,,,,,,,,,,,,,,,,,,,,,9
21,17.0,21.0,27.0,21,,,,,,,,,,,,,,,,,,,,,,,9
22,17.0,21.0,27.0,22,,,,,,,,,,,,,,,,,,,,,,,9
23,17.0,21.0,27.0,23,,,,,,,,,,,,,,,,,,,,,,,9
24,17.0,21.0,27.0,24,,,,,,,,,,,,,,,,,,,,,,,9
25,17.0,21.0,27.0,25,,,,,,,,,,,,,,,,,,,,,,,9
26,17.0,21.0,27.0,26,,,,,,,,,,,,,,,,,,,,,,,9
27,17.0,21.0,27.0,27,,,,,,,,,,,,,,,,,,,,,,,9
28,17.0,21.0,27.0,28,,,,,,,,,,,,,,,,,,,,,,,9
29,17.0,21.0,27.0,29,,,,,,,,,,,,,,,,,,,,,,,9
30,17.0,21.0,27.0,30,,,,,,,,,,,,,,,,,,,,,,,9
31,17.0,21.0,27.0,31,,,,,,,,,,,,,,,,,,,,,,,9
32,17.0,21.0,27.0,32,,,,,,,,,,,,,,,,,,,,,,,9
33,17.0,21.0,27.0,33,,,,,,,,,,,,,,,,,,,,,,,9
34,17.0,21.0,27.0,34,,,,,,,,,,,,,,,,,,,,,,,9
35,17.0,21.0,27.0,35,,,,,,,,,,,,,,,,,,,,,,,9
36,17.0,21.0,27.0,36,,,,,,,,,,,,,,,,,,,,,,,9
37,17.0,21.0,27.0,37,,,,,,,,,,,,,,,,,,,,,,,9
38,17.0,21.0,27.0,38,,,,,,,,,,,,,,,,,,,,,,,9
39,17.0,21.0,27.0,39,,,,,,,,,,,,,,,,,,,,,,,9
40,17.0,21.0,27.0,40,,,,,,,,,,,,,,,,,,,,,,,9
41,17.0,21.0,27.0,41,,,,,,,,,,,,,,,,,,,,,,,9
42,17.0,21.0,27.0,42,,,,,,,,,,,,,,,,,,,,,,,9
43,17.0,21.0,27.0,43,,,,,,,,,,,,,,,,,,,,,,,9
44,17.0,21.0,27.0,44,,,,,,,,,,,,,,,,,,,,,,,9
45,17.0,21.0,27.0,45,,,,,,,,,,,,,,,,,,,,,,,9
46,17.0,21.0,27.0,46,,,,,,,,,,,,,,,,,,,,,,,9
47,17.0,21.0,27.0,47,,,,,,,,,,,,,,,,,,,,,,,9
48,17.0,21.0,27.0,48,,,,,,,,,,,,,,,,,,,,,,,9
49,17.0,21.0,27.0,49,,,,,,,,,,,,,,,,,,,,,,,9
50,17.0,21.0,27.0,50,,,,,,,,,,,,,,,,,,,,,,,9
51,17.0,21.0,27.0,51,,,,,,,,,,,,,,,,,,,,,,,9
