,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
55,74.0,,,,,,,8.85161828020896,1.0,28.681008132931105,5.945656951474662,1.0,22.33343228807938,9
56,75.0,,,,,,,19.53158073074482,1.0,79.11367572487728,12.725076233039616,1.0,77.42895938345117,9
57,76.0,,,,,,,1.4168814451508702,1.0,10.058945901425577,1.0021519755118518,1.0,7.745470943257114,9
58,77.0,,,,,,,1.0,1.0,3.6720161856980047,1.0,1.0,4.019759951240318,9
59,78.0,418.0820180287345,144.38288453328173,1076.215031060563,630.112279939617,133.79270244985622,15070.871352170436,1.0,1.0,5.815743296468623,1.0,1.0,7.113398278929346,9
60,79.0,431.8747443514559,164.29576414447436,1332.8310905298645,1023.8672328361928,98.68156796454053,7882.4821873257215,1.0,1.0,4.7691954443528415,1.0,1.0,6.76942371362484,9
61,80.0,239.6695289809801,102.31531252696496,523.0397909738554,521.0836758266215,166.59548480387312,9210.591938589941,1.0,1.0,5.279721313590407,1.0,1.0,6.21048326445405,9
62,81.0,230.34048771213276,126.1426116177816,444.3756010460062,289.75692971397336,145.23421958973643,1518.381130118391,1.0656372047672351,1.0,4.932978104121178,1.0,1.0,3.5478380100282574,9
63,82.0,221.4216216327511,129.9480360416878,429.8796696912772,246.2605483076681,145.83774166360308,679.9521677011879,4.067513470620685,1.0,17.90020792793701,3.591896937149611,1.0,17.99331017112556,9
64,83.0,278.1562731075047,160.3939740384635,533.3876065509,349.81862121938764,198.58311164241834,803.4186745883969,1.7920648237098977,1.0,6.695396394857963,1.227981479347112,1.0,4.243690642459443,9
65,84.0,314.0494308736471,176.7003021166738,604.6083733188445,340.84167800606724,213.95335493790245,792.1086149382651,1.0,1.0,4.703311065429259,1.0,1.0,3.196616271355295,9
66,85.0,628.6965683701562,252.2997113667613,1247.3631952721344,882.9654532890249,309.86826066697546,6952.836923957256,1.0000681373935616,1.0,4.100538754851571,1.0,1.0,3.1524643910171815,9
67,86.0,951.0247542012426,300.4157561681815,2023.522263756514,1313.8246895582577,378.6587982652705,19649.57948225299,1.2026590181322854,1.0,3.819088300965007,1.2891907895815902,1.0,4.206741469184381,9
68,87.0,1681.81712016452,459.894119794332,4924.799529492492,1015.8008410580585,403.3640625085003,2827.3021500188424,1.0,1.0,2.6503435746914152,1.0,1.0,2.6750559255362623,9
69,88.0,1032.2878065775944,430.19391583622144,1970.32134022431,1080.7192574196208,535.6572117515894,31029.47262733968,1.0,1.0,2.4366156397025414,1.0,1.0,2.9832098392942856,9
70,89.0,1760.315691048887,575.4556408227475,3628.619605818503,2606.415806759228,714.1728752570162,27023.696368878984,1.0,1.0,2.665310353490205,1.0,1.0,3.0599802504055744,9
