,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
53,70.0,,,,,,,1.2404558069883325,1.0,5.629252221621047,1.0,1.0,5.326017076896369,9
54,71.0,,,,,,,1.4735395540195435,1.0,5.7508881068292,1.2519162430062787,1.0,4.193496631873102,9
55,72.0,,,,,,,3.8128347654779136,1.0,14.127128258561452,3.4937732791653184,1.0,8.462800492201076,9
56,73.0,,,,,,,7.124242499203417,1.0,17.23445537994141,6.278627680862891,1.0,13.488601116777845,9
57,74.0,1081.5603394465732,559.6071851996015,3548.780793490004,1234.3971250924092,227.93716823907727,15834.865177416872,10.139249444506724,1.0,23.96341536214282,10.8184019803773,1.0,24.260511548302162,9
58,75.0,663.9682327309521,285.1095750739419,1375.0032761729933,708.9479492173793,282.4460070091015,3222.24706899214,5.55280400322283,1.0,16.896806629108436,6.172684198401919,1.0,16.771438269655796,9
59,76.0,659.4791788741188,440.2035620551534,1095.3908289105143,576.0862820958687,387.65160464533847,909.4386005614208,1.656737820675343,1.0,10.06448793146162,2.3889959964074747,1.0,9.025985979002314,9
60,77.0,935.0637717630664,531.1361432828779,1593.7066571814362,876.6564228183248,618.3430644244534,1286.367440874888,3.4077660170771265,1.0,9.859069940098918,3.1870227010210943,1.0,9.403962470804936,9
61,78.0,1191.7708515497748,728.3698828775252,1784.8943853811531,1199.6614535658362,865.5957461316068,1677.054601858089,1.8282701210401333,1.0,8.46933526028299,2.0215602559632972,1.0,8.404183439877643,9
62,79.0,1299.4268110005878,802.3348872646965,1911.8475064817335,1351.7324183611931,1001.0370428629981,1838.9463572718319,1.0,1.0,3.3144444572289844,1.0,1.0,4.161170750709536,9
63,80.0,1413.031653712894,946.7039282742148,2019.6545612930145,1439.5696026749192,1101.8975658431718,1914.9575974856455,1.0,1.0,2.2253891389367277,1.0,1.0,2.4556135238335273,9
64,81.0,1482.141479841212,1067.9715314402529,2121.709403538589,1361.3955591838526,1109.4965393572156,1764.3536694856339,1.0,1.0,1.990056669049673,1.0,1.0,2.735899831354262,9
65,82.0,1602.3823515243175,1236.472868511903,2177.1771829536397,1314.432111720981,1109.3984803801186,1662.3647227673314,1.0,1.0,6.235040012834444,1.0,1.0,7.460025832233663,9
66,83.0,1786.798847036383,1408.2991883899997,2301.6571338384065,1344.5240289681296,1118.0171884394663,1795.4292089554115,1.4049179898771706,1.0,5.547302352279601,1.8975158994846515,1.0,7.503422049911519,9
67,84.0,1981.8179656112516,1580.9844490464702,2536.5816155587813,1525.0438182742564,1279.7029187569792,1792.4522747230237,1.0,1.0,5.753926683276372,1.0,1.0,6.856732312377521,9
68,85.0,2152.3868174789914,1743.610638300126,2673.450737930725,1641.8748039221518,1350.5873605029883,1914.8862014162087,1.0,1.0,3.6061024254701213,1.0,1.0,5.066352143865411,9
69,86.0,2522.5337385101975,2003.3757431050003,3204.72428876051,1958.066747122246,1672.2574454067394,2177.765738945439,1.0,1.0,3.6408343330523474,1.0,1.0,4.4017978032646425,9
70,87.0,2872.2540523885737,2273.4129693132268,3617.604363768164,2209.8652241804966,1847.4665298653115,2613.099541064014,1.0,1.0,2.798147610880306,1.0,1.0,2.8931499486882526,9
71,88.0,3420.6806761871394,2660.2038324262867,4366.609214870842,2790.5471853855674,2375.237728028209,3383.0873719502633,1.0,1.0,2.9838454210416367,1.0,1.0,3.0750974184159863,9
72,89.0,4008.555763906018,3035.706329128721,5284.478254360925,3399.5889614916514,2932.955665875226,3910.3087700808314,1.0,1.0,3.666836081134729,1.0,1.0,3.9283372102338285,9
73,90.0,4561.393016945694,3254.3787461861575,6320.798027164947,4085.288825510751,3450.3430719741855,4984.819097605208,1.0000000012581602,1.0,1.8912362337908126,1.0,1.0,1.2024813217092398,9
74,91.0,4591.753658264963,3248.3213021451375,6579.936724526448,4542.784829778753,3776.417571636162,5583.552182928548,1.0000056622687727,1.0,2.105749429379487,1.0,1.0,1.7829965314440055,9
75,92.0,5141.20070184778,3550.0240378298413,6932.396576400328,5054.676206661312,3989.6758266171278,6416.980718548483,1.0873898037571033,1.0,2.098701444941055,1.0,1.0,2.2562431010666044,9
76,93.0,6106.036036594869,3974.3594414888676,9471.53454243849,5486.044356437991,4559.44762258113,6842.912394657291,1.4757779945587233,1.0,3.2081281177514507,1.2142865004909738,1.0,3.2366705780571894,9
77,94.0,5892.617900264829,4114.756796082509,8942.658343417752,5169.361366256917,4412.096699413389,6172.205883280726,1.4662746172931107,1.0,2.9905756959178165,1.103541404570454,1.0,3.1870707257814996,9
78,95.0,5840.13174129951,4128.911083208704,8751.450239219164,4853.1232708130265,4250.035499466001,5666.364716452597,1.7219028314675888,1.0,3.7171264731920264,1.1666613980666165,1.0,3.833529267479265,9
