,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
0,71.0,,,,,,,1.679650440014083,1.0,6.346862499046235,1.1413368754122486,1.0,6.34685979445064,9,0.40365111561866124,,,,,,
1,72.0,,,,,,,1.541005121111091,1.0,6.772055910792119,1.5283635937774849,1.0,5.6842309087669705,9,0.4939550949913644,,,,,,
2,73.0,,,,,,,2.7053552802940146,1.0,7.878879030891038,2.7117517367118857,1.0,7.974546602856852,9,0.5227717923604309,,,,,,
3,74.0,,,,,,,2.3643821280266515,1.0,6.88556706455934,2.1798135092946183,1.0,6.797869435419691,9,0.5689860834990059,,,,,,
4,75.0,2411.455523334331,808.4271236630573,4888.446386069376,5709.585272471708,1278.2009750976656,83873.59703086076,4.813045327401355,1.0,12.551228251928658,4.717924419327814,1.0,12.063618879891337,9,0.64099226705459,3762.0664823542397,1261.2119758914466,7626.373417158638,8907.416775412443,1994.097340629552,130849.62384377359
5,76.0,2674.510604243839,1333.0360154497455,4795.493998580216,3090.7457482032305,1551.5708646135286,8171.296202939126,2.2930315446562206,1.0,9.66268798803101,2.0353538507967905,1.0,7.853170536679841,9,0.680221542049264,3931.8228531641266,1959.7086140991437,7049.900219468364,4543.7340000905,2280.9787234012038,12012.698360481108
6,77.0,3753.125714061583,1987.0217070307788,6629.754053563909,4388.554670735815,2548.791645193727,8439.600373510559,7.421270937064334,1.7144635866211595,28.377201036365083,7.4011102847428,1.010516943451355,28.12214573998404,9,0.7469686162624821,5024.475770937541,2660.114044647555,8875.545651082932,5875.152684050239,3412.180364346246,11298.467150787113
7,78.0,5590.375903275956,3192.633975170896,10219.324156257131,5994.6671650605895,3719.200236647842,13516.038958311949,2.3471021202171563,1.0,10.961710142087592,2.2043880626781727,1.0,9.795250986510396,9,0.7974387886597938,7010.413818308683,4003.610083397823,12815.183185949758,7517.401022259598,4663.93194002824,16949.312161034355
8,79.0,6764.852150079682,3528.347065620498,11717.857246027555,7284.1627671139395,4139.14644100038,16575.010477278272,1.3067871567956086,1.0,6.302750285988093,1.1048454890868502,1.0,5.739593185269543,9,0.8358682332588481,8093.204025358351,4221.176167760708,14018.785234058321,8714.486897910632,4951.912605725964,19829.693027878708
9,80.0,5777.90580840015,3100.530698001863,10438.997186539023,6735.44383154461,4598.959070410909,12205.794257025958,1.0000059576560894,1.0,3.056329239863924,1.0,1.0,3.212316132666519,9,0.8697538516026209,6643.150585368146,3564.836984957044,12002.243125803901,7744.080487983795,5287.655883255707,14033.619091810157
