,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
4,22.0,,,,,,,1.0,1.0,1.9736798452312858,1.0,1.0,1.0,9
5,23.0,,,,,,,1.0,1.0,1.4154997935737974,1.0,1.0,2.954002608291195,9
6,24.0,,,,,,,1.0,1.0,18.492443240748294,1.0,1.0,1.7321899861843961,9
7,25.0,,,,,,,1.0,1.0,13.080916804739243,1.0,1.0,10.478442024204027,9
8,26.0,,,,,,,1.0,1.0,10.225408376498894,1.0,1.0,8.936900759650227,9
9,27.0,,,,,,,1.0,1.0,14.367347824148727,1.0,1.0,9.572348237029502,9
10,28.0,,,,,,,1.5410122483293434,1.0,6.171810608306041,1.0,1.0,5.40043694278912,9
11,29.0,475.26162650122336,130.93396756345433,1155.4845448167346,496.9708702232882,260.98453771403285,8941.426977410365,1.0,1.0,6.670784388503338,1.0,1.0,3.3295500682452364,9
12,30.0,358.8516645082059,113.79173994141318,1118.32993481473,1738.3001610561241,79.67382221946971,3142.1113542894377,1.968191048272738,1.0,9.437400304208362,1.0,1.0,6.814898280532736,9
13,31.0,177.97718974269426,53.82720481203351,542.8955362503526,387.8742757791037,66.11325603731976,4160.353675097339,1.0,1.0,4.6465495724907235,1.0,1.0,1.8233452291148928,9
14,32.0,335.8110321760683,83.03104598092423,854.3793586242466,,,,1.926781789317365,1.0,10.693864150742494,1.0,1.0,6.214472676842532,9
15,33.0,164.76011074171836,45.96828403172121,497.20601446802937,218.06522857698212,59.454319766032995,2305.3027515662575,1.0,1.0,8.06155018847829,1.0,1.0,6.425483519918157,9
16,34.0,455.219670042676,159.07625704531307,1112.8067640798088,377.60763776092256,251.47691420027675,1925.2687009284455,2.366214968784385,1.0,14.645335797832617,1.0,1.0,8.7479234242694,9
17,35.0,,,,,,,3.7270985228623044,1.0,19.976339624170194,1.4145024476011976,1.0,17.004526845491586,9
18,36.0,,,,,,,1.0,1.0,9.384776078186736,1.0,1.0,7.312773365360349,9
19,37.0,306.48862908498677,90.45225089514295,683.4485511187241,804.2083334796528,267.11732599504046,4169.129941304743,1.0,1.0,11.129680143458781,1.0,1.0,8.108109941982683,9
20,38.0,266.47238666558314,75.55500298971958,727.6762867735455,563.2195720710007,362.2735146141727,909.5224901983172,1.0,1.0,4.770207631760494,1.0,1.0,3.6688658236783653,9
21,39.0,521.7659964443454,138.8784324957974,1151.1449884291942,290.8995834684913,136.45291888957996,2835.7179982703888,1.1462256750615518,1.0,9.123931149619978,1.0,1.0,6.7606024461659695,9
22,40.0,423.8817367767333,121.6842268178302,1213.4277065073695,1426.446238831905,352.83104450165195,2123.855157506157,3.049891153683588,1.0,11.646616883563913,1.799433267779836,1.0,10.026893969733594,9
23,41.0,316.9168324979848,104.87596295471334,865.1927015799505,411.99818651996503,151.66222399575702,3391.837374139017,1.6942407445800245,1.0,10.347039815016993,1.0,1.0,6.263002647074965,9
24,42.0,340.3797465849678,111.86234921933844,1048.0406502630212,714.5328056177922,317.3632936804112,50213.17118198782,1.0,1.0,2.837691607575911,1.0,1.0,1.795099659512726,9
25,43.0,498.6333079731109,151.44722561741872,1223.5550519602252,995.665207467715,235.45890157794793,25726.330511786415,1.3907361591964773,1.0,8.803934904789726,1.0,1.0,7.915750865709082,9
26,44.0,,,,,,,1.0,1.0,4.385901191569079,1.0,1.0,2.9377009326430907,9
27,45.0,,,,,,,1.1546324176745648,1.0,6.466864347559497,1.0,1.0,4.978769888064711,9
28,46.0,446.38245472461705,515.7511065360653,1545.780326272227,,,,1.0,1.0,2.8060396638700342,1.0,1.0,2.359017900698934,9
29,47.0,656.3368905933794,209.47589342507987,2395.4965870785413,,,,1.5745857389934104,1.0,8.016640390276645,1.0,1.0,4.613338006778479,9
30,48.0,,,,,,,1.0,1.0,2.4533170406538236,1.0,1.0,1.7870654567096056,9
31,49.0,,,,,,,1.0,1.0,4.345319739894457,1.0,1.0,3.7488053833897594,9
32,50.0,,,,,,,1.0,1.0,3.8504619124120825,1.0,1.0,2.4676193671855393,9
33,51.0,,,,,,,1.0,1.0,3.968380849656945,1.0,1.0,2.5092007245963224,9
