,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
0,17.0,20.0,23.0,0,,,,,,,,,,,,,,,,,,,7
1,17.0,20.0,23.0,1,,,,,,,,,,,,,,,,,,,7
2,17.0,20.0,23.0,2,,,,,,,,,,,,,,,,,,,7
3,17.0,20.0,23.0,3,,,,,,,,,,,,,,,,,,,7
4,17.0,20.0,23.0,4,,,,,,,,,,,,,,,,,,,7
5,17.0,20.0,23.0,5,,,,,,,,,,,,,,,,,,,7
6,17.0,20.0,23.0,6,,,,,,,,,,,,,,,,,,,7
7,17.0,20.0,23.0,7,,,,,,,,,,,,,,,,,,,7
8,17.0,20.0,23.0,8,,,,,,,,,,,,,,,,,,,7
9,17.0,20.0,23.0,9,,,,,,,,,,,,,,,,,,,7
10,17.0,20.0,23.0,10,,,,,,,,,,,,,,,,,,,7
11,17.0,20.0,23.0,11,,,,,,,,,,,,,,,,,,,7
12,17.0,20.0,23.0,12,,,,,,,,,,,,,,,,,,,7
13,17.0,20.0,23.0,13,,,,,,,,,,,,,,,,,,,7
14,17.0,20.0,23.0,14,,,,,,,,,,,,,,,,,,,7
15,17.0,20.0,23.0,15,,,,,,,,,,,,,,,,,,,7
16,17.0,20.0,23.0,16,,,,,,,,,,,,,,,,,,,7
17,17.0,20.0,23.0,17,,,,,,,,,,,,,,,,,,,7
18,17.0,20.0,23.0,18,,,,,,,,,,,,,,,,,,,7
19,17.0,20.0,23.0,19,,,,,,,,,,,,,,,,,,,7
20,18.0,21.0,24.0,0,,,,,,,,,,,,,,,,,,,7
21,18.0,21.0,24.0,1,,,,,,,,,,,,,,,,,,,7
22,18.0,21.0,24.0,2,,,,,,,,,,,,,,,,,,,7
23,18.0,21.0,24.0,3,,,,,,,,,,,,,,,,,,,7
24,18.0,21.0,24.0,4,,,,,,,,,,,,,,,,,,,7
25,18.0,21.0,24.0,5,,,,,,,,,,,,,,,,,,,7
26,18.0,21.0,24.0,6,,,,,,,,,,,,,,,,,,,7
27,18.0,21.0,24.0,7,,,,,,,,,,,,,,,,,,,7
28,18.0,21.0,24.0,8,,,,,,,,,,,,,,,,,,,7
29,18.0,21.0,24.0,9,,,,,,,,,,,,,,,,,,,7
30,18.0,21.0,24.0,10,,,,,,,,,,,,,,,,,,,7
31,18.0,21.0,24.0,11,,,,,,,,,,,,,,,,,,,7
32,18.0,21.0,24.0,12,,,,,,,,,,,,,,,,,,,7
33,18.0,21.0,24.0,13,,,,,,,,,,,,,,,,,,,7
34,18.0,21.0,24.0,14,,,,,,,,,,,,,,,,,,,7
35,18.0,21.0,24.0,15,,,,,,,,,,,,,,,,,,,7
36,18.0,21.0,24.0,16,,,,,,,,,,,,,,,,,,,7
37,18.0,21.0,24.0,17,,,,,,,,,,,,,,,,,,,7
38,18.0,21.0,24.0,18,,,,,,,,,,,,,,,,,,,7
39,18.0,21.0,24.0,19,,,,,,,,,,,,,,,,,,,7
40,19.0,22.0,25.0,0,1.0,1.6072085647524197,1.0,3.2672303599300534,1.9965224662171905,1.0,1.0,108.85521107805847,1.0,1.105240347559142,1.0,4.060109712018628,3.519776009129999,1.0,1.0,139.92025088809277,82.55294802397474,271.6485896515408,7
41,19.0,22.0,25.0,1,1.5311699998333412,4.945760047236559,1.0,3.6380661646320327,1.0,1.0,1.0,214.66295876797548,1.0,3.067642781953558,1.0,5.48259208937006,1.0632354611541628,1.0,1.0,229.25886209372644,135.2627286352986,445.0953036289741,7
42,19.0,22.0,25.0,2,1.0,6.060778249420392,1.2230833804567003,3.7940641857056967,1.6396067132427192,1.0,1.0,127.19304545710263,1.0,5.025571042288739,1.165081790936905,4.607734290477277,1.8482296447666353,1.0,1.0,171.3969416369759,101.12419556581577,332.75910506700063,7
43,19.0,22.0,25.0,3,1.0,5.9604340034925505,1.0,4.347829670729988,1.0,1.0,1.0,130.72122936132533,1.0,3.911934043606928,1.0,6.460096613770596,1.0,1.0,1.0,168.95743726932753,99.68488798890326,328.0229220147671,7
44,19.0,22.0,25.0,4,1.0,1.7032206369337446,1.0,3.534000544983357,2.56412783530146,1.0,1.0,209.34944704405692,1.0,1.4517398284971212,1.0,3.647642040747031,2.4191235797603516,1.0,1.0,243.49107398568918,143.65973365155665,472.72647398161797,7
45,19.0,22.0,25.0,5,1.0,4.816875819876194,1.0,2.849774307319007,1.0,1.0,1.0,174.2426507054759,1.0,3.6339495667113124,1.0,3.7955576384558167,1.0,1.0,1.0,238.14334088378075,140.50457112143062,462.34410155342573,7
46,19.0,22.0,25.0,6,4.189155549955388,5.848443054392938,1.0,4.172557192639105,1.0,1.0,1.0,187.36830747069484,3.9531950982361863,5.423244701591927,1.483249566466519,5.409236331527206,1.0,1.0,1.0,253.50161958155573,100.7996656836403,492.1614776747896,7
47,19.0,22.0,25.0,7,1.0,4.900270582421134,1.0,3.673452727199325,1.0,1.0,1.0,125.94548755807254,1.0,3.3358698788867027,1.0,4.604138829278568,1.2114916336466945,1.0,1.0,158.5628988881873,93.55211034403051,307.8424143799295,7
48,19.0,22.0,25.0,8,1.0,6.121958997905636,1.0,4.254765613524767,1.2506893345795538,1.0,1.0,162.35170294282625,1.0,4.663694740232832,1.0,4.436034272729919,1.959737203736262,1.0,1.0,207.29567182395525,122.3044463761336,402.45480217787554,7
49,19.0,22.0,25.0,9,1.0,6.415327961026769,1.5123224805483768,4.4037891490606285,3.148696106477861,1.0,1.0,171.63814147739996,1.0,5.254921358312701,1.5880442069060332,5.479033325755954,3.5048570496253886,1.0,1.0,219.55341685070545,129.53651594191624,426.2526379285278,7
50,19.0,22.0,25.0,10,1.0,3.384297799796177,1.0,3.4662909489051503,1.7089154425854156,1.0,1.0,139.05613029346424,1.0,2.837827970954089,1.0,4.4336618584476195,2.3123158597042024,1.0,1.0,195.3207554338185,115.23924570595291,379.2060649298451,7
51,19.0,22.0,25.0,11,1.0,2.5507021588584258,1.0,2.384355877584477,1.0,2.7353939987333784,1.0,117.90032166721836,1.0,1.7538321853122545,1.0,3.100931732183415,2.2151707443370556,3.2646391480021144,1.0,145.83467462423172,98.55058589029812,236.59962088742213,7
52,19.0,22.0,25.0,12,5.57277494036214,5.896267417531717,1.1972930215365742,3.470215973267578,1.0,1.0,1.0,181.3712399641045,4.3131990523124175,3.249803157048109,1.0,5.440162954439126,2.2431097892557053,1.0,1.0,195.22421990421162,29.40343070843352,409.8197353544275,7
53,19.0,22.0,25.0,13,1.8711389785499033,5.208650691261538,1.0,2.9269867948897565,1.6141089595904858,1.0,1.0,122.30796315081817,1.6059517853144645,3.9124415787197386,1.0,3.728517409533384,2.116066816157089,1.0,1.0,159.33198420821753,92.01422088024565,302.78183793926985,7
54,19.0,22.0,25.0,14,1.0,6.284400293193456,1.5826346442948849,4.330467802723731,1.0,1.0,1.0,131.88924867433064,1.0,4.649781112217367,1.5491927464337665,5.455478102725034,1.4916681666187395,1.0,1.0,168.61094528460634,99.48045771791773,342.85308742193934,7
