,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
0,17.0,21.0,25.0,0,,,,,,,,,,,,,,,,,,,,,,,9
1,17.0,21.0,25.0,1,,,,,,,,,,,,,,,,,,,,,,,9
2,17.0,21.0,25.0,2,,,,,,,,,,,,,,,,,,,,,,,9
3,17.0,21.0,25.0,3,,,,,,,,,,,,,,,,,,,,,,,9
4,17.0,21.0,25.0,4,,,,,,,,,,,,,,,,,,,,,,,9
5,17.0,21.0,25.0,5,,,,,,,,,,,,,,,,,,,,,,,9
6,17.0,21.0,25.0,6,,,,,,,,,,,,,,,,,,,,,,,9
7,17.0,21.0,25.0,7,,,,,,,,,,,,,,,,,,,,,,,9
8,17.0,21.0,25.0,8,,,,,,,,,,,,,,,,,,,,,,,9
9,17.0,21.0,25.0,9,,,,,,,,,,,,,,,,,,,,,,,9
10,17.0,21.0,25.0,10,,,,,,,,,,,,,,,,,,,,,,,9
11,17.0,21.0,25.0,11,,,,,,,,,,,,,,,,,,,,,,,9
12,17.0,21.0,25.0,12,,,,,,,,,,,,,,,,,,,,,,,9
13,17.0,21.0,25.0,13,,,,,,,,,,,,,,,,,,,,,,,9
14,17.0,21.0,25.0,14,,,,,,,,,,,,,,,,,,,,,,,9
15,17.0,21.0,25.0,15,,,,,,,,,,,,,,,,,,,,,,,9
16,17.0,21.0,25.0,16,,,,,,,,,,,,,,,,,,,,,,,9
17,17.0,21.0,25.0,17,,,,,,,,,,,,,,,,,,,,,,,9
18,17.0,21.0,25.0,18,,,,,,,,,,,,,,,,,,,,,,,9
19,17.0,21.0,25.0,19,,,,,,,,,,,,,,,,,,,,,,,9
20,18.0,22.0,26.0,0,3.364787997028642,1.0,3.2741774598674307,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,5.131531173559556,1.0,8.047872500611405,2.336759054743354,1.0,1.0,1.0,3.0986235385790892,1.0,1005.5826026020745,7129.32925679806,8713.624647197628,9
21,18.0,22.0,26.0,1,3.279506614061727,7.15446134292718,2.8561713816914813,1.0,1.0,1.0,8.54198369898445,1.0,1.0,10000000.000000006,4.401455813675022,1.6193991958582217,6.358113925512869,1.7465761748433446,1.0,1.0,6.358114224609209,1.0589676354344035,1.0,424.78222951362267,3011.5998116942064,3680.8442142929193,9
22,18.0,22.0,26.0,2,3.756795085897282,3.292456948132413,1.0,2.1421736945793164,1.0,1.4229414705174976,1.0,1.0,1.0,872.4400930379503,4.14715262481409,1.0,7.069279699144812,2.918443881794324,1.5212353651485697,1.0,1.0,2.7003024907430926,1.0,697.2234671763298,172.9578997167854,1353.6265860607123,9
23,18.0,22.0,26.0,3,1.7197800945409614,1.0,1.6486096240988721,1.0,7.291363147721808,1.0,1.0,1.0,2.1787759439638767,1632.903997266213,2.636426303797692,1.0,5.19803827681771,1.0,4.701742671059675,1.0,1.0,3.511215493180453,1.0,411.4642636268031,122.51891659068053,1122.500752913832,9
24,18.0,22.0,26.0,4,1.5402758715702716,4.105462324808791,2.459216677116489,1.0,1.0,1.0,1.0,2.3508455000578574,1.0,10000000.000000006,2.782107881689312,1.0,7.1395311536391555,1.283760073138735,1.653420144239724,1.0,1.0,1.0,1.0,424.2857586330047,116.23105938894992,823.7308553289489,9
25,18.0,22.0,26.0,5,1.4699782749482788,1.0,2.13866883393158,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,2.945138366555528,1.0,6.436345675336587,1.3859149918489153,1.061944613954898,1.0,1.0,1.0000000043009933,1.0,432.1313839259399,3063.7034791889328,3744.526474564251,9
26,18.0,22.0,26.0,6,6.681384586364794,1.0,1.0,2.0008502644239194,7.231762397973762,1.0,1.0,1.0,1.0,201.2548579332712,3.3208085405169725,1.0,4.7537769535990435,1.9999370652788355,3.657535223495707,1.1974599448465968,1.0,1.0,1.0,251.8501511313373,26.366261815271276,2696.7402103863287,9
