,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
2,19.0,,,,,,,1.2336934467083736,1.0,6.3224776029618,1.7119615137711488,1.0,6.1434608563191375,9
3,20.0,,,,,,,1.579027441181161,1.0,8.282396073391652,1.544454564612899,1.0,8.62779720589757,9
4,21.0,,,,,,,1.1718093464308346,1.0,5.913386372400369,1.0612722800378702,1.0,4.345522997624648,9
5,22.0,,,,,,,4.795964011992668,1.133991912411917,9.855517260462705,2.4736659696277425,1.0,7.958776490778439,9
6,23.0,499.5865341458357,157.41334051143994,1047.5761342581695,569.6972545093491,182.20549251055456,2276.6224711605437,2.216184072635983,1.0,6.082910142673793,1.3781924642650984,1.0,5.433880889876719,9
7,24.0,917.5637730785226,257.56882636513353,2231.6049893771487,1913.4036310609872,214.4773791829065,12913.396984471066,1.0,1.0,15.288164190061849,1.0,1.0,16.396576370236975,9
8,25.0,,,,,,,1.0,1.0,6.606173840977947,1.0,1.0,7.098812979471145,9
9,26.0,,,,,,,1.1467065829268046,1.0,6.387795955131526,1.292634595706545,1.0,7.882752603008216,9
10,27.0,346.6127434717019,124.07345087267149,658.6753064242695,557.9315796407504,183.1884834452557,8709.69878875962,2.8635841533787687,1.0,12.2826089864513,2.9994675125639256,1.0,12.105698620214705,9
11,28.0,378.5071173424176,180.8265742577069,724.5206893788127,362.2526924881509,199.2067159936223,779.6622450011446,4.049662266970297,1.0,10.185689000481007,3.321998688254661,1.0,8.609526791531309,9
12,29.0,325.0467777765796,180.15671385641866,607.0011801939966,381.3710925193224,225.03348383030013,843.3028522873304,4.831598004301104,1.0,14.564401642123613,4.35616394285846,1.0,13.303630310664028,9
13,30.0,329.2425418779882,117.59840509904755,621.9319045310792,449.05829435072314,224.73253377606324,1288.555149065031,2.8404255995584693,1.0,8.454568494023722,3.398401267606969,1.0,8.241723431507612,9
14,31.0,298.0584835997863,125.16217819460616,531.2760818109416,523.2864091936449,240.13289868973172,2487.967441130377,3.2570412645641627,1.0,9.929450333672852,2.798385417988132,1.0,9.854527402906474,9
15,32.0,506.3237930440338,139.54833985192536,982.4748832984404,904.8450713984831,171.51559453413162,16438.174434865537,1.0,1.0,6.655575982509226,1.2397386455368817,1.0,5.531712697460574,9
16,33.0,252.55815155192488,145.21549233194526,455.5832748020389,241.4107508182626,146.34366038776014,516.5131758042015,2.9256140742013033,1.0,14.129596274375867,2.5343226131225496,1.0,13.660359652938338,9
17,34.0,225.48370261885114,131.46947236670286,431.3111410249063,180.15849174301565,118.17022294069328,579.5896834820867,8.659040625008469,1.3815120036856592,19.34603136065008,7.545264858275186,1.0,18.561759529492665,9
18,35.0,295.2561994287706,165.40356306901637,538.8611816525014,290.39903317652795,170.96426317960163,928.5899456953999,1.5723364557334292,1.0,9.706324463711226,2.6324407381142647,1.0,9.584102530448915,9
19,36.0,305.15956645237907,162.69891927854582,548.7554036264659,281.2457665113212,190.8943242443502,758.1963739666264,4.854163905988473,1.0,14.28742433383124,4.59919304202165,1.0,14.945815619269208,9
20,37.0,558.5599400408662,236.99339713433926,943.7889099347046,818.9989875333445,456.7533175359384,1250.9035529874432,1.1342154498708261,1.0,9.395281579894538,1.0,1.0,10.527551154167375,9
21,38.0,915.3715488211908,371.32793039518856,1771.2515809704566,1195.2691463839594,686.7306143010169,2103.8309247513625,2.981728303208733,1.0,5.93519540411422,3.23924331385058,1.0,6.745557785437958,9
22,39.0,1836.323374917216,916.8340023831001,5118.8244735523,2172.194904556786,1133.1130169720407,6356.233353317547,1.0,1.0,3.9005393899180905,1.0047041331108812,1.0,3.7896691550865924,9
23,40.0,3057.1890750975804,1027.801861738743,5096.624818252623,3796.063617380312,1729.239063688835,19785.895370777907,21.659806261683144,15.49449241647158,31.79299758816178,21.593407806916645,15.464388528057702,31.81468704486802,9
24,41.0,2876.3601394985744,1542.986360818543,5449.427660516523,2948.090087125537,1621.3470131244737,6807.781816352711,1.9562970763071426,1.0,3.8478804257942114,1.3796125582025975,1.0,3.57274212727612,9
25,42.0,2849.2019677179187,1205.5334028603418,5251.009066073444,2772.8070444675477,1545.941512873496,8222.445907983985,2.8370450337268407,1.0,5.939301082566363,2.0682905348453757,1.0,5.642792123169878,9
26,43.0,2534.895426704983,995.1217295873672,4966.268156591621,2089.5476935310567,1371.8518975733346,5199.755679231715,1.2977659775357275,1.0,3.7571417198299906,1.0279115188094647,1.0,3.565735989519926,9
27,44.0,1997.6265047859079,775.4067809244627,3797.1126746462287,1740.5897375535963,1159.320231453953,2701.779109317786,2.653703366488779,1.0,6.071185910644762,2.5012184552613466,1.0,5.612227927525081,9
28,45.0,7802.284728125631,5486.5592883728905,22647.484458725514,5160.291378117999,2638.5826640336522,36450.13434930358,2.324549920003771,1.0,13.401710060977987,1.0,1.0,13.21883090852287,9
29,46.0,1635.8839101851067,825.5600773991241,3110.847307129923,1971.6210882447435,1092.812042255494,8657.218956589977,2.10643366051767,1.0,7.151604391253572,1.6306160495505542,1.0,6.957661931569027,9
30,47.0,1576.1076319545186,800.7991306819729,2886.5013727073338,2571.5224350978324,1238.9037788923822,15870.683190617967,3.2579471191080804,1.0,9.483581343772027,2.7272457812740205,1.0,9.473769814461928,9
31,48.0,3245.776523060006,968.3843037967284,9206.766647769207,5075.449636107522,1189.2987808036523,19535.87013636515,1.2488530910062028,1.0,5.449950048634099,1.0374409673658556,1.0,5.739224577683504,9
32,49.0,3519.719182832757,981.2672588469674,8543.626386802825,3483.572027912056,1018.1664589012205,20470.2664577373,1.0000542620527393,1.0,3.1104794473766386,1.0,1.0,2.790462878940761,9
33,50.0,3165.5479354971935,1273.3697066709656,8074.0475259705945,4584.252606544025,1354.5751293940507,56991.450392994666,1.0,1.0,2.849704974310323,1.0,1.0,2.3732724916870827,9
34,51.0,3383.6890309944997,1010.0121272180932,8559.865179471675,6170.588939352507,689.9409961989742,20685.94231082252,1.0,1.0,2.14067048965903,1.0,1.0,1.7205923823470322,9
35,52.0,1644.8828983536,804.2880635337707,4857.354115948693,807.1496648135263,260.085774471053,12748.785694881488,1.0,1.0,2.859540249582261,1.0,1.0,2.399354142356389,9
36,53.0,,,,,,,1.0,1.0,3.486013131038506,1.0,1.0,3.2126231435482278,9
37,54.0,,,,,,,1.0922188351848898,1.0,4.628996288798091,1.0,1.0,4.036613632519764,9
38,55.0,,,,,,,7.907833828220022,2.3248393466722628,15.161790430903064,6.731179243447215,1.0,14.29174599996991,9
39,56.0,,,,,,,3.53246594455251,1.0,10.618388949018161,1.4746620772105872,1.0,7.543771119505985,9
