,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t
2,19.0,,,,,,,1.0,1.0,5.460167815508913,1.5200686549482256,1.0,5.7952026388715305,9,1
3,20.0,,,,,,,4.157675149861918,1.0,16.353031836992873,4.620966138306558,1.0,13.190334474593255,9,1
4,21.0,,,,,,,2.204777343191247,1.0,7.547641834659176,1.8258903679407046,1.0,7.342073114990865,9,1
5,22.0,,,,,,,4.194010525708605,1.0,11.983429858074938,3.01790587935887,1.0,8.512321179339882,9,1
6,23.0,253.14211958455138,133.76177779814023,485.85329441220745,223.27044502763664,135.65702135622007,763.3839343592348,1.394189572886956,1.0,5.49246478457817,1.0,1.0,5.267203506089291,9,1
7,24.0,917.8597215753985,360.6910711127361,2069.7736721525234,762.3329795807069,183.0439798949234,17966.673670887045,1.0,1.0,11.842758786506726,1.0,1.0,10.772612357577493,9,1
8,25.0,856.9548453264848,231.73321373833102,1868.187776849109,865.186738177819,234.4918402916621,11633.040513770582,1.0,1.0,3.043382104079094,1.0,1.0,3.395094164332718,9,1
9,26.0,934.5630981515285,352.02721550569487,2420.5428408331945,1677.8250811077905,295.30165056730823,3690.3873999162306,1.1505891162193338,1.0,5.737801945455537,1.0,1.0,6.316674381990051,9,1
10,27.0,429.7429092118662,181.21929835148325,839.7706697603708,407.3109283874808,218.0576845850932,2035.4906163865317,1.7707556753925746,1.0,7.461158098978371,1.658094285739823,1.0,8.85136589008685,9,1
11,28.0,310.7762408649374,186.2779415182922,570.6730189550492,273.1695069469606,199.5261073070302,372.5404588905634,4.527002410085776,1.0,10.340754955610116,4.062477152342179,1.0,10.059271461746054,9,1
12,29.0,288.6858790411214,170.87115840279176,528.6572925900238,288.5229092352739,220.86068225544727,516.8238460148727,2.9348725982273205,1.0,21.953519095156413,2.933617703434215,1.0,21.757086136166123,9,1
13,30.0,212.1421383350049,118.92992533353654,388.2353840178911,318.8611055237603,190.16316096594534,1192.7375084469743,2.0135005645756037,1.0,6.930067425006187,2.7701038859920275,1.0,7.592603606223599,9,1
14,31.0,162.65759119407622,87.31593148678394,298.7268730154915,287.74505017001184,153.48811643839565,604.5942359798894,2.5919287453190276,1.0,7.390257896002093,3.0397568201602017,1.0,10.284009804990102,9,1
15,32.0,195.87419662540583,104.1269020260004,369.5655890409497,229.81791180611094,90.22521659605106,3393.184275009891,2.2366509151073,1.0,10.514656917263636,2.9782618040957534,1.0,11.392969095274736,9,1
16,33.0,161.29235243033966,95.47742873199144,290.8243600283274,155.0910925813812,114.63508684346583,231.8449057996728,2.27412589408942,1.0,16.343334659554063,2.672769705355231,1.0,16.668934445029397,9,1
17,34.0,155.35216477070188,91.46463847238769,291.64168039273966,125.56242955741766,89.8438896621895,186.94654509733144,9.931356812495714,2.1890340356272113,20.558723656857694,9.4901285274339,1.0,19.831102915888394,9,1
18,35.0,194.04433547312897,109.40962890181282,356.54130040452293,216.71593699518945,146.69245406868427,375.34223132750316,1.4155749337617956,1.0,12.468993392575268,3.975880145518434,1.0,14.924219261479257,9,1
