,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
11,29.0,,,,,,,1.0,1.0,5.7507768952319225,1.0,1.0,5.5199883230231395,9
12,30.0,,,,,,,1.563949069063301,1.0,10.438896501953884,1.0,1.0,9.007524575650603,9
13,31.0,,,,,,,1.0,1.0,7.169610699946744,1.0,1.0,5.154150197288706,9
14,32.0,,,,,,,1.0,1.0,3.2030714360156356,1.0,1.0,2.4422742890770426,9
15,33.0,274.9469841299357,86.07010297665596,730.5589450393774,781.4089521769961,145.39737827127306,12296.398856019498,1.0,1.0,5.903564009287468,1.0,1.0,5.624500101122476,9
16,34.0,478.6768189790817,137.59984779138432,1177.2431422151772,391.1588899937683,188.5322173270828,23135.471248348433,1.0029971110456177,1.0,8.21658991262941,1.0,1.0,8.565886553695341,9
17,35.0,407.12055384212465,129.7556066600158,1075.5480663564927,914.8599513143575,252.74788512537205,2294.762460755379,1.0,1.0,5.603310549785691,1.0026234513575303,1.0,6.1588591777126735,9
18,36.0,,,,,,,1.0,1.0,6.187169904274575,1.0,1.0,5.060249126245569,9
19,37.0,375.0083451766972,108.84633523559827,956.1596618989632,576.218429261998,155.82876539001194,8333.441503158227,1.342380976528144,1.0,7.262349295857752,1.0,1.0,6.567259125563809,9
20,38.0,364.8237441869444,141.86868155991255,703.6889403921984,470.70645007592975,200.22318655823807,1205.8406924209542,1.7556897150490243,1.0,5.522185974794394,1.6682597077308206,1.0,5.40517262105153,9
21,39.0,537.4983057493596,180.37080538930502,980.6891948759842,710.2131533565214,332.79231130635145,5562.368878165895,1.7154038313806925,1.0,5.371146818704282,1.4928063302775199,1.0,4.763669110601019,9
22,40.0,1042.6757182182673,306.59707725447066,2390.8650404836726,1441.8003467510262,381.88931878016734,15565.925831785336,1.9031289651978853,1.0,4.6557472041089705,1.7454005179721048,1.0,4.634189093594907,9
23,41.0,845.978475354826,332.8397985104778,1808.5834719600884,910.3829700910812,413.5610913778429,5923.330745639256,1.5374887385958085,1.0,5.272778300669812,1.3061133759073151,1.0,4.572846027476081,9
24,42.0,1178.859310790868,338.99020306994737,2742.5143740769986,1627.3116149587686,525.4417893279065,14541.480960170098,1.0000000031248129,1.0,3.6681475307515434,1.0,1.0,3.358846350780928,9
25,43.0,1150.0614019801706,367.31581242799484,2344.020806338642,1155.2821107139432,470.35324377533243,11523.593023646665,1.0,1.0,2.870015750151279,1.0,1.0,2.9058176868125893,9
26,44.0,1453.4515217686917,413.84610110061254,3315.573104011917,1720.8968820435584,366.8549079079588,56992.02080386608,1.7880399691751565,1.0,4.551474163573512,1.5830013150687183,1.0,4.586256699483672,9
27,45.0,1654.6735289816706,503.4026005478852,3449.666064996416,12265.331931462151,12265.331931462151,12265.331931462151,1.4637041638788462,1.0,8.71714824140172,1.0,1.0,5.974731613441932,9
28,46.0,1082.389651118521,318.44243502482675,2400.0482300522635,1576.7959438639089,519.3442875888765,10073.427782788383,1.0292757343989611,1.0,6.047886943040046,1.0,1.0,4.708871406038199,9
29,47.0,1148.4187432546714,350.7692013324658,2630.1283284835654,1501.1508745973128,367.8661662947238,11968.996818046431,1.0,1.0,3.604587905462706,1.0,1.0,2.7971331134872286,9
30,48.0,1404.826350834925,462.66626707653984,3974.21772532352,2223.2498041544213,2223.2498041544213,2223.2498041544213,1.291321286685093,1.0,5.034143239355115,1.0,1.0,4.278567307214122,9
31,49.0,1771.3054471732187,500.98143042241384,3755.0111498763954,372.8366905705168,372.8366905705168,372.8366905705168,1.0,1.0,3.7835192457472195,1.0,1.0,3.720458626053502,9
32,50.0,,,,,,,1.0,1.0,3.3547143091795055,1.0,1.0,2.529676892896694,9
33,51.0,,,,,,,1.0,1.0,4.25003004092315,1.0,1.0,3.598601644696511,9
34,52.0,,,,,,,1.0,1.0,1.921936561485964,1.0,1.0,1.8395583444580077,9
35,53.0,,,,,,,1.0,1.0,3.152832529205983,1.0,1.0,3.393691707567267,9
