,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
0,19.0,23.0,27.0,0,,,,,,,,,,,,,,,,,,,,,,,9
1,19.0,23.0,27.0,1,,,,,,,,,,,,,,,,,,,,,,,9
2,19.0,23.0,27.0,2,,,,,,,,,,,,,,,,,,,,,,,9
3,19.0,23.0,27.0,3,3.5042376306123413,8.579842637399208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,5.091797417646479,7.3968910294097325,1.0,1.0,4.297832533019306,1.0,1.0,1.0,7.848120925971051,689.3470587872647,195.80107804399807,1743.5619806775069,9
4,19.0,23.0,27.0,4,3.167705866036643,1.0,1.0,1.0,5.190696537345756,1.0,1.0,1.0,1.0,10000000.000000006,2.5532813479190737,1.0,1.0,1.0,8.515538882340001,1.0,1.0,1.0,9.6768996312017,270.5929072820274,71.49058280687775,525.343409308654,9
5,19.0,23.0,27.0,5,2.4026471501142272,1.0,1.0,1.0,5.966516640546761,1.0,5.372135852761279,1.0,5.217380815441017,10000000.000000006,2.4271266758087617,1.0,1.0,1.0,8.153864753388904,1.0,3.8212679500500326,1.0,10.1609854422301,313.79868803621457,126.9079084233204,609.2254016019328,9
6,19.0,23.0,27.0,6,,,,,,,,,,,,,,,,,,,,,,,9
7,19.0,23.0,27.0,7,3.9722341669119534,5.792766550978327,1.0,1.0,1.214506512604446,1.0,1.0,1.0,5.9319874928450105,10000000.000000006,2.1454037427960118,1.0,1.0,1.0,7.546790121981811,1.0,1.0,1.0,10.019101226305533,180.0794342876842,106.24686622973366,669.2644479599463,9
8,19.0,23.0,27.0,8,3.277725348099001,4.1603086747626845,1.0,1.0,2.8614870849844154,1.0,1.0,1.0,1.680373443119647,10000000.000000006,4.496653730016015,4.369841937297772,1.0,1.0,5.684962974287137,1.0,1.0,1.0,6.483920632243469,360.13854382437125,74.54019414426776,595.4983165352344,9
9,19.0,23.0,27.0,9,,,,,,,,,,,,,,,,,,,,,,,9
10,19.0,23.0,27.0,10,2.6382698169808085,7.398537995623758,1.0,1.0,1.0,1.0,1.0,2.463863455739277,1.0,10000000.000000006,6.175279006208344,9.816624275498906,1.0,1.0,6.737552293867585,1.0,1.6970177087310236,2.45807285974447,4.783936405714629,100000000000.0,127307692307.6923,147818680304.16165,9
11,19.0,23.0,27.0,11,2.957517587649042,1.0,1.0,1.0,2.8579666718987102,1.0,1.0,1.0,1.0,10000000.000000006,3.004242188122426,1.0,1.0,1.0,5.706330554560539,1.0,1.0,2.12492933459447,5.57294370760496,325.65599951683083,84.36270969034034,921.2724724792806,9
12,19.0,23.0,27.0,12,,,,,,,,,,,,,,,,,,,,,,,9
13,19.0,23.0,27.0,13,4.211946268835209,3.1812289178998285,1.0,1.0,2.7953460427259365,1.0,1.0,1.0,1.0,10000000.000000006,2.22130917429501,1.1312247176280958,1.0,1.0,9.569613824013187,1.0,2.827276187905572,1.0,8.478995515213086,166.10047441909478,41.46807240034721,469.89398314509566,9
14,19.0,23.0,27.0,14,3.499329866351003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,3.1309862699164346,1.0,1.0,1.0,6.512980724229512,1.0,1.0,1.0,8.476218544796907,367.71851631775235,167.30278320993503,713.9082135177562,9
15,19.0,23.0,27.0,15,3.8721305263598063,3.648858381932503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,3.5091175875474896,2.3745847413377064,1.0,1.0,5.003941946016283,1.0,1.0,1.0,14.797114423025784,307.25980210214084,76.30598951979283,869.2301016904923,9
16,19.0,23.0,27.0,16,2.9942849654691606,5.009825408338608,1.0,1.0,4.545617578490062,1.0,1.0,1.0,8.268384561645668,10000000.000000006,1.8885073608471845,1.3118464630774094,1.0,1.0,7.84180140595246,1.0,1.0,1.0,13.775564022448785,140.09874679046155,52.957026827570274,271.9951310551568,9
17,19.0,23.0,27.0,17,,,,,,,,,,,,,,,,,,,,,,,9
18,19.0,23.0,27.0,18,2.6461246627437154,7.288482393673724,1.0,1.0,1.9137589579648306,1.0,1.0,1.0,1.0,10000000.000000006,7.276515466838463,9.03018972335125,1.0,1.0,3.831831805205646,1.0,1.0,1.3553391803863815,10.515687900062614,100000000000.0,708975000000.0,877398873291.0157,9
