,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
9,27.0,,,,,,,3.955834178911674,1.0,10.842000228995474,1.0,1.0,7.987866268225709,9
10,28.0,,,,,,,1.0213719214670132,1.0,6.581799684368196,1.0,1.0,4.397976461809381,9
11,29.0,,,,,,,1.0,1.0,8.513397728301552,1.0,1.0,6.45948155374291,9
12,30.0,,,,,,,1.0,1.0,2.928550419226877,1.0,1.0,2.6987711252911692,9
13,31.0,214.10444166413063,62.93194692291921,630.8166510064079,958.3910726892943,342.5720952749358,1574.2100501036527,1.0,1.0,4.886993085158598,1.0,1.0,2.5975031001740296,9
14,32.0,,,,,,,1.0,1.0,4.890048354656897,1.0,1.0,3.0951931459293927,9
15,33.0,165.70610080619656,62.401519917754726,429.85828899917647,489.0987143138306,69.14690387848508,1930.5434343217732,1.0,1.0,6.987413573085416,1.0,1.0,3.5045540105638615,9
16,34.0,,,,,,,1.9847061856280312,1.0,10.379582035763045,1.0,1.0,7.709705914187521,9
17,35.0,,,,,,,2.4348250160858322,1.0,10.125994639152731,1.9657871424090207,1.0,8.575144077144929,9
18,36.0,,,,,,,2.1480788705562546,1.0,7.985520486555493,1.646757981816287,1.0,6.485258010948694,9
19,37.0,,,,,,,1.520633131646541,1.0,6.336414528911894,1.0,1.0,5.40572668008877,9
20,38.0,691.217171758175,187.66766740374075,1656.1413532326756,983.3101557410956,281.57914678429756,7683.556803745688,1.0,1.0,1.9920761634608135,1.0,1.0,1.7033819410830098,9
21,39.0,613.927081291303,187.39181724053338,1459.4565605199066,1006.7230485925656,304.44431348782155,4154.23832100178,2.368405223261594,1.0,5.587593277254825,1.8915472208141488,1.0,5.400150684297763,9
22,40.0,726.7245214986483,221.09196019439648,1968.7712645881973,1507.677154369775,610.8899104044411,3000.0603244621584,1.0,1.0,3.791581965013262,1.0,1.0,2.9908151776985843,9
23,41.0,669.8593667262672,243.49677488000327,1611.3835144420107,2409.9333008855347,632.4631358063297,8652.012475567044,1.0,1.0,3.566576611860442,1.0,1.0,3.2076506172506667,9
24,42.0,814.6139269040038,208.69784641347078,2199.429451175855,1716.1314060873365,435.18757557026584,3096.326519533339,1.0,1.0,4.346109296009963,1.0,1.0,2.8622940118405866,9
25,43.0,614.9764870333946,182.58130195101128,1615.9759679044548,1902.206342836636,698.2974663978488,16756.268283948615,1.0,1.0,4.0557137143665685,1.0,1.0,3.089303192000679,9
26,44.0,,,,,,,1.8963192945541285,1.0,6.90708906599706,1.063074246936168,1.0,6.733654442063997,9
27,45.0,,,,,,,1.0,1.0,4.118062574939338,1.0,1.0,2.8368594332591095,9
28,46.0,551.4551161346608,234.27274586084346,1675.4079212580182,1961.9791025038885,469.7012906033966,7342.56986655299,1.0,1.0,4.552863297393618,1.0,1.0,2.742099725353338,9
29,47.0,427.58472390117623,135.61632694749227,1189.0703029968195,1022.0437163556368,188.63268198370406,1657.6317169712734,1.0,1.0,3.02187697216288,1.0,1.0,2.391411239118381,9
30,48.0,,,,,,,1.0,1.0,4.337031592931663,1.0,1.0,3.760759542600302,9
31,49.0,,,,,,,1.0,1.0,2.187392810017271,1.0,1.0,1.948365947927237,9
32,50.0,,,,,,,1.0,1.0,4.063459982494213,1.0,1.0,2.483662905353511,9
33,51.0,,,,,,,1.0000000206309725,1.0,5.751319231610485,1.0,1.0,3.7474837185883705,9
