,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
14,31.0,,,,,,,12.589533830243855,1.331586605325617,23.800542594735894,6.527141425893326,1.0,9.61119512566181,9
15,32.0,,,,,,,1.3119467956351996,1.0,2.4351126112225354,1.0,1.0,1.0,9
16,33.0,,,,,,,5.5117494869441295,1.0,8.649249075475556,3.6568701613484857,1.0,6.898971818297543,9
17,34.0,,,,,,,14.336228772163505,1.0,23.356247255067224,14.600932624660304,1.0,26.539525029233005,9
18,35.0,169.9880638451708,60.63739692846452,430.7517364025774,,,,1.0,1.0,4.373272655866838,1.0,1.0,4.127915798309912,9
19,36.0,,,,,,,1.0,1.0,2.97868422164047,1.0,1.0,3.4485221276605778,9
20,37.0,830.3260936371995,321.9167373688406,2542.6861203371645,537.2317889141224,537.2317889141224,537.2317889141224,2.472844562249393,1.0,7.087265556987164,1.0,1.0,6.2896856978111435,9
21,38.0,739.7577630281312,222.7723037416078,1893.866634237857,994.8355784069488,405.71386358551035,7701.846859017156,1.0,1.0,5.276068363428454,1.0,1.0,4.497624147493042,9
22,39.0,630.8048294939999,175.25839870010242,1487.4517991170337,1128.3075047026696,271.6372192382989,41777.02207217704,2.0148836373886647,1.0,9.4345899568241,1.259854418649758,1.0,6.845162864452157,9
23,40.0,202.1573869144637,63.97365920718546,463.3112961406281,1486.3477751836356,304.73297369903935,5875.394328741886,3.7398026665641737,1.0,21.58089597924207,3.035355038284593,1.0,19.639625277478025,9
24,41.0,294.89295175317113,98.87952932780345,662.9397418172675,1516.1186559803136,533.8890876877343,29834.115050748816,1.0,1.0,8.012746484925348,1.0,1.0,5.727436490584744,9
25,42.0,326.77864985309435,91.89752864759232,804.9006623496341,919.6474012239951,299.82154215089196,5692.598720232354,1.0,1.0,2.2220977941843607,1.0,1.0,1.629465429142394,9
26,43.0,,,,,,,1.0,1.0,7.171749808002158,1.0,1.0,5.5401826302003165,9
27,44.0,469.1657704498803,160.47491880687062,1294.9722592419405,,,,1.0,1.0,3.6717685018012127,1.0520020991303438,1.0,3.6681363647687784,9
28,45.0,,,,,,,1.0,1.0,2.263694278727174,1.0,1.0,2.464450199778525,9
29,46.0,,,,,,,1.0,1.0,1.1012600116395181,1.0,1.0,1.0,9
30,47.0,,,,,,,1.0,1.0,1.815306252122796,1.0,1.0,1.0,9
31,48.0,,,,,,,1.0,1.0,1.2784973412255554,1.0,1.0,1.0,9
