,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
6,24.0,,,,,,,1.0,1.0,2.825696992564984,1.0,1.0,1.3845148965285778,9
7,25.0,,,,,,,1.0371978559992594,1.0,14.565288536824376,1.0,1.0,5.1097025695673075,9
8,26.0,,,,,,,1.0,1.0,3.3544221520991235,1.0,1.0,1.7223074798776459,9
9,27.0,,,,,,,1.0,1.0,6.91371973179931,1.0,1.0,4.155384524794972,9
10,28.0,226.6110451646574,69.91185215208748,664.161895673158,,,,1.0,1.0,4.800102522274479,1.0,1.0,3.8090276935884937,9
11,29.0,166.54669663971396,45.80125376646913,400.137806296196,349.6633229409416,81.014629927429,12063.050160559347,1.0,1.0,13.142883856353714,1.0,1.0,7.860760923589031,9
12,30.0,,,,,,,2.552187052734813,1.0,15.657145064283572,1.5104638121318346,1.0,12.042971094953467,9
13,31.0,319.0644770332918,90.71548292380622,895.1268517268745,125.09342218212844,125.09342218212844,125.09342218212844,1.8508231717832295,1.0,8.264677086113126,1.000783229769066,1.0,7.238806111391363,9
14,32.0,,,,,,,1.0,1.0,10.264285267202691,1.0,1.0,7.158264159260034,9
15,33.0,146.42472742553215,36.77356821501343,325.67723423400776,267.25971124342584,62.2931171269141,20525.21343302381,1.0,1.0,10.418492707808966,1.0,1.0,6.838204182002408,9
16,34.0,278.1721138598166,74.80743517806742,804.8662903274976,1561.2136516772807,1561.2136516772807,1561.2136516772807,1.0,1.0,1.309909745292059,1.0,1.0,1.0,9
17,35.0,,,,,,,1.0,1.0,3.724197418053606,1.0,1.0,3.3747588905722172,9
18,36.0,550.8785050528521,248.28708891426575,1953.3521071682903,350.61126859059794,350.61126859059794,350.61126859059794,1.0,1.0,1.9206614490296194,1.0,1.0,1.619123495293672,9
19,37.0,1448.9865644259955,268.3641617975739,2182.022747489833,1366.4645124815884,1000.8584217896307,3299.253322249318,1.0,1.0,3.582380456764627,1.0,1.0,4.181830745659685,9
20,38.0,,,,,,,1.0,1.0,4.211763778911976,1.0,1.0,4.106835499164236,9
21,39.0,1495.360953188144,440.8215850555754,3823.605211033054,,,,1.0,1.0,4.984332824639596,1.0,1.0,5.329047306057101,9
22,40.0,1003.4829321689108,279.70174114349584,2535.7629572740834,4049.814924795157,4049.814924795157,4049.814924795157,1.0,1.0,1.9108968202783285,1.0,1.0,1.7047570210062533,9
23,41.0,962.3686952634552,278.8009856437876,2275.755505593571,3045.206072424755,644.9830115120078,30571.730561354507,1.0,1.0,3.6070170151212877,1.0,1.0,2.853092108750686,9
24,42.0,554.4642419530717,160.60284485837815,1195.7404372019466,1643.6091124402346,487.42503031272156,28710.491527060367,2.096020006134096,1.0,6.748053965810786,1.0,1.0,5.072862619714524,9
25,43.0,767.0495846260131,228.52626437163255,1893.2306826100216,2310.1161378615298,661.7072586937563,43612.03798325196,1.0,1.0,3.628101100443316,1.0,1.0,2.892063430931669,9
26,44.0,,,,,,,1.0,1.0,2.0797203443601684,1.0,1.0,1.4243162312163629,9
27,45.0,,,,,,,1.0,1.0,4.024753936443909,1.0,1.0,3.0141322059897413,9
28,46.0,524.7053918494281,184.36007722234547,1444.063839352389,1366.882781329875,364.85099079042766,3447.901053071944,1.0,1.0,3.4972857781645255,1.0,1.0,2.8766767692562505,9
29,47.0,,,,,,,2.691552893055194,1.0,8.32967339101219,2.0955838137082092,1.0,8.686389878412182,9
30,48.0,,,,,,,1.0,1.0,4.0698418473780285,1.0,1.0,3.4178495418252073,9
31,49.0,,,,,,,1.0,1.0,5.180392990198374,1.0,1.0,3.1751602519205964,9
32,50.0,,,,,,,1.2397395402364473,1.0,6.750969480455525,1.0,1.0,4.072731474497961,9
