,lineage,s
0,0,-0.16338
1,1,-0.06773
2,2,-0.23409
3,3,-0.042589
4,4,-0.38377
5,5,-0.12156
6,6,-0.54613
7,7,-0.10795
8,8,-0.67851
9,9,-0.07952
10,10,-0.25337
11,11,-0.22419
12,12,-0.020452
13,13,-0.1231
14,14,-0.38377
15,15,-0.42359
16,16,-0.085868
17,17,-0.43649
18,18,-0.4454
19,19,-0.36175
20,20,-0.39527
21,21,-0.20284
22,22,-0.27557
23,23,-0.1443
24,24,-0.30969
25,25,-0.34434
26,26,-0.63222
27,27,-0.53295
28,28,-0.28877
29,29,-0.28345
30,30,-0.19869
31,31,-0.031684
32,32,-0.12302
33,33,-0.28925
34,34,-0.10795
35,35,-0.21105
36,36,-0.52421
37,37,-0.074087
38,38,-0.068662
39,39,-0.53026
40,40,-0.24066
41,41,-0.090266
42,42,-0.21918
43,43,-0.14036
44,44,-0.38909
45,45,-0.16766
46,46,-0.44464
47,47,-0.36829
48,48,-0.40318
49,49,-0.53239
50,50,-0.056415
51,51,-0.13891
52,52,-0.0042756
53,53,-0.31771
54,54,-0.32769
55,55,-0.066703
56,56,-0.11463
57,57,-0.48744
58,58,-0.19266
59,59,-0.26408
60,60,-0.81115
61,61,-0.021567
62,62,-0.13849
63,63,-0.0027498
64,64,-0.07832
65,65,-0.15884
66,66,-0.36989
67,67,-0.099841
68,68,-0.22011
69,69,-0.026088
70,70,-0.044436
71,71,-0.25337
72,72,-0.072717
73,73,-0.28405
74,74,-0.18612
75,75,-0.61603
76,76,-0.28196
77,77,-0.50795
78,78,-0.58491
79,79,-0.14312
80,80,-1.9538
81,81,-0.25337
82,82,-0.06773
83,83,-0.49833
84,84,-1.3452
85,85,-1.631
86,86,-1.035
87,87,-0.60759
88,88,-1.3187
89,89,-0.32547
90,90,-0.90614
91,91,-1.3187
92,92,-0.36321
93,93,-0.34852
94,94,-2.5422
95,95,-5.7599
96,96,-0.93276
97,97,-0.094947
98,98,-0.41766
99,99,-2.9282
100,100,-4.643
101,101,-1.015
102,102,-2.1667
103,103,-4.9983
104,104,-2.9282
105,105,-2.9282
106,106,-0.45799
107,107,-3.6408
108,108,-0.57946
109,109,-2.9487
110,110,-0.83059
111,111,-3.2786
112,112,-0.73094
113,113,-1.0445
114,114,-0.50795
115,115,-0.51816
116,116,-1.2491
117,117,-2.49
118,118,-4.8524
119,119,-4.9024
120,120,-3.7431
121,121,-1.3393
122,122,-1.0589
123,123,-3.8511
124,124,-0.23293
125,125,-2.9282
126,126,-0.99097
127,127,-1.6168
128,128,-0.53026
129,129,-0.094072
130,130,-0.64273
131,131,-3.2285
132,132,-2.9487
133,133,-3.7431
134,134,-2.1299
135,135,-3.8997
136,136,-4.2165
137,137,-6.5642
138,138,-1.2882
139,139,-3.8038
140,140,-0.94689
141,141,-1.035
142,142,-2.1299
143,143,-0.22011
144,144,-1.6515
145,145,-1.1832
146,146,-2.49
147,147,-2.9487
148,148,-2.5422
149,149,-0.29133
150,150,-4.901
151,151,-0.63972
152,152,-0.29282
153,153,-0.89057
154,154,-0.36614
155,155,-0.36321
156,156,-1.8501
157,157,-3.3793
158,158,-1.294
159,159,-3.3793
160,160,-0.52044
161,161,-0.52044
162,162,-1.544
163,163,-0.80759
164,164,-2.9487
165,165,-1.3393
166,166,-2.1299
167,167,-5.4402
168,168,-0.11463
169,169,-0.56503
170,170,-4.0051
171,171,-3.3793
172,172,-2.2508
173,173,-2.1299
174,174,-0.68081
175,175,-2.9282
176,176,-0.74324
177,177,-0.58993
178,178,-1.6692
179,179,-0.38377
180,180,-2.9487
181,181,-5.4119
182,182,-4.9983
183,183,-0.35026
184,184,-6.5642
185,185,-0.60385
186,186,-1.7794
187,187,-6.5105
188,188,-0.44442
