,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t
0,0.0,,,,,,,1.0,1.0,1.8425391041620103,1.0,1.0,1.7208082892640584,9,1
1,1.0,,,,,,,1.371235797092416,1.0,2.2045362366679697,1.497698785099364,1.0752642435535835,2.427191574750774,9,1
2,2.0,,,,,,,1.0,1.0,1.4207779760425512,1.0,1.0,1.7789292163926078,9,1
3,3.0,,,,,,,1.0,1.0,1.7696560521221034,1.0,1.0,1.998273069145337,9,1
4,4.0,1585.1281431218863,914.2564884999674,2970.7927337351994,1500.8308422379605,1162.3531000659484,2421.84877594406,1.0,1.0,3.051675752531079,1.0,1.0,3.4386573130630405,9,1
5,5.0,1588.6694486730848,936.716888611124,3017.456827705717,1363.7128792223825,1202.4286723351781,1610.5779422772425,1.0,1.0,1.5805539951110106,1.0,1.0,1.305960486039134,9,1
6,6.0,2049.759108534905,1187.85842107086,3895.3408936189853,1765.9459021380403,1532.061435990774,1995.604818615768,1.4654303887218285,1.0,2.37322237141687,1.1243639557066265,1.0,2.4384627010097466,9,1
7,7.0,2063.70159821155,1167.965787109419,3832.2614727697805,2031.3165475621877,1681.2336849961634,2436.078503352461,1.0,1.0,1.6186649540047935,1.0,1.0,1.6176210717057984,9,1
8,8.0,2442.7233988126773,1242.814659030981,4079.980679235815,2153.2004609416995,1775.647593637209,2832.8307075205535,4.622040754700982,2.5902712862081843,7.350899345519232,4.620123111729661,1.9238566267772794,7.5351956767872155,9,1
9,9.0,2622.7693584852286,1497.1878061641569,4909.876705363575,2351.188424020069,2066.023025265586,2756.4637385628544,1.0,1.0,1.1601209088130628,1.0,1.0,1.4211612872316077,9,1
10,10.0,2446.4717730052907,1459.5899556665877,4446.292757640238,2191.14914266368,1846.7640322765462,2586.2104618692574,1.0,1.0,1.2030371288604553,1.0,1.0,1.0,9,1
11,11.0,2314.452163697926,1343.4830445545554,4418.082947489334,2036.051136979317,1779.2277152575773,2534.9110553707537,1.7279986586074998,1.0,3.1611962005956813,1.942887063423158,1.0,3.573622329339568,9,1
12,12.0,1989.3215667526272,1131.565745813697,3719.6555858147703,1710.1289448665557,1475.4284571840462,1992.7869252844882,1.0189954559753338,1.0,3.232070742317906,1.0,1.0,3.750788265459026,9,1
13,13.0,2292.4296479678164,1366.4317741436348,4055.509419517074,1894.6584016645986,1710.9149819086417,2189.0648574299225,1.3508453478605995,1.0,4.098210118425659,1.0,1.0,4.723003919856729,9,1
14,14.0,2380.4312488015726,1444.3586361543921,3781.268390417912,1897.224682827235,1701.4362263683176,2121.451714966782,1.0,1.0,2.019137844409363,1.0,1.0,2.0713001581130133,9,1
15,15.0,2304.3210652931157,1314.653415186566,4309.581012042348,1842.8830949604471,1613.3153872195574,2045.4004709695412,1.0,1.0,1.1007611377238038,1.0,1.0,1.6907360676065641,9,1
16,16.0,2352.3854506345206,1379.1780227969011,4493.167239371055,1903.9289560461625,1582.352431765799,2169.749636681521,1.3768498480954525,1.0,2.2724409034750384,1.0,1.0,2.465216047963994,9,1
17,17.0,2432.5544342777002,1414.9363266616406,4571.0447324496545,1898.5292685770046,1559.544475057006,2282.87411437817,1.0,1.0,1.1120646293405088,1.0,1.0,2.1428447801554533,9,1
18,18.0,2584.6263214306828,1532.893245007832,4886.679140941214,1989.7953528504381,1790.8388951689053,2242.2514692751192,1.0,1.0,3.1110038295286317,1.0,1.0,3.6798744160282855,9,1
19,19.0,2492.1006989882108,1529.281290234418,3882.0217367489086,1999.4071954974602,1751.9360942270707,2214.0149308372934,3.456384227927604,2.4638800746305694,6.182543440993386,3.315262336216171,1.7921403221514474,6.4711540618922365,9,1
20,20.0,2478.3078407054763,1479.9588528852887,4074.094203301871,2068.833849078131,1793.232456512462,2311.681059439677,1.3553447363649391,1.0,2.750629671135083,1.0,1.0,3.0931305972621534,9,1
21,21.0,2603.551478356488,1535.6808119168322,4984.7749170361185,1964.5373389644305,1787.6338275802757,2238.2243584628604,2.8494948827937234,1.0275493914375557,4.845523084035521,2.982459012086866,1.0587439426304162,5.2570605917323,9,1
22,22.0,2961.5109144628022,1743.7158377200672,5450.152611507407,2332.4510616471753,2005.096474113021,2676.9146259785607,1.0,1.0,3.5291789431602223,1.0,1.0,4.041908487575307,9,1
23,23.0,3570.655608608469,2116.3208315008374,6681.60571246106,2886.1189863398927,2532.9785642173474,3256.762381781301,1.0,1.0,2.1802571088578757,1.0,1.0,2.5489281546655254,9,1
24,24.0,3813.7676578789897,2246.357240856583,7366.665699755735,3236.7107574522724,2747.3057781584616,3887.6116285574735,1.0,1.0,2.4439498458273454,1.0,1.0,2.9308167876699938,9,1
25,25.0,4434.882800033102,2580.6160852435214,8369.25316027265,3729.714725059276,2863.017645548734,4640.1872622762585,1.0,1.0,1.9848495746843202,1.0,1.0,2.2341800835445373,9,1
26,26.0,5364.107884521589,3077.9540976521907,10063.925887833717,4764.049028485924,3705.739330487936,6601.817223450301,2.55531995219658,1.0000051961320715,4.613350981124155,2.4446008603448615,1.0,4.59178151230225,9,1
27,27.0,5143.281337665184,2887.746153388058,9472.02670690437,4770.684799838074,3525.5115657474093,6631.35438786105,1.0,1.0,2.2547171544536786,1.0,1.0,2.2859204238596336,9,1
28,28.0,6095.319009171411,3466.3068953873126,11341.307469790081,5482.683943653551,3817.7909917530765,8690.299319246815,1.235843233635205,1.0,2.830583245278484,1.11980526451605,1.0,2.9769918380629794,9,1
29,29.0,6999.82275516468,4007.305625889302,13220.889451096738,6974.825747833709,4347.1428645516835,14625.785088190125,1.0,1.0,1.0,1.0,1.0,1.0,9,1
30,30.0,6682.544992261686,3706.957801781508,12080.116334594366,6737.359954638388,4790.691301885424,15373.618731433404,1.0,1.0,1.707963218122899,1.0,1.0,1.8719841576053062,9,1
31,31.0,6378.514012157804,3702.3211040762626,11970.628017946909,6049.889096262106,3975.983760504002,14219.20833735464,1.828665605737938,1.0,4.455473277742436,1.4740391881898933,1.0,4.916573540066299,9,1
32,32.0,6954.348807834393,3994.497960180473,12654.024896714043,6766.782342366825,3904.657792495718,12673.379385087546,1.0,1.0,1.265325892061386,1.0,1.0,1.6384471082720122,9,1
33,33.0,6967.776558925039,3987.4856099858325,12919.735688718223,6144.197774400103,3685.3357810171174,10462.47411385315,1.0,1.0,2.622382094192267,1.0,1.0,3.399450499942804,9,1
34,34.0,6509.933250931084,3674.024047750407,12059.91516524217,5481.231154787552,3633.891464809934,7012.816949281689,1.0,1.0,2.3942955246156017,1.0,1.0,2.732406337438675,9,1
35,35.0,5976.428295863485,3502.789678761742,11359.567555542748,4941.1399927911425,3758.4089209522313,6007.2359750680425,1.0,1.0,2.7993720343994664,1.0,1.0,3.005049303012429,9,1
36,36.0,5867.5534422620385,3409.5020933017604,11143.190863006905,4560.5598798986575,3709.9359165930737,5427.8728265948985,1.0960944688291863,1.0,3.454976419080141,1.0,1.0,3.722751258675329,9,1
37,37.0,6088.4701292566315,3567.739084871188,11617.58908247625,5025.314524159667,4023.221641200979,6674.73015409261,1.0,1.0,2.944604244912643,1.0,1.0,2.9446077096539245,9,1
38,38.0,6421.498236222396,3814.413266720036,12148.789073118718,5567.829828023004,3890.367669597483,8262.707637949732,7.494087662443304,2.7319601643617695,16.078867109543864,7.24452620188223,2.635460671648851,16.345160563877705,9,1
39,39.0,7466.9445336669705,4435.336302033056,13824.48901624787,7108.406366553609,4411.244079597406,12952.406110178483,1.0,1.0,2.0136016095480773,1.0,1.0,2.1146724632118956,9,1
40,40.0,8282.02032899831,4149.679881352861,14761.3565692033,8141.923321955526,4143.923683683787,23355.428240050303,1.0,1.0,2.5378849446618825,1.0,1.0,1.899907949978518,9,1
41,41.0,9631.872144829005,4503.185432889198,17497.462959982444,10120.594570378282,4770.525275522266,48339.20634127215,6.045887922830451,4.2208029936276645,8.61944878462988,6.097246854203473,3.8841262873298015,8.740485249785483,9,1
42,42.0,8001.706090067981,4195.782729093551,15275.334397896833,8513.705189153348,4399.285032230073,29364.552212986586,1.0,1.0,4.121403807287197,1.0,1.0,4.188716783061255,9,1
43,43.0,7351.086955051032,4226.433162903002,13969.42133221076,6960.942455475247,4300.70719256367,12023.709777285938,7.629950520435037,3.294454213996873,17.763791466888453,7.050831652294742,2.0614366856996615,17.763792532912206,9,1
44,44.0,5884.3743985848705,3559.918751044673,10904.325986014093,5250.391165742612,4030.285639402359,7518.515575946773,1.0,1.0,3.3356574654864755,1.0,1.0,3.3996826061356393,9,1
45,45.0,6783.372694444663,3884.96675200412,12607.081999343856,6085.437706433913,4087.2300192007356,8016.8829318150465,7.204058210486529,2.713945393995469,14.536386638043249,7.249913564494309,2.4478220099862233,14.651070384770662,9,1
46,46.0,7360.686010531816,4202.84990119853,13677.921320395097,6614.883757326676,4848.623631068247,9278.397592911713,1.2638371648971782,1.0,3.5403035661773954,1.1089904634601688,1.0,3.295445956595918,9,1
47,47.0,7935.048151102987,4565.393108180445,14116.824390150765,8483.170576729612,5754.897170588316,12764.13547196142,1.0,1.0,4.17118390821943,1.0,1.0,4.585614816370259,9,1
48,48.0,9636.958275976041,4761.545717261924,17583.541419363082,11276.71712313341,7119.13770274871,19583.889254000544,1.2954461855465658,1.0,3.1943045445150786,1.447543782855097,1.0,3.7252653841389414,9,1
49,49.0,10493.206135021905,4162.767937418017,20329.208034929765,13027.332446884873,7496.64798739198,30377.44101046982,1.0034025073762862,1.0,2.7652588281917123,1.0,1.0,2.621262971279227,9,1
50,50.0,12902.271149948958,6399.541614552134,25082.86514723058,14329.91312472798,7554.104055945374,23137.57815411101,2.348599351674132,1.0,4.902930210048004,2.361934492310154,1.0,4.949118986588509,9,1
51,51.0,11851.10304014994,6861.9257333418445,21819.36741400342,12652.395450145214,7644.475616002867,18156.04942321508,1.0,1.0,1.5723631691925641,1.0,1.0,1.4369202843141813,9,1
52,52.0,9043.138986610395,4137.899027632416,16242.221920979582,11809.12400345695,6494.624829762186,16440.906883836506,2.2220938725248542,1.0,4.599404421361965,2.221590886252466,1.0,4.625311502144535,9,1
53,53.0,6861.390482551287,3246.910768350356,11121.468603167403,7754.350042647076,4880.492365322771,9611.212678406991,2.476955954337023,1.0187708511489206,4.8975781786584625,2.863422373482715,1.3980515306401613,5.390157784823413,9,1
54,54.0,5672.884140418143,2624.986529037697,9828.512024700936,6239.644823731234,3635.790981755319,8688.089383654398,1.0,1.0,3.131655356820718,1.0,1.0,3.400035410064544,9,1
55,55.0,5674.050932729968,2962.4735592157767,9988.815740207685,5816.599336390995,4054.6455645384226,8179.561013094338,1.0,1.0,4.254408757657855,1.0,1.0,4.331539707421099,9,1
56,56.0,4213.693362788581,2440.9808491644335,7945.2775521104195,3617.8240885622945,2958.152981261398,4317.512983993764,1.0000020953064892,1.0,4.9361856754825855,1.0,1.0,4.97987560478288,9,1
57,57.0,4198.245977692853,2473.2130619664968,8110.519153422943,3616.3812648404923,2812.6349152021876,4441.7431862635785,1.0,1.0,6.395879032030896,1.0,1.0,6.607605676117669,9,1
58,58.0,4486.817951631661,2614.8082831136708,8468.764373665204,3700.2154006728806,2819.818151999489,4957.933383936053,17.571340954536808,12.43505930840948,26.948037130306858,17.690471787794543,12.75360526670433,26.981015602853557,9,1
59,59.0,4752.016239108243,2803.6895810738633,9219.929974372639,3661.1190844222347,3080.7795272098087,4322.443251020848,1.0,1.0,5.737217455789452,1.0,1.0,5.891182860663236,9,1
60,60.0,4399.107216807497,2559.67198369753,8037.339086477203,3344.3487749822725,2768.4996807378016,4217.528819856636,1.0,1.0,2.527530674120388,1.0,1.0,3.067003292145784,9,1
