,lineage,s
0,0,-0.0047599
1,1,-0.64265
2,2,-0.60385
3,3,-0.11463
4,4,-0.078231
5,5,-0.012048
6,6,-0.30909
7,7,-0.07952
8,8,-0.24066
9,9,-0.0017872
10,10,-0.32547
11,11,-0.30695
12,12,-0.29774
13,13,-0.21126
14,14,-0.58491
15,15,-0.34434
16,16,-0.19705
17,17,-0.38377
18,18,-0.43649
19,19,-0.011979
20,20,-0.25053
21,21,-0.28877
22,22,-0.30695
23,23,-0.083507
24,24,-0.12328
25,25,-0.41376
26,26,-0.28135
27,27,-0.62156
28,28,-0.24784
29,29,-0.16999
30,30,-0.20509
31,31,-0.36321
32,32,-0.1702
33,33,-0.67851
34,34,-0.22075
35,35,-0.085718
36,36,-0.34434
37,37,-0.44442
38,38,-0.26635
39,39,-0.59967
40,40,-0.45525
41,41,-1.0313
42,42,-3.3793
43,43,-3.6408
44,44,-0.90987
45,45,-6.5105
46,46,-1.1065
47,47,-2.9487
48,48,-0.39422
49,49,-2.9282
50,50,-0.38377
51,51,-1.7972
52,52,-4.6613
53,53,-0.82391
54,54,-1.5409
55,55,-2.2417
56,56,-1.2609
57,57,-2.1299
58,58,-2.1299
59,59,-1.6191
60,60,-3.0524
61,61,-0.51214
62,62,-3.7431
63,63,-0.4718
64,64,-2.9487
65,65,-4.901
66,66,-1.035
67,67,-1.015
68,68,-0.28728
69,69,-2.4329
70,70,-1.1648
71,71,-2.2807
72,72,-3.293
73,73,-0.25337
74,74,-0.33496
75,75,-0.55526
76,76,-0.61191
77,77,-4.3132
78,78,-3.0981
79,79,-3.2285
80,80,-0.74414
81,81,-5.7599
82,82,-2.9282
83,83,-3.7431
84,84,-1.8295
85,85,-4.9983
86,86,-3.2285
87,87,-5.47
88,88,-1.0325
89,89,-5.4119
90,90,-2.6324
91,91,-3.3793
92,92,-3.3793
93,93,-1.7025
94,94,-3.6408
95,95,-2.6445
96,96,-0.61194
97,97,-2.7525
98,98,-1.1482
99,99,-3.2285
100,100,-1.2757
101,101,-0.28459
102,102,-3.8038
103,103,-0.61603
104,104,-3.7431
105,105,-1.6191
106,106,-0.093026
107,107,-0.98145
108,108,-1.6191
109,109,-0.43442
110,110,-1.5018
111,111,-0.1255
112,112,-1.2915
113,113,-3.0009
114,114,-3.3793
115,115,-2.9282
116,116,-3.6408
117,117,-0.056436
118,118,-2.6445
119,119,-5.7599
120,120,-3.7431
121,121,-4.3772
122,122,-2.9282
123,123,-2.6445
124,124,-2.5422
125,125,-1.028
126,126,-1.0106
127,127,-0.98145
128,128,-0.38377
129,129,-3.6408
130,130,-0.82391
131,131,-1.2826
132,132,-0.41758
133,133,-3.8511
134,134,-0.86579
135,135,-1.4334
136,136,-1.8295
137,137,-2.5422
138,138,-3.7431
139,139,-1.9257
140,140,-3.7431
141,141,-1.1059
142,142,-2.2807
143,143,-0.53026
144,144,-0.42359
145,145,-3.8997
146,146,-3.3889
147,147,-1.0504
148,148,-4.367
149,149,-2.3015
150,150,-6.5105
151,151,-4.9024
152,152,-3.2285
153,153,-3.7431
154,154,-4.3132
155,155,-0.26767
156,156,-5.4119
157,157,-2.9487
158,158,-1.8579
159,159,-2.5422
160,160,-0.094947
161,161,-6.5105
162,162,-2.6971
163,163,-1.4684
164,164,-0.021567
165,165,-1.0871
166,166,-0.38442
167,167,-0.66616
168,168,-0.47613
169,169,-2.2903
170,170,-1.7972
171,171,-1.2178
172,172,-1.7831
173,173,-5.9511
174,174,-1.8512
175,175,-0.88743
176,176,-0.81115
177,177,-1.631
178,178,-0.22957
179,179,-3.2146
180,180,-4.6613
181,181,-2.1536
182,182,-0.70797
183,183,-5.7599
184,184,-2.1299
185,185,-3.7431
186,186,-3.6408
187,187,-2.4313
188,188,-2.6244
189,189,-1.9538
190,190,-1.8628
191,191,-3.7431
192,192,-0.0092162
193,193,-1.3187
194,194,-2.4458
195,195,-0.26635
196,196,-0.88743
197,197,-2.3223
198,198,-1.206
199,199,-3.8997
200,200,-1.8295
201,201,-2.5422
202,202,-1.8123
203,203,-1.7669
204,204,-2.3361
205,205,-0.53239
206,206,-2.5422
207,207,-3.293
208,208,-0.49162
209,209,-0.38592
210,210,-1.0665
211,211,-1.958
212,212,-2.9282
213,213,-3.2786
214,214,-0.42359
215,215,-5.7599
216,216,-3.362
217,217,-1.2847
218,218,-3.7431
219,219,-5.4402
220,220,-2.2634
221,221,-1.0028
222,222,-2.6445
223,223,-1.8295
224,224,-0.53955
225,225,-0.39934
226,226,-1.6066
227,227,-0.0077783
228,228,-2.3996
229,229,-3.4943
230,230,-3.3793
231,231,-4.0995
232,232,-3.6408
233,233,-4.3416
234,234,-3.7431
235,235,-1.2861
236,236,-0.64326
237,237,-0.4838
238,238,-1.2388
239,239,-3.6408
240,240,-0.75149
241,241,-3.4659
242,242,-5.7599
243,243,-1.4334
244,244,-2.9487
245,245,-1.5643
246,246,-3.0524
247,247,-3.3793
248,248,-1.0313
249,249,-3.3793
250,250,-3.3793
251,251,-2.2807
252,252,-1.0325
253,253,-0.82945
254,254,-1.3471
255,255,-2.5045
256,256,-2.9565
257,257,-2.3375
258,258,-2.1299
259,259,-1.6949
260,260,-1.2847
261,261,-3.2786
262,262,-3.1578
263,263,-3.8038
264,264,-0.52044
265,265,-3.7431
266,266,-0.73562
267,267,-0.65396
268,268,-1.9532
269,269,-2.6445
270,270,-0.93377
271,271,-4.3772
272,272,-0.85935
273,273,-0.36829
274,274,-0.4349
275,275,-3.3793
276,276,-3.2285
277,277,-1.8501
278,278,-0.73094
279,279,-4.0995
280,280,-2.4329
281,281,-1.9052
282,282,-3.8997
283,283,-2.6445
284,284,-0.66354
285,285,-5.7599
286,286,-1.4532
287,287,-2.9282
288,288,-2.2807
289,289,-1.4059
290,290,-2.2807
291,291,-3.2285
292,292,-1.6191
293,293,-2.9282
294,294,-2.5873
295,295,-0.76419
296,296,-6.5105
297,297,-2.9282
298,298,-2.5422
299,299,-0.40218
300,300,-2.0314
301,301,-0.39154
302,302,-1.0313
303,303,-1.7016
304,304,-4.8524
305,305,-3.8511
306,306,-3.7431
307,307,-2.9282
308,308,-2.0314
309,309,-4.2611
310,310,-0.55082
311,311,-1.5111
312,312,-1.1821
313,313,-2.9282
314,314,-0.60148
315,315,-1.0106
316,316,-0.39154
317,317,-4.9024
318,318,-2.6445
319,319,-0.078231
320,320,-1.2826
321,321,-2.2807
322,322,-4.5646
323,323,-1.4059
324,324,-2.9487
325,325,-2.0692
326,326,-0.27344
327,327,-0.73219
328,328,-2.9487
329,329,-1.3187
330,330,-1.1781
331,331,-2.2478
332,332,-0.15423
333,333,-3.7431
334,334,-4.9024
335,335,-3.7431
336,336,-4.6183
337,337,-0.51882
338,338,-3.3793
339,339,-1.2826
340,340,-0.18612
341,341,-0.28908
342,342,-2.5422
343,343,-1.8295
344,344,-4.0995
345,345,-1.7088
346,346,-2.9282
347,347,-3.7431
348,348,-1.3327
349,349,-7.0497
350,350,-2.6445
351,351,-4.3772
352,352,-0.92076
353,353,-0.98225
354,354,-1.5258
355,355,-3.3793
356,356,-0.68574
357,357,-2.1299
358,358,-0.30695
359,359,-1.2178
360,360,-6.5105
361,361,-3.2786
362,362,-0.98225
363,363,-0.13216
364,364,-1.6191
365,365,-0.21918
366,366,-2.5422
367,367,-0.62382
368,368,-3.3793
369,369,-1.8591
370,370,-7.0497
371,371,-1.1065
372,372,-2.2903
373,373,-2.0539
374,374,-4.0051
375,375,-1.8757
376,376,-5.9511
377,377,-1.7974
378,378,-3.6408
379,379,-0.93276
380,380,-3.8511
381,381,-0.74263
382,382,-2.5422
383,383,-4.0995
384,384,-5.4402
385,385,-3.1432
386,386,-0.94324
387,387,-4.0995
388,388,-3.0765
389,389,-2.2807
390,390,-0.31653
391,391,-3.8511
392,392,-2.9282
393,393,-0.94773
