,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t
0,0.0,,,,,,,5.102281197882046,3.3391452788031972,8.0020370564312,6.534121738058564,4.984822792150939,8.563535801373407,9,1
1,1.0,,,,,,,1.0,1.0,2.408384943967574,1.0773325800784312,1.0,3.7946092581744515,9,1
2,2.0,,,,,,,1.5451182546526505,1.0,5.4984169150496935,2.3048057716822807,1.0,6.478849342640754,9,1
3,3.0,,,,,,,1.0000185516524405,1.0,6.321730931377279,1.4722570292216393,1.0,7.651915936539595,9,1
4,4.0,406.58623760245223,233.53598921419348,765.7495934950032,308.55997563539836,206.57006139779588,520.3254550267261,2.113654705181686,1.0,4.247841034786337,1.0,1.0,2.589538611727069,9,1
5,5.0,430.2815593348686,257.1867862566121,760.6437509708222,336.694897301443,259.24267396102175,439.2049824319445,1.2355240001065888,1.0,3.327372891319021,1.0,1.0,3.790275296812727,9,1
6,6.0,461.37269716479096,267.5565726799009,871.3836971597274,375.3407645356285,293.6404500061921,484.229721841478,1.0693097362124844,1.0,3.2468209202696596,1.0,1.0,2.8355749131366568,9,1
7,7.0,439.167804007787,262.4170152333842,832.6481002925201,352.5066801963832,299.2411339328638,469.815003250616,1.0,1.0,3.24762449040861,1.0,1.0,4.254152315380845,9,1
8,8.0,452.57975520356115,263.38641031259533,852.5217119668607,339.54374726709716,285.6672095242815,506.29050362791554,5.430159395611648,1.0,11.432796562730307,6.0599770303554905,1.6907355475488253,13.075332533751373,9,1
9,9.0,463.5284765045461,277.31932900605193,852.6489328844161,309.05390713967574,267.3983287928486,387.3785572870868,1.0,1.0,8.020123631686895,1.0,1.0,9.740547295198304,9,1
10,10.0,494.25008055281984,292.4808243709747,913.1537050962856,331.9142382880168,274.8244695767027,470.376175503763,1.0,1.0,4.9967919703434935,1.0,1.0,7.385634717107614,9,1
11,11.0,508.0144670051209,303.9102712782242,911.0368025767709,329.14730734448426,266.0487121319065,440.7752356617413,1.0,1.0,5.009676970486568,1.0,1.0,6.791575809889341,9,1
12,12.0,596.6185342165729,334.3085423594596,1097.626067072628,484.6076382831101,298.7309387705932,686.6369870057985,1.0,1.0,12.270017130677585,1.0,1.0,13.989393674639949,9,1
13,13.0,633.4903689810069,375.371260333692,1109.0996288509675,471.534786175406,345.2655250180045,753.902465623601,1.0,1.0,2.1120082521890744,1.0,1.0,1.0,9,1
14,14.0,654.841901331403,375.320050253261,1201.3066992404265,491.3022754628154,325.9009384361216,714.3552275599806,1.0013921348703543,1.0,5.054450312161083,1.0,1.0,4.585690913166221,9,1
15,15.0,695.3039571462591,389.89197839989686,1258.168446502655,491.09802738656714,353.55130601670777,711.4540581813226,1.0,1.0,4.157255184403641,1.0,1.0,2.6613974694455216,9,1
16,16.0,637.5122277713513,382.84297191113995,1174.3965165305908,459.3709815238058,331.3440882114222,725.0857431470736,2.450207697245919,1.0,23.045245821452045,1.0,1.0,27.51003555109469,9,1
17,17.0,522.3190092011896,323.2568749430382,916.4867736827307,352.3000767217692,290.7572796528559,638.3702829346157,1.1957518718346258,1.0,13.73301666845403,1.0,1.0,16.139567571192227,9,1
18,18.0,496.00178145167456,317.16268837504174,878.8924373394531,294.12096820887064,250.0346648186034,571.9438088379101,1.0,1.0,18.47749746943276,1.0,1.0,19.08000070694854,9,1
19,19.0,544.1469034903337,328.4375463830528,953.8393837850135,338.83571288108527,237.0071536421287,650.5733641223316,4.046241508862555,1.0,39.60925907269694,4.890594638840261,1.0,40.808263226025225,9,1
20,20.0,488.4415704897687,331.4788839598409,796.5902758059576,291.8099983477596,259.8434383049763,610.8326952687249,1.0,1.0,24.370821023581215,1.0,1.0,26.28028920029233,9,1
21,21.0,806.704424400787,488.4005079699952,1343.9025745194617,481.9430819168206,312.2902835121465,933.6785338395158,1.0,1.0,18.16993836656168,1.0,1.0,20.322289904087228,9,1
22,22.0,706.8997190496984,419.89084838199676,1235.1175740985054,444.16140688370336,330.408605325717,1589.8928758660995,1.0,1.0,7.993593914427734,1.0,1.0,10.894911575250346,9,1
23,23.0,739.8777589586881,435.04399531811,1278.7369928617572,501.3939603701778,417.6057881557243,631.7886094535767,7.876761319780341,1.0,48.713920629653266,3.444966217599931,1.0,48.71392164227904,9,1
24,24.0,830.4736250525782,484.82410313217633,1504.7904693582943,604.2371847590405,494.17106106779505,792.4124265574252,1.000107967105253,1.0,11.906244883752223,1.0,1.0,11.872438645459352,9,1
25,25.0,982.3682789824904,566.7178536300357,1818.5086538214384,787.7263130583824,486.51860556521814,7755.552386939881,1.0,1.0,4.271469995314024,1.0,1.0,3.8756743999291867,9,1
26,26.0,1264.7148664569959,617.7327189481178,2534.5745053563205,1500.0138878192313,644.8309358401681,4632.55624596753,3.4242483120539493,1.0,17.061629656859022,1.1063633991758097,1.0,16.298172795149874,9,1
27,27.0,1337.5180053661895,656.6868864951598,2609.3642933458136,1251.873791578099,627.815368694217,6582.41816206695,3.574299568329687,1.0,16.846193841551877,1.0,1.0,16.179401029876185,9,1
28,28.0,1268.227914657955,633.5415219577161,2580.940015422665,1498.9437166240573,660.2114191517834,9579.532482859466,5.431580805577163,1.0,18.62654160274835,5.538130637955389,1.0,18.626560317625923,9,1
29,29.0,1497.1028382383085,724.5467735738855,2881.391320122942,1894.5799624447402,902.1727077056097,5551.894583688899,1.0,1.0,10.826667377450432,1.0,1.0,8.658068232391702,9,1
30,30.0,2027.340281011401,938.9184377438753,4417.272530906053,2069.815654451162,754.1540773115946,5575.531002244408,1.0,1.0,10.720505884756436,1.0,1.0,8.514872962469887,9,1
31,31.0,937.6966873524733,378.9959334433528,1811.988830334011,946.1656828532016,588.9554227419218,3377.737991935355,6.415748157154617,1.0,18.580902158954657,4.767949487678151,1.0,17.509762279572232,9,1
32,32.0,833.31500836751,440.61478924312024,1523.5214178257,799.1836072400235,615.0502835784041,1354.0109271690274,8.480463385826688,1.0000000147985149,23.46165804505974,8.748091851180133,1.0,23.525725209855477,9,1
33,33.0,963.4813892542362,491.29367834729,1627.7109446596987,1150.1387548720052,1043.3272221404904,1251.566225660236,4.169050455129868,1.0,25.448254456244072,2.560391998082924,1.0,24.16370381147376,9,1
34,34.0,1014.3042199377359,568.2332737801153,1907.2240990108721,1353.2640492005855,1091.1325547810957,1452.6016668601033,11.100272066408959,5.224557792382656,56.416673421221994,11.349533227439686,5.434639812601843,56.4880230469003,9,1
35,35.0,1182.475464120296,388.70993652766583,2191.470842169613,4900.358696104984,2283.6671366471205,8144.061954260597,15.372541583699432,8.014315904522064,34.42983042482675,15.66605223029114,11.236911891104981,34.549293749246395,9,1
36,36.0,1588.653651859722,1139.38924809441,6875.989788897132,6671.908227938211,3129.54710125599,54395.01563713473,1.5916265031338188,1.0,11.212542878761399,1.3204362712309567,1.0,9.187086782600886,9,1
37,37.0,2123.5900242316357,784.0766798021405,3772.6800717161805,11938.569637446306,7399.767147380896,18308.2690182155,3.5794958165051343,1.0,13.02652473532855,3.893489691616019,1.0,12.480917259280924,9,1
38,38.0,2837.5822220049295,1018.5889511275282,7669.612308099102,3731.40546700421,2707.2460345773443,4357.209354403316,7.723338009608808,1.0,30.530406809642784,6.159197173474164,1.0,30.53040682302495,9,1
39,39.0,2569.0748808814433,1049.0740340981029,5210.43023973354,3274.5333171486836,2470.3509320626645,3956.4334425468282,4.129257662704871,1.0000368068233536,13.889782369015158,2.1627211107944455,1.0,13.182633061076192,9,1
40,40.0,6239.366533044709,2635.8452071915544,13451.007218818406,6399.147092152308,4697.868221187937,7744.610591305875,1.0,1.0,4.276586451282961,1.0,1.0,4.1508798714890895,9,1
41,41.0,6814.436498434436,3574.2627950833735,15533.472122089383,6550.656145940912,5147.191894677446,12427.264621099863,2.2234940474669216,1.0000000033585792,5.07150048843076,1.818921273534151,1.0,4.864855993097014,9,1
42,42.0,52451.51282586209,166751.88371130064,242648.2448734905,51079.18288265977,51079.18288265977,51079.18288265977,1.0000051882994243,1.0,2.6447634051928626,1.0,1.0,2.678804077825519,9,1
43,43.0,52667.16445861374,270901.2308922143,438224.2088946396,,,,3.17202977025482,1.0000287917773885,6.752191122043422,2.184274632448343,1.0,6.5623334331778045,9,1
44,44.0,62735.35939148626,157046.88546346634,265188.1253891628,,,,1.0,1.0,2.3300361445565856,1.0,1.0,1.2949268455700294,9,1
45,45.0,41049.95266048283,23355.0227088467,114623.40759295606,,,,4.82082963302221,1.0000174826239003,11.209261702051037,4.567152429092964,1.0,11.190161442994278,9,1
46,46.0,57390.572043846914,302420.08127653063,387488.6154620536,,,,1.0,1.0,1.684213513854204,1.0,1.0,1.5647162738054157,9,1
47,47.0,40103.92314389649,257332.5116466397,324402.17312826053,55615.00225730806,55615.00225730806,55615.00225730806,1.0,1.0,1.1660960482379934,1.0,1.0,1.0,9,1
48,48.0,70235.88472049666,21135.385939812862,167253.80322873133,,,,1.3332895057319607,1.0,4.050828040751499,1.1903746835496565,1.0,4.050828124451367,9,1
49,49.0,36640.86034051624,9391.101652201542,74342.95211224479,63113.63312271405,37572.46856455485,94076.82810613906,1.0,1.0,1.936144245188218,1.0,1.0,1.513861338926918,9,1
50,50.0,28871.167189965174,8977.580543092008,62098.44134486265,33254.3660393946,20672.04657895373,73364.5427506932,1.0,1.0,1.7545422449625399,1.0,1.0,1.8229886239371038,9,1
51,51.0,21374.51443046956,7908.077422997185,40972.4725548636,35221.40994830073,12131.547984266424,81756.82514054199,1.8794630318868766,1.0,5.144640053976589,1.8794600994791042,1.0,5.144739807375887,9,1
52,52.0,14834.590254470913,6716.439987144736,29919.94296363811,15103.931665914266,5968.540576361862,75102.52062709088,4.11062489072937,1.0000702528997212,8.418214384408918,3.951036731429171,1.0,8.329553348197235,9,1
53,53.0,13862.893123620928,7152.459191304218,28036.89723765678,14247.676669839644,7026.424007028468,58502.466244936,1.771267351997969,1.0,6.0550282172015395,1.373501978586817,1.0,6.055026245429696,9,1
54,54.0,13924.765498813646,4060.8689906340087,27720.026656845876,13408.889307393209,7916.2289506973475,31411.85436581511,2.390794040058757,1.000069679691627,7.258704338986494,2.088177408944772,1.0,7.258700813793349,9,1
55,55.0,26373.71792306796,10544.16563103899,59407.92005653196,51102.76814331641,22722.52580301393,94603.11075835509,1.0,1.0,4.065782932372322,1.0,1.0,4.065782925623666,9,1
56,56.0,19718.110027776114,134200.1582844454,164022.4156809888,58821.075755035024,26494.391666079708,74695.43907524292,1.0,1.0,2.6153417796712106,1.0,1.0,2.15673712885926,9,1
57,57.0,16259.320583092564,6096.25571906633,34368.89576056631,64914.75020070013,49700.723854452655,91966.087706787,2.2561561085599022,1.0,6.231102273410279,2.2204908988930487,1.0,6.231102442629388,9,1
58,58.0,5032.282210543278,592.7288321838596,10467.79241153419,,,,4.707335075848794,2.6174864890903926,13.520222296930932,6.342511842092847,2.563904621017224,13.85721884217237,9,1
59,59.0,4934.102695704851,2573.324328990683,9173.424691309385,8415.775258856496,8415.77285396533,8415.77573347032,1.0,1.0,1.6583889643178742,1.0,1.0,1.376079315498815,9,1
60,60.0,1806.28091230924,1018.6052771952786,5199.606742647915,2874.3671799436215,2412.021404695479,3653.806030371901,1.0000474976250107,1.0,9.568851422333761,1.0,1.0,24.05027355125774,9,1
61,61.0,2790.292823994431,1646.259270557572,5417.222350173804,2211.011260301764,2211.0071478277086,2211.0159236326663,1.0,1.0,36.65179464473908,1.0,1.0,36.6532498914994,9,1
62,62.0,1520.8823278095922,897.3205734076594,2952.7215449739224,872.3651969710988,872.2039336231416,872.3679888003638,1.0000007958015211,1.0,33.983810895265606,1.0,1.0,31.328152353624805,9,1
63,63.0,907.9015815370865,598.3754923025476,1562.8649656347488,543.4150904211932,478.0907648359219,787.7277593497627,5.0430166817088935,1.0,80.1765788856622,1.936552532752301,1.0,80.17989190337825,9,1
64,64.0,826.5015874728522,397.4244294906291,1467.9988015571748,418.69179300028645,313.96360157462743,636.5304536247037,1.9257736218587247,1.0,97.54385088376155,1.0,1.0,99.16213648988861,9,1
65,65.0,563.9579288383557,258.37518495947256,988.2606176443965,421.4450467846866,312.51586990785404,667.4199309081056,8.230573224701093,1.0,99.69928737191492,1.0,1.0,100.00000000000004,9,1
66,66.0,399.81926298625416,305.5878923887578,674.7814800702615,438.3108461205625,265.69457057675135,1018.2733229077345,1.000370899498935,1.0,100.0,1.0,1.0,100.00000000000004,9,1
67,67.0,360.83900534400135,271.641856206838,596.5725774680864,245.96754771501503,245.9674528239262,245.96758084981064,27.705404621749373,1.0,100.0,30.880729722509344,1.0,100.00000000000004,9,1
68,68.0,420.26534335653923,294.26131758089605,720.3223056402235,385.5184218878973,275.8980966618655,1584.7505123098222,30.99820617089331,1.0,100.0,34.32719976853884,1.0,100.00000000000004,9,1
69,69.0,451.9433672108221,273.95670454078004,824.4020823388739,453.53220882754545,309.55583665902435,1549.3454107549892,1.0,1.0,99.11568140080635,1.0,1.0,100.00000000000004,9,1
70,70.0,606.2039331275322,274.6538347573663,1176.6889954951373,597.9583961867183,345.5036470058051,1922.2522150776238,1.0000000083575726,1.0,33.35750021278052,1.0,1.0,33.35742473949051,9,1
71,71.0,815.8739129733826,427.3603635414575,1515.9237589658253,830.9362605206026,502.4165154556339,3055.1406823080024,1.0006489626872357,1.0,40.110136398890134,1.0,1.0,40.11014812035718,9,1
72,72.0,1093.13463756995,461.7852959536923,2970.9511114478128,2181.3789676316437,1362.918455616143,6025.014174837917,11.95211899860174,1.0,46.78972306245216,8.243954296878002,1.0,47.3826074733331,9,1
73,73.0,1226.4817900305825,490.30058864492554,2512.7710824674186,4213.267945256642,1142.5192916334395,41706.86141807104,11.392470557699772,1.0,99.99999474422947,6.805733188085742,1.0,100.00000000000004,9,1
74,74.0,997.0045511636943,390.9813956723764,2081.625408950297,2632.0421593406945,923.8597218944182,69218.65750091997,1.051463383915174,1.0,44.420922617013055,1.0,1.0,44.7580694368737,9,1
75,75.0,1014.9966826720746,421.35746803447387,2453.1618971602993,3316.1526388163616,938.9199298690116,49133.84071751599,1.0000944728547896,1.0,29.942405556645866,1.0,1.0,30.315355203223163,9,1
76,76.0,707.1709102947594,279.39901847816645,1174.6108819995957,2525.960661891959,2525.960661891959,2525.960661891959,1.0,1.0,29.8395931230052,1.0,1.0,30.68926419572919,9,1
77,77.0,765.0537563080272,408.1866626317483,1381.8109151762208,577.2406679788603,394.0730945528231,1135.141364261185,1.0004277760290843,1.0,99.99999997110287,1.0,1.0,100.00000000000004,9,1
78,78.0,739.303312380828,446.79403904550855,1348.3258564847158,557.4425452852366,381.7830856677184,3924.888734428278,48.677843915243166,1.0,99.99999999781292,43.77493471723175,1.0,100.00000000000004,9,1
79,79.0,746.7830910376844,590.4309124581317,1236.7557746574091,849.9876289180052,849.9715347089318,849.9932603829761,4.3065403451117055,1.0,100.0,1.0,1.0,100.00000000000004,9,1
80,80.0,671.5129421149595,358.9094071795825,1580.3491416563538,4943.32427916712,1246.7907072676817,9651.658061262884,17.62655658771167,1.000008862982133,100.0,16.282117494780394,1.0,100.00000000000004,9,1
81,81.0,1295.5904059422485,598.4300728033201,3218.16714708954,6074.09540587229,2442.994633232016,27897.52074075854,1.0348162398088705,1.0,37.26370186142266,6.762953469559655,1.0,41.47770654225129,9,1
82,82.0,2308.5966408059926,346.5630775316056,4320.486366560682,,,,1.0,1.0,47.979260841460274,1.294380213119067,1.0,48.008336977825216,9,1
83,83.0,1814.2208792125425,1047.7125577452432,3447.6011515548603,6878.2926240945935,6877.553500319042,6878.295103015925,14.755559422605424,1.0,39.10380075768706,14.757065794026806,1.0,39.28348172906704,9,1
84,84.0,3524.9038560430427,1859.3867840627051,6118.49497319779,,,,1.7465912815692155,1.0,33.378373075103454,1.0,1.0,33.378365689145696,9,1
85,85.0,1791.0255316523294,1221.7084385199432,3125.921855484433,2645.0066589883463,1521.7672351799224,8208.855241927917,11.616121116031543,1.0,26.901096052800582,10.364589252935893,1.0,26.946723168945518,9,1
86,86.0,1876.9511188477172,697.7208235819332,4093.29916432757,6676.587375701241,1986.7262091293112,40846.58109644817,10.596317016246697,1.0001417288615535,47.48677940532454,2.5510535879271083,1.0,41.6213314471921,9,1
87,87.0,4002.9804388104017,600.4499496794938,7485.609372671022,7854.506997616819,7854.504423632105,7854.511161418362,9.528908773679271,1.0,41.03770024076063,7.74686099785859,1.0,37.24751046807389,9,1
88,88.0,5791.6224687194735,6097.664474337714,9619.884920543049,,,,1.0003587069166042,1.0,19.418984867386335,1.0,1.0,19.857373077369864,9,1
89,89.0,4038.0831980076973,28629.00035307507,34991.0004315362,6595.821157536882,2439.18189360876,51436.32487549975,1.0000069472766053,1.0,17.73687949865138,1.0,1.0,14.789223424170283,9,1
90,90.0,1951.7577472543499,977.9085624295487,5532.352656462241,4339.450804992335,1944.2776880836184,15520.260146627954,20.145587519988865,1.0005504903374236,54.591426972468064,20.007898679467992,1.0,56.14422836753295,9,1
91,91.0,1669.3036856356657,805.007986650997,5039.333439876373,4164.776166680336,2888.7430646572816,6690.66270694358,15.902706429434083,1.0,55.79227239620535,1.0,1.0,52.463087247740454,9,1
92,92.0,1375.6679267172938,662.569513454744,3048.4231339238254,1667.5933216389394,1076.3086925250277,3130.4827981890826,5.405912145028941,1.0,98.708316578071,1.0,1.0,98.70831655330802,9,1
93,93.0,3128.863477060384,1924.251038392136,5193.017210596638,1360.551418167466,1360.551418167466,1360.551418167466,3.972896501958999,1.0,45.22785466243708,3.253794013283648,1.0,43.71665332733212,9,1
94,94.0,4418.973973828922,547.4613407648264,9712.923376082106,1258.0292224259397,1258.0292224259397,1258.0292224259397,2.679661721111888,1.0,33.85380475243545,1.0,1.0,32.356499374088145,9,1
