,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t
0,0.0,,,,,,,2.1788181292730595,1.0,6.069351701966701,1.9706306381060217,1.0,6.221228664537163,9,1
1,1.0,,,,,,,1.3798423823163501,1.0,4.218832918358251,1.4391134074505114,1.0,5.2546600695391525,9,1
2,2.0,,,,,,,1.0,1.0,2.330574089046825,1.0,1.0,2.684231322198926,9,1
3,3.0,,,,,,,1.3297350120264477,1.0,3.4005592157332423,1.4635876155627177,1.0,4.28236333117476,9,1
4,4.0,430.8697512128324,259.5360506971721,798.9927523530549,371.4082245459563,246.55163084064716,699.9320729476144,1.0000023058176528,1.0,3.6052934906900376,1.0,1.0,7.269021585632887,9,1
5,5.0,406.0238210896184,241.52329632233682,719.6258472117806,317.2597515136488,225.12308456784092,469.68422347265493,1.0001771327834006,1.0,2.4195263069818678,1.0,1.0,3.9631824362500496,9,1
6,6.0,397.72000023137616,253.0371115044865,681.2518207632013,322.17075957970695,251.12653916826045,517.0536503154652,1.0,1.0,1.0,1.0,1.0,1.0,9,1
7,7.0,385.3953958179494,227.25861536751592,652.6496526460351,324.5521238416856,232.87902415011067,513.5457818817197,1.0,1.0,7.0174066524922285,1.0,1.0,8.147026809736179,9,1
8,8.0,330.0718138000459,227.76733954230178,522.4410353220713,247.93575575658355,214.4590356909204,300.71911556904416,3.399727952552072,1.0,11.74552030198538,3.8934334803942883,1.0,12.335623805890213,9,1
9,9.0,447.7627046181318,287.55316527679184,719.3935742743967,349.75162677108824,262.23931388083196,463.66042968404327,1.9191515716771972,1.0,13.611563063898279,1.8713814319556552,1.0,14.343977868642224,9,1
10,10.0,401.00121605776775,259.5520254381686,639.6459577695737,279.20046096517507,246.27742958131662,358.30893680092373,1.0,1.0,5.7088343834604265,1.0,1.0,5.452351344924963,9,1
11,11.0,543.8988204692757,337.4383626233953,940.0814062447932,431.2667489049643,306.10490819613455,571.5493274285966,3.38302302561227,1.0000180433479684,8.427116554889464,1.0,1.0,10.105494187258728,9,1
12,12.0,637.6451212922252,362.77102776396816,1079.6150049312478,476.3145488701871,398.8562511768821,622.4798704718215,1.0,1.0,1.6135311034172795,1.0,1.0,1.0,9,1
13,13.0,660.93285351548,353.550762107075,1095.2973028671272,491.83167675090465,437.1709387393708,571.0553724320239,1.0,1.0,1.0000175689742488,1.0,1.0,1.0,9,1
14,14.0,670.7046287883452,394.3401298882138,1128.4635978702145,476.2713249134026,431.9380261430295,556.3398803363526,1.0000000692403797,1.0,2.4375938881020707,1.0,1.0,2.3514575519544456,9,1
15,15.0,613.7606776843088,397.9855349714551,965.9757448830997,452.46259171239177,406.4120262420215,503.8175720219718,1.0,1.0,2.95586290468255,1.0,1.0,4.2366219764365916,9,1
16,16.0,589.1080742052806,391.8999346451593,935.0593407338387,399.5975737699252,373.8057436641014,456.1014402986476,1.0,1.0,3.8475030432585977,1.0,1.0,3.726657464624063,9,1
17,17.0,577.8681742712432,382.6527132596932,954.317835289125,403.77874392930227,369.94984858805367,483.700757518259,1.0002622192279498,1.0,14.576467058631238,1.0,1.0,15.187727447433588,9,1
18,18.0,564.4195752855101,369.29574973972643,986.1846060250953,400.0403401084108,348.6930841519743,505.2239279859431,1.0,1.0,7.193580493544142,1.0,1.0,8.499452579259591,9,1
19,19.0,642.731552085862,419.0849277282366,1150.1878589794228,465.55605943599954,393.56249287014384,678.9114285983102,1.0,1.0,7.338532661491091,1.0,1.0,8.34937714374609,9,1
20,20.0,700.3798603000243,442.40333198407654,1265.3568727995153,477.9709456471069,424.2484732976605,651.6377303291592,1.7077294365025495,1.0,8.114010001814593,2.5511265197362807,1.0,8.866708867682433,9,1
21,21.0,756.8771112254757,477.92477481407894,1357.1352819254157,483.1043542230192,446.1515303082411,568.6108474488503,1.0,1.0,8.019579228002366,1.0,1.0,8.999116096619955,9,1
22,22.0,819.5507447685793,493.779323723069,1310.9015228144708,586.9004335533931,520.876877665131,654.1687809578144,1.0,1.0,1.4520342988392463,1.0,1.0,2.5493006728226377,9,1
23,23.0,920.1851324663301,535.3814033420705,1761.7251306555313,675.1353950026619,626.1018704124541,736.9960628060952,1.0,1.0,1.0,1.0,1.0,1.0,9,1
24,24.0,1061.1470654822708,599.548091997483,1972.8719266583848,826.337783497709,826.337706498619,826.33818790988,1.0,1.0,1.0,1.0,1.0,1.0,9,1
25,25.0,1206.2252482046706,696.5950808381974,2292.214582245351,890.6871246651979,890.672126847362,939.5865672616607,1.7656544602644475,1.0,3.9514191160911394,1.340263665909894,1.0,4.214611370668435,9,1
26,26.0,1349.132580086834,795.9882222512322,2619.2774834762768,1196.287842926782,1121.5164058749124,1245.9692053321808,3.78742554380982,1.0000117362129708,11.898601673874587,3.111575896884844,1.0,11.800566971301086,9,1
27,27.0,1405.2733617711024,829.1112834449505,2728.272172019709,1300.1022604257216,1300.0998863007571,1300.105470078856,1.0,1.0,2.3048639723311974,1.0,1.0,2.651490005061691,9,1
28,28.0,1373.1430251030629,810.1543848108072,2557.7805778890206,1245.7118089679295,1091.183421571021,1389.6677801417106,1.0,1.0,2.2603253093866624,1.0,1.0,2.5720420351368265,9,1
29,29.0,1432.7968357677785,845.1378322377288,2727.57739130173,1180.489469400141,1112.4157327056487,1256.0312326716291,1.0,1.0,2.1190351028514223,1.0,1.0,5.6675753928316865,9,1
30,30.0,1632.1806098965417,974.532005824495,2506.384392390248,1229.57639825762,1165.321576427198,1297.866603174271,1.0,1.0,5.038860285374162,1.0,1.0,5.260023238762409,9,1
31,31.0,1940.0922855137367,1463.9161560669236,2979.3011035012823,1364.3223512722861,1298.1451461459612,1468.2167594757827,1.1406153282586786,1.0,7.633989248748865,1.0,1.0,7.7368171075446535,9,1
32,32.0,1977.2703242542275,1178.8148900525648,3833.170793450864,1315.224075608364,1271.5396461581392,1408.6862160420155,1.0,1.0,3.0433170052502256,1.0,1.0,3.3801583454845225,9,1
33,33.0,1925.27904693364,1142.0936306246235,3736.708422489146,1440.5232421246023,1400.6495260029087,1492.5154386063027,1.0000011420739294,1.0,2.8883719848142104,1.0,1.0,3.174687965278655,9,1
34,34.0,2430.8283793747332,1373.4180343467242,4519.367036098195,1766.1624640894631,1736.0185453333531,1838.032035108593,1.0,1.0,2.5146768996614357,1.0,1.0,3.7458691929168877,9,1
35,35.0,2765.5663067264086,1666.0468646864547,4199.865963293219,2006.5296222856573,1952.8668795860763,2071.1653906991087,1.0,1.0,2.9619425875358303,1.0,1.0,3.1235289689020678,9,1
36,36.0,3214.868048216729,1884.7262626477773,6092.391550512822,2377.269000347787,2086.474483161686,2540.097986722025,1.0000000432931464,1.0,1.4403968526776887,1.0,1.0,1.8199290040270286,9,1
37,37.0,3126.755133343141,1849.7816992154744,5974.91134610092,2301.0918218139113,2119.386908070717,2508.736921926043,1.636871484018844,1.0,2.1854663241544174,1.0,1.0,1.5328786978092184,9,1
38,38.0,3591.688638382186,1987.9032949102416,6509.7771671238725,2590.6676387044095,2362.9238462537346,2908.866564039617,1.5032806816871818,1.0,5.600067786362848,1.0,1.0,6.429471522680173,9,1
39,39.0,3739.8871132216327,2221.379405559055,7203.016719035633,2679.6778450602487,2388.312427370592,3120.4815636880567,1.0,1.0,3.4201164123563506,1.0,1.0,4.1892268312124745,9,1
40,40.0,4244.262948438147,2539.9075560948727,6845.327992614287,2928.5195419836214,2622.897327632442,3599.565621106595,1.0,1.0,4.8705241083256325,1.0,1.0,5.977519924622827,9,1
41,41.0,4341.588270318747,2707.9183923083556,6814.785299799014,2799.5246928901443,2557.6501014379946,3568.8525247020766,2.2298373467034036,1.0,5.857846241834182,1.0,1.0,5.913880829689769,9,1
42,42.0,4407.814525507494,2547.3897758686526,8287.075462681343,3030.7162561150863,2681.635200316196,3621.7541406129503,1.0,1.0,1.359420586148803,1.0,1.0,1.8810439592319572,9,1
43,43.0,4539.182342870425,2691.217966223494,8377.074028625342,3316.4125883986303,2966.7690531283506,3819.1677403409776,5.418452120604423,3.557717396453173,9.951822042591429,4.0778879815390745,2.8281820094168526,10.0650802204578,9,1
44,44.0,5814.519155732082,3391.2553812155456,10956.003342495234,4039.24723545123,3731.5704678892916,4697.399027987182,1.0,1.0,2.880280399399851,1.0,1.0,2.845987368461745,9,1
45,45.0,5837.627616309281,3369.068327488978,10960.369081271574,4213.255720717995,3742.6287610262557,4691.121141593106,5.942000077215182,1.0,9.191209173147413,4.437541414691101,1.0,9.799379337647023,9,1
46,46.0,4834.5813897223525,2723.7564972977907,8922.709249499443,3501.2112191189117,3093.134229767847,4121.038637432161,1.39090163020535,1.0,4.3124693462079104,1.0,1.0,4.800339085267995,9,1
47,47.0,5485.49880665548,3167.8755608435404,10418.329806355585,3853.447105213011,3402.9170299472316,4185.3036364888685,2.0626551096398176,1.0000001297157808,4.342566505162782,1.0,1.0,5.015801869687209,9,1
48,48.0,5332.21554724296,3012.701784192273,9913.591341145515,3776.9121307081987,3651.827476188475,4134.854003687945,1.0,1.0,3.7108669634438587,1.0,1.0,5.229741638454786,9,1
49,49.0,5224.382080824795,3123.97956327747,9926.286121394038,4074.0178718994152,3851.5379018481344,4311.939323064559,1.0,1.0,3.825566194689332,1.0,1.0,4.565803966387574,9,1
50,50.0,5292.293251354752,3059.4258435013453,10067.248280592321,4204.361275068697,3962.8633877223647,4452.308456524861,1.0,1.0,2.319415065021615,1.0,1.0,3.3231859957492733,9,1
51,51.0,5459.134014129566,3052.302647401684,10043.901873928618,4530.845435844953,4092.7797284632998,4721.635061140456,1.0,1.0,1.0816155552233109,1.0,1.0,1.6151961468895653,9,1
52,52.0,5923.853844811525,3397.285358753318,11089.799025366232,4618.8584169355345,4220.473171326495,4929.053475829667,3.471960331492815,2.8337974207912695,5.3261060393862065,3.3685377523159143,1.601341973290044,5.80904117366897,9,1
53,53.0,5846.285345818471,3449.308354032898,11350.288173527057,4602.583622100756,4267.116027240757,5012.25922093931,1.0,1.0,2.5819498739922837,1.0,1.0,3.1265706846300367,9,1
54,54.0,6067.1066805353785,3503.754108009181,11529.447278491753,4461.969668177926,4049.636356172152,4952.082714881786,1.0,1.0,1.5267985534261006,1.0,1.0,3.656637595594749,9,1
55,55.0,4782.912592221293,2893.007815786555,7466.8623891639345,3651.6285444855057,3495.6021110383317,4466.997112338843,1.0,1.0,2.056265211455362,1.0,1.0,2.8127403319741857,9,1
56,56.0,4536.669244473393,2733.343219795219,6938.4866348647865,3602.4316310976674,3577.4733206159244,4030.2018642821845,1.0000028693425733,1.0,4.99116841746292,1.0,1.0,6.469942593273794,9,1
57,57.0,6237.765713440451,3602.309699511861,11853.754139419372,5096.628872142335,5096.627975909756,5096.629684265249,1.6152406022653842,1.0,3.2051567874977533,1.0,1.0,3.26409196471812,9,1
58,58.0,6654.930642696952,3760.035813123778,12372.767419253458,6502.055134025046,6500.9325387954095,6502.592231399211,2.1680342034780704,1.0,5.790747831284187,1.929439326667465,1.0,5.915781482965627,9,1
59,59.0,7310.8573322483735,3728.537249122127,13291.544788768228,9062.391426730528,9062.389020907089,9062.394085213467,1.0,1.0,1.0,1.0,1.0,1.0,9,1
60,60.0,5768.072565502902,3279.403089001004,10772.545187317588,5687.419300127272,4568.596164768083,8372.859348468774,1.0,1.0,1.1854644700422037,1.0,1.0,1.1854624444621036,9,1
61,61.0,5371.7470193892605,3572.2026682814976,11418.864967455582,6354.733951327316,6354.416557712728,6354.963312647709,1.0,1.0,2.3612169321822294,1.0,1.0,2.361228812699335,9,1
62,62.0,4476.245638032094,2864.7972083405402,7272.177528864448,4606.494555181536,4606.196546830399,4606.799699577033,6.084726827187918,4.520480713582609,7.435938450794738,6.0847258420509664,4.383594826538512,7.508567637126326,9,1
63,63.0,3648.5544212365676,1970.2193874677464,6483.200548504979,2530.590658760956,2530.5836304014083,2530.603172409697,2.8696266463286486,1.0000067568301614,8.710539987079438,2.6409673388182657,1.0,8.71054399648227,9,1
64,64.0,3240.864715260245,1669.0453283590261,5492.157704429275,2397.390730424353,2397.3905118094485,2397.390894636431,3.576656913068301,1.000001543567334,7.560449485857102,1.0,1.0,7.560449901180006,9,1
65,65.0,2614.0365635937624,1607.632486610164,4080.9132352411852,2807.3869537255846,2807.3830456581422,2807.3902996550396,3.1685751623895135,1.0000022806829199,12.498605779400986,1.9670392929618752,1.0,12.498607955199853,9,1
66,66.0,2168.481693685446,1170.9882177157435,3816.7756022433523,2314.652710799631,2138.673295556856,2503.391742649013,7.2247290070605565,4.89984398174518,16.879820608590315,7.569556788179153,4.738785111394396,16.87982083357915,9,1
67,67.0,1807.8147117475464,1374.3737517723055,2772.986899519431,1828.007623810753,1828.0072243065993,1828.0080389884213,3.334263255559188,1.0,8.927773229600776,4.3664062600715114,1.0,8.927774936793561,9,1
68,68.0,2348.748811825907,1412.274501287648,3592.2306347022,1783.8694619279463,1770.72799861709,1859.7117769285726,3.1334600005416657,1.0,20.83607684704551,1.2394053293644127,1.0,20.836077668189542,9,1
69,69.0,3028.9089759453036,1749.1949336084126,5755.897858455034,2710.356066918828,2710.3481364199874,2710.364035805571,1.4506106170224142,1.0,10.059504488054055,2.9981387370811396,1.0,10.05951362887497,9,1
70,70.0,3187.800142491372,1721.4120769453407,5664.475637811592,3529.3773565629617,3529.369146722881,3529.3870201651202,1.0,1.0,13.323083456926486,1.0,1.0,13.3230862856641,9,1
71,71.0,3900.2071790493937,1813.5963382579675,5967.817010506989,4334.353686111797,4334.318603557805,4334.387119099956,1.0,1.0,2.106316813568747,1.0,1.0,2.1063180419855034,9,1
72,72.0,5020.485257237455,1399.0887164061035,10855.688802818273,5546.886035052496,5536.713598881005,5553.984901301843,1.000002189210529,1.0,5.413607108604677,1.0,1.0,5.41360729544289,9,1
73,73.0,4638.663925370885,2214.961269968564,7288.5477686999775,5377.649247139581,5377.585310994965,5377.695618394147,1.0,1.0,1.0,1.0,1.0,1.0,9,1
74,74.0,5768.060580357698,2921.097716331524,9647.262785933763,5817.300078716427,4004.279094252411,6065.431597125504,3.0436497103507394,1.0,5.023116329527296,1.9578254898700753,1.0,5.01726311627142,9,1
75,75.0,3757.662333199789,2029.137659927886,6677.076915147318,3480.264906302323,3478.4228478479367,3481.696446480577,6.364710592267765,1.0,14.165791141634474,5.925336562413227,1.0,14.165791695762513,9,1
76,76.0,1959.802023340243,1205.2648076595028,3059.552466437711,1375.8563351387038,1374.732020998105,1375.9530271451836,1.0556928357635564,1.0,25.998891534875433,2.166552778110603,1.0,25.998891786420376,9,1
77,77.0,1512.8341288900224,835.8408562117372,2750.4164926625544,1107.786957343528,1107.7836909367081,1107.790454993164,22.916394449528724,15.196906615223638,56.53311348985106,23.867129974157688,12.273771890286056,56.53918490642919,9,1
78,78.0,954.7792264451136,575.254483933181,1460.261382291921,793.9847396711108,793.924122813839,794.0670988631391,1.0,1.0,29.536000150808693,1.0,1.0,29.53600020249353,9,1
79,79.0,939.656343556054,566.1429469925225,1437.1318442016156,647.1906138715528,647.1350216033874,647.2078109445613,1.0,1.0,24.34837324273594,1.0,1.0,24.792985392956655,9,1
80,80.0,804.7560424344709,454.6871639754761,1496.1928045346863,585.8121987664123,585.8107741910858,585.8142363002132,1.0,1.0,19.202382135901516,1.0,1.0,20.160602832121917,9,1
81,81.0,724.4629390197372,409.32156054615155,1315.681813239516,534.1863087864269,534.1368369769027,534.1930891616364,1.0,1.0,94.77047488653942,1.0,1.0,95.30963311580346,9,1
82,82.0,687.4282276524268,388.3969486236211,1278.0583352144797,550.7175325680447,550.7175037269534,550.7175594384984,1.0,1.0,23.225756413326923,1.0,1.0,23.23080936281912,9,1
83,83.0,520.609900358506,294.75760416369616,969.9288684019064,437.4224698127419,437.29926285826036,446.5962745251271,1.0,1.0,19.849151488487248,1.0,1.0,19.853810731870773,9,1
