,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
0,0.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,9
1,1.0,,,,,,,2.121879001987817,2.1071881985546104,2.136569805421024,2.1218590446414813,2.107149891298365,2.136568197984597,9
2,2.0,,,,,,,1.1254891033351726,1.0062744551667586,1.3958911318658453,1.1254881856204988,1.006274409281025,1.3959067250238508,9
3,3.0,,,,,,,1.177879610590003,1.0124469075045734,1.8065554071124814,1.177852438204663,1.0124427984695386,1.8065567360421306,9
4,4.0,9128.295000258577,2240.054942588322,18715.58885748554,22372.006496924198,22372.006496924198,22372.006496924198,1.138643296891651,1.0099133625653234,1.4174773515057426,1.1386439555515722,1.0099134790082684,1.4174737954536165,9
5,5.0,9798.873512480806,3819.948164507643,17008.792516802954,11473.272481490092,11473.272481490092,11473.272481490092,1.273449864170915,1.0263326501505294,1.9867087007455204,1.2734509669985665,1.0263324533302451,1.98670401644261,9
6,6.0,4915.120911073982,2838.4823261452248,9340.305090306938,4973.040712516458,4973.040712516458,4973.040712516458,1.0,1.0,1.8579120112605514,1.0,1.0,1.8579200630329349,9
7,7.0,8588.347579546295,4380.05726556861,15614.093030036252,8952.958403329687,8952.958403329687,8952.958403329687,1.049917727282232,1.0,1.765300722451752,1.0499010583661832,1.0,1.7652971910592494,9
8,8.0,10001.357863436831,5650.767192841812,18594.404865334167,11330.836660019726,11330.836660019726,11330.836660019726,6.023503793530342,5.127824901757753,7.0837184267754845,6.023492885244717,5.127825181429299,7.083718466619061,9
9,9.0,5890.960011210003,3475.666406613903,11437.02193629361,6045.859372133311,6045.859372133311,6045.859372133311,1.474098379008146,1.0678274566616588,1.7724373086993424,1.474096556846755,1.067827677269706,1.7724381163320266,9
10,10.0,10802.011263623155,5968.111223151792,19638.656589003764,12175.903127556816,12175.903127556816,12175.903127556816,1.0,1.0,1.7762746182441473,1.0,1.0,1.7762764969299334,9
11,11.0,5940.9803204843,3505.1783890857373,11534.134015367596,6137.1852508979855,6137.1852508979855,6137.1852508979855,1.5937637353006182,1.3171400258728614,3.440669620684263,1.593761959929668,1.3171301399743394,3.4406742033756945,9
