,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,T,delta_t
0,4.0,561.8013150680696,379.663577756504,834.3944935120049,9,1
1,5.0,424.9034093525565,313.5087240832037,578.0055848759924,9,1
2,6.0,504.2593166602382,384.0290067124802,642.7265123559496,9,1
3,7.0,371.0855483241557,289.0356242843305,476.90406680542,9,1
4,8.0,405.1003454702304,323.0782836577322,512.9017706232295,9,1
5,9.0,390.29775564978473,306.7704646488918,487.8254536869935,9,1
6,10.0,383.294527039328,308.5442995108611,469.2276338249088,9,1
7,11.0,414.4246061824922,317.7146653636858,523.3809540693985,9,1
8,12.0,394.8644214675919,314.6871230877283,501.0494372842578,9,1
9,13.0,550.0104740270024,438.2054221245052,691.0031739480104,9,1
10,14.0,513.4046443853305,407.3638067960746,643.3856304290567,9,1
11,15.0,526.38387914835,423.5028760802769,649.6020275974711,9,1
12,16.0,564.6858117916336,448.10970191178376,717.722779293964,9,1
13,17.0,536.9788992697777,432.50343024055536,674.4719242725436,9,1
14,18.0,540.2406563220084,429.31411639256726,669.3541512654581,9,1
15,19.0,581.8226455873083,469.2490770374125,695.3573936869458,9,1
16,20.0,583.9874443688749,462.5513543722629,730.0839802041088,9,1
17,21.0,629.7849106233978,505.2964683180372,776.3073074526833,9,1
18,22.0,645.577626601384,513.1668154991802,792.5919867316179,9,1
19,23.0,720.5565216260545,566.5084742672473,903.4787289195012,9,1
20,24.0,917.9034901192542,696.8828712602409,1171.693274237653,9,1
21,25.0,1022.9836362011076,815.1084063153986,1299.7289515777777,9,1
22,26.0,1217.5153916414602,962.881650797748,1544.7817363058234,9,1
23,27.0,1234.3183769289103,967.1932909046496,1539.1070080572508,9,1
24,28.0,1488.7298060707417,1176.4098297150765,1946.9507071406624,9,1
25,29.0,1490.6986430463649,1179.7300682880723,1918.7689200013708,9,1
26,30.0,2054.3235969665384,1559.7114932518823,2664.6343984430555,9,1
27,31.0,2289.9730391795483,1734.4235459385673,2962.5053232901937,9,1
28,32.0,2746.0265389777906,2072.853762913637,3617.234322951555,9,1
29,33.0,2978.771698199356,2397.588028865959,3696.6664678392463,9,1
30,34.0,2732.468223590973,2114.317424321024,3563.32942081625,9,1
31,35.0,2387.567149438747,1833.147466994228,3162.9044888293747,9,1
32,36.0,2670.9958780522074,2012.2339353662148,3481.8207597001365,9,1
33,37.0,2725.7543475601424,2062.546697422601,3613.714314418796,9,1
34,38.0,2585.3298027985984,1978.349047000489,3342.189573105152,9,1
35,39.0,3069.7326479030858,2349.9482741939005,4024.456542964952,9,1
36,40.0,2720.305050341743,2108.747847388969,3344.6268546423908,9,1
