,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t
0,0.0,,,,,,,1.0635291431657352,1.0,3.7690790543498616,1.6753806552149713,1.0,3.8523146507405364,9,1
1,1.0,,,,,,,2.2218661661703987,1.0,4.98301607766523,2.616018803541907,1.0,5.386373580705822,9,1
2,2.0,,,,,,,1.9688437096234106,1.0000293997347844,3.496988121065053,1.2755020717938041,1.0,2.7991009294714155,9,1
3,3.0,,,,,,,1.930356908589733,1.0,4.504905557156766,2.2638666613076084,1.0,4.662379130581247,9,1
4,4.0,662.8010043833692,407.36053073813275,1129.9628009801663,701.7898554144138,486.7749631705489,1005.292302844885,2.7519354479569085,1.0000394487690492,5.593250124440713,2.3590319931226467,1.0,5.760077664247436,9,1
5,5.0,688.2698524787947,369.0766471246852,1209.869162750886,834.7365146874747,467.8287216687151,1403.5363586455103,1.5589612834459756,1.0,3.0421886719910125,1.0,1.0,2.933426011616271,9,1
6,6.0,732.298557238051,382.2877952254921,1276.8888489162673,895.7069900734377,624.4408501878748,1256.9681005819884,1.0,1.0,2.2462529456663773,1.0,1.0,2.7977290553967915,9,1
7,7.0,737.4124567768672,419.8700032726677,1360.9824578331077,733.937470265837,566.7388086682872,951.8919849964818,1.0000023920355665,1.0,8.051275587794434,1.3314380155101575,1.0,8.840775988975317,9,1
8,8.0,714.6533960931428,409.64250432604325,1334.8827511881586,653.5531455602813,519.7198673179289,819.4453236307407,4.637626650330786,1.1291424534312007,10.562914402343358,4.304127458111251,1.0,10.865520513216639,9,1
9,9.0,752.9667450485426,447.12158672760324,1358.175918807375,623.1840169523242,472.00560018735536,776.9835962661939,1.4101667312176516,1.0,8.163773843107663,1.9654629284414236,1.0,8.477448206135433,9,1
10,10.0,755.6500084423395,447.82742949579347,1415.5380542626322,611.7066083420011,461.78994145403186,834.1065950700679,1.0,1.0,9.663157384856698,1.0,1.0,11.45455848090786,9,1
11,11.0,973.1265200781811,579.2394529957533,1736.2251273769866,734.8135830749657,520.2719124047641,1056.1967204619257,1.0,1.0,10.22196973174703,1.0,1.0,10.70498579344049,9,1
12,12.0,1113.3388971452684,661.6517864942423,1940.3769118723249,853.3025944502313,597.2853777113019,1217.6882463298305,1.14919011084607,1.0,5.632799331831843,1.0,1.0,6.18167005423674,9,1
13,13.0,1201.0139211749768,712.2404070525869,2142.7280740813594,951.2756591179501,707.6720451715812,1289.187672928532,1.0,1.0,6.302933124018685,1.0,1.0,6.686916765259251,9,1
14,14.0,1419.2173261996913,820.9978409877474,2583.137983175411,1258.5034204130732,914.8559201373508,1604.213360592119,1.0000366960269746,1.0,7.1131292301038425,1.476528972796521,1.0,7.641664288509383,9,1
15,15.0,1835.6302488388521,1027.4775619927045,3344.6507931297438,1757.4766026843913,1268.4927541671843,2467.956227435645,1.0,1.0,5.438343189858958,1.0,1.0,5.812752278291342,9,1
16,16.0,2155.6805562458194,1266.1544922634362,4105.500260170356,2076.100686372373,1619.956622893999,2716.913627033793,1.0,1.0,3.217384535779272,1.2860679581820071,1.0,3.859834630824656,9,1
17,17.0,2287.88150725033,1330.9076965213098,4236.101512833987,2054.7032035265693,1627.6995957178679,2605.9007316328584,1.3982125852680407,1.0,5.409079454014376,2.3758112491347925,1.0,6.018576743613158,9,1
18,18.0,2660.5127379102764,1497.8093618466273,4824.701282073915,2390.833782850421,1952.9797169328622,2921.810317000975,1.0,1.0,1.000000096821114,1.0,1.0,1.0,9,1
19,19.0,3507.8121429179355,2005.144437203071,6598.124857463097,2936.1327824679092,2424.3825854354727,3634.7372336222707,1.0,1.0,2.6550679125938697,1.0,1.0,3.2586403308270144,9,1
