,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t
0,0.0,,,,,,,1.1216083673841364,1.0,2.3358503423666637,1.0,1.0,1.5999721720403843,9,1
1,1.0,,,,,,,1.762722210388819,1.0,3.9335287987865213,1.0920836900309516,1.0,3.9321985482131874,9,1
2,2.0,,,,,,,1.7331976121727597,1.0,3.136944126492518,1.0,1.0,2.3201142107531636,9,1
3,3.0,,,,,,,1.5162339263384492,1.0,4.657009956593833,1.4236550554828642,1.0,4.379551590121989,9,1
4,4.0,935.226819456734,489.11581550983664,1635.9176802275197,874.8086897082314,571.2043713366332,1508.957779969119,2.0699621081200834,1.0000057608769604,4.489190376736315,1.7837818339294973,1.0,4.75556668612733,9,1
5,5.0,815.8746039531609,462.0871867538159,1490.564922779647,732.6754570455494,559.7018415968013,954.7222054108446,2.8512268061252906,1.091519057713978,4.98399157787654,2.9023723317422565,1.0,5.420904235718929,9,1
6,6.0,877.4657014103298,509.73142885225633,1630.9521841877963,747.1421912123724,521.8104372027657,1113.0547659975362,1.2662349552411167,1.0,3.3802879377516657,1.3022313708603321,1.0,3.7650892838512164,9,1
7,7.0,790.389151619971,451.1757717663229,1417.4702346660524,735.3926807125821,534.2919460470426,1080.4695083590732,1.0,1.0,3.403142240558292,1.0,1.0,3.5642259340438356,9,1
8,8.0,742.6279375964625,439.1425916150997,1325.5425910632352,706.4404274249146,533.5411089308183,1011.9353529332396,6.292672951317171,1.7754840243923034,17.66453458079633,6.840383794190826,3.278525704944562,18.052240548317585,9,1
9,9.0,755.6597089455915,434.2087185090316,1384.712786948316,692.5522953889445,532.8877226955266,987.4929415986425,1.0,1.0,1.4314376293221702,1.0,1.0,1.4719118578500772,9,1
10,10.0,723.1069982287662,377.46454596533925,1245.0421214092385,729.5733819910106,558.7979963439761,1110.556650064651,1.0,1.0,1.7237105939860125,1.0,1.0,2.121958661693803,9,1
11,11.0,711.537311737201,359.7196782210108,1191.7856795524015,731.0985662593896,530.0451899842707,938.4657888624632,4.393938642122654,1.0,10.569635305278567,5.466825367873804,1.0,11.408938455730832,9,1
12,12.0,570.9445861500003,334.7909590435777,1039.488050754337,588.5386558360394,457.8007837703662,753.7347288294038,1.3138014263556554,1.0,7.075533344804172,2.3642157199276115,1.0,6.9281041310847105,9,1
13,13.0,562.423446629384,336.9016795355469,957.8068595747905,606.8658379997801,467.489915047779,751.708726407595,4.053451178169864,1.0,19.800110876537595,6.559456562024868,1.0,19.95940341298017,9,1
14,14.0,518.8489520957271,314.99178454798897,900.0499444236877,536.2021148859722,450.6285527351694,620.8233927077637,1.0,1.0,20.510030752017965,3.566827350294891,1.0,21.789525598500738,9,1
15,15.0,505.17993180695856,309.1519628654426,856.0503926969195,497.039685238875,430.1636479531272,577.7433440182996,1.3138756368327809,1.0,11.199453528591652,1.599041779934737,1.0,11.628482447802574,9,1
16,16.0,555.693400720798,342.1785624465794,1008.3816765604115,494.926714260253,453.8000687913443,548.5630899530438,8.00041452711298,3.9520600603846727,28.86913446131588,7.692125267647347,2.9153051119699946,28.952399658872825,9,1
17,17.0,602.4741425283071,396.0200578911428,1028.0597898165659,520.1170679975753,466.1463319562449,588.9086810236885,2.237423294928652,1.0,18.48685182223068,2.786420608840774,1.0,18.41279782886473,9,1
18,18.0,854.0102492819556,519.4668386690469,1528.5785459484428,713.2598889047669,604.8827807781847,854.4999474570137,3.7700500146963476,1.0,28.909261648638157,3.871064192823992,1.0,28.912304496950902,9,1
19,19.0,1446.0983563537334,693.8674098372505,2324.003658966004,1205.3077617605854,999.7058423113456,1514.5715454993942,3.7586849544595533,1.0,21.74113266633025,5.755646640080373,1.0,21.759843677622168,9,1
20,20.0,2146.1912800029863,977.004128096301,3540.710991322771,1959.833416105851,1653.3561961189346,2436.158060251085,3.250947951840864,1.0,7.654254138403106,2.4145282444604,1.0,9.631666423752936,9,1
21,21.0,3792.8115517345686,2518.059657182597,6560.519281110536,3123.7118696280354,2531.9593296397525,3869.167458237288,1.0,1.0,2.775282517392778,1.0,1.0,2.491355339012001,9,1
22,22.0,5334.666529224569,4125.319676162154,8409.07340417506,4154.174765117272,3352.6688598110886,5263.836401708243,1.0,1.0,2.1468454687195404,1.0,1.0,2.9994526451247645,9,1
23,23.0,6327.260135683425,3728.8532763052726,11903.805113879915,5226.36285231962,4161.825121784497,6158.2595739278695,1.0,1.0,1.8035495636069587,1.0,1.0,2.161879520709916,9,1
24,24.0,6514.894124780249,3859.802667850776,11748.437980164332,5131.893180583741,4237.085215196786,6367.9354532823245,1.0,1.0,2.7176342926452857,1.0,1.0,2.7273167926959334,9,1
25,25.0,6310.049172653165,3784.2871574538267,11219.805271429439,5276.735789754161,4568.553001986344,6383.1354291425605,1.0000127142759174,1.0,2.055288396162594,1.0,1.0,1.7214443982920935,9,1
26,26.0,7252.823090871241,4231.780741502524,13678.14518365523,6483.967632287843,5163.291996538474,8545.459458214838,2.635054061297561,1.0,4.573610059255378,2.4715027940574292,1.0,4.605938283266376,9,1
